ell,q2_center,N_signal,N_Blow,N_Bhigh,N_side,alpha,R_subtracted,variance,z_residual
-2.291653792843711,0.10109912651109668,9.0,9.0,10.0,19.0,0.28495897903372835,3.5857793983591613,10.542830774906951,1.104345459434231
-2.2697911925430425,0.10333375468908701,9.0,14.0,6.0,20.0,0.28495897903372835,3.300820419325433,10.624032394638897,1.0126915917615045
-2.2479285922423737,0.10561777560929182,10.0,16.0,4.0,20.0,0.28495897903372835,4.300820419325433,11.624032394638897,1.2614583131896893
-2.226065991941705,0.10795228101619346,6.0,8.0,2.0,10.0,0.28495897903372835,3.1504102096627165,6.812016197319449,1.2070611448532766
-2.2042033916410366,0.11033838678547168,7.0,6.0,13.0,19.0,0.28495897903372835,1.5857793983591613,8.542830774906951,0.5425526257804866
-2.1823407913403674,0.1127772334573839,10.0,10.0,6.0,16.0,0.28495897903372835,5.440656335460346,11.299225915711117,1.6185530859519792
-2.160478191039699,0.11526998678193416,7.0,10.0,20.0,30.0,0.28495897903372835,-1.5487693710118506,9.436048591958345,-0.5041870271217216
-2.1386155907390303,0.11781783827609336,9.0,16.0,9.0,25.0,0.28495897903372835,1.8760255241567911,11.030040493298621,0.5648721841852516
-2.1167529904383615,0.1204220057933347,13.0,5.0,11.0,16.0,0.28495897903372835,8.440656335460346,14.299225915711117,2.232132414903974
-2.094890390137693,0.12308373410575849,8.0,13.0,10.0,23.0,0.28495897903372835,1.4459434822242478,9.867637253834731,0.4603039799829539
-2.073027789837024,0.12580429549908387,8.0,11.0,5.0,16.0,0.28495897903372835,3.4406563354603463,9.299225915711117,1.1282826156297459
-2.0511651895363556,0.12858499038079105,9.0,12.0,15.0,27.0,0.28495897903372835,1.3061075660893344,11.192443732762511,0.3904060016527474
-2.0293025892356873,0.13142714790170684,8.0,13.0,7.0,20.0,0.28495897903372835,2.300820419325433,9.624032394638897,0.7416588525739732
-2.007439988935018,0.1343321265913282,7.0,8.0,12.0,20.0,0.28495897903372835,1.300820419325433,8.624032394638897,0.4429575984640528
-1.9855773886343495,0.13730131500718856,14.0,11.0,12.0,23.0,0.28495897903372835,7.445943482224248,15.867637253834731,1.8692337059880806
-1.9637147883336807,0.14033613239857837,11.0,12.0,10.0,22.0,0.28495897903372835,4.730902461257976,12.786435634102787,1.3230286404711402
-1.9418521880330122,0.1434380293849349,12.0,12.0,14.0,26.0,0.28495897903372835,4.591066545123063,14.111242113030567,1.2221681621458795
-1.9199895877323434,0.1466084886492274,8.0,3.0,8.0,11.0,0.28495897903372835,4.865451230628988,8.893217817051394,1.631524722417776
-1.8981269874316746,0.1498490256466681,8.0,23.0,19.0,42.0,0.28495897903372835,-3.968277119416591,11.410468028741683,-1.1747630109498932
-1.876264387131006,0.15316118932908812,6.0,12.0,8.0,20.0,0.28495897903372835,0.3008204193254329,7.624032394638897,0.1089469172040167
-1.8544017868303373,0.15654656288532487,10.0,11.0,12.0,23.0,0.28495897903372835,3.445943482224248,11.867637253834731,1.0002902106452605
-1.8325391865296687,0.16000676449797369,12.0,14.0,7.0,21.0,0.28495897903372835,6.0158614402917046,13.705234014370841,1.6250046091161334
-1.810676586229,0.16354344811686725,4.0,11.0,13.0,24.0,0.28495897903372835,-2.8390154968094805,5.948838873566676,-1.1639964615672673
-1.7888139859283314,0.16715830424965036,8.0,8.0,12.0,20.0,0.28495897903372835,2.300820419325433,9.624032394638897,0.7416588525739732
-1.7669513856276626,0.17085306076983015,7.0,18.0,15.0,33.0,0.28495897903372835,-2.4036463081130357,9.67965345115418,-0.7725750130647664
-1.7450887853269939,0.174629483742686,13.0,12.0,8.0,20.0,0.28495897903372835,7.300820419325433,14.624032394638897,1.909141401746214
