region,n,k,delta_chi2,amp,phase
B_high_sideband_Kst_signal,10,13.14432573377522,269.14997997160026,8.269806423067317,0.5855890661373958
B_high_sideband_Kst_signal,11,14.45875830715274,211.5868098654828,7.344209381152081,-2.9185147856028584
B_high_sideband_Kst_signal,12,15.773190880530263,150.42297684288133,6.032466945659218,0.14116768766578083
B_high_sideband_Kst_signal,13,17.08762345390779,157.12904242851437,6.220373029079932,3.0813317705421714
B_high_sideband_Kst_signal,14,18.402056027285308,97.75744001469138,4.837558579538888,-0.3437148328271052
B_high_sideband_Kst_signal,15,19.716488600662828,42.74681757201324,3.1506289748218195,2.8480512343563973
B_high_sideband_Kst_signal,16,21.03092117404035,50.94344113930856,3.4880924335809644,-0.3878423748080181
B_high_sideband_Kst_signal,17,22.345353747417875,39.47034050286311,3.0456427590908968,2.6300255752155732
B_high_sideband_Kst_signal,18,23.659786320795394,40.02568401834287,3.0510403560547097,-0.7103831238358984
B_high_sideband_Kst_signal,19,24.974218894172914,53.925899306545034,3.5413439512980673,2.5210032179406623
B_high_sideband_Kst_signal,20,26.28865146755044,112.1566713785578,5.223319319671271,-0.9052474322750116
B_high_sideband_Kst_signal,21,27.603084040927964,92.05729116524162,4.7037209995717095,1.8802515434408218
B_high_sideband_Kst_signal,22,28.91751661430548,125.33013716941059,5.504486228437728,-1.3131425370697178
