region,comb,n_values,k_values,delta_chi2
sideband_subtracted_charm_trimmed,koide_Q_2_3_true_sideband,"[10, 15, 20]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",1501.9765952132075
sideband_subtracted_charm_trimmed,folded_Q_4_9,"[6.6666666667, 15, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",901.106251389836
