region,well_rank,peak_index,k,n_eff,delta_chi2,prominence,nearest_integer_n,distance_to_integer,distance_to_n10,distance_to_n15,distance_to_n20
sideband_subtracted_charm_trimmed,1,356,13.120000000000001,9.981493357462444,1100.8473284053362,1066.8654555979192,10.0,0.018506642537555962,0.018506642537555962,5.018506642537556,10.018506642537556
sideband_subtracted_charm_trimmed,2,1104,28.080000000000002,21.36283029554462,906.3072094227027,840.886919001674,21.0,0.36283029554461876,11.362830295544619,6.362830295544619,1.3628302955446188
sideband_subtracted_charm_trimmed,3,555,17.1,13.0094158851073,787.6373009486051,488.70676210602323,13.0,0.00941588510730007,3.0094158851073,1.9905841148927,6.9905841148927
sideband_subtracted_charm_trimmed,4,1183,29.66,22.564869891946344,706.9616792978377,77.45365997435874,23.0,0.4351301080536558,12.564869891946344,7.564869891946344,2.564869891946344
sideband_subtracted_charm_trimmed,5,278,11.56,8.794669452154409,644.1498704310252,221.40048203842525,9.0,0.20533054784559113,1.2053305478455911,6.205330547845591,11.205330547845591
sideband_subtracted_charm_trimmed,6,472,15.44,11.746513524330801,537.9973398787406,172.77308882121724,12.0,0.2534864756691988,1.7465135243308012,3.253486475669199,8.253486475669199
sideband_subtracted_charm_trimmed,7,207,10.14,7.714355384502224,323.57363317241834,137.32937059875258,8.0,0.28564461549777587,2.285644615497776,7.285644615497776,12.285644615497777
sideband_subtracted_charm_trimmed,8,694,19.880000000000003,15.124396947130593,315.63796096310034,111.74774805110064,15.0,0.12439694713059346,5.1243969471305935,0.12439694713059346,4.8756030528694065
sideband_subtracted_charm_trimmed,9,82,7.640000000000001,5.81239399779063,309.29596010818204,217.4351300213566,6.0,0.18760600220937018,4.18760600220937,9.187606002209371,14.187606002209371
sideband_subtracted_charm_trimmed,10,1254,31.080000000000002,23.645183959598533,251.06569578498966,30.214834370908648,24.0,0.35481604040146664,13.645183959598533,8.645183959598533,3.6451839595985334
sideband_subtracted_charm_trimmed,11,957,25.14,19.126123704771786,212.90755552394694,90.1113230410956,19.0,0.12612370477178558,9.126123704771786,4.126123704771786,0.8738762952282144
sideband_subtracted_charm_trimmed,12,856,23.12,17.589338904308818,73.73272397170877,22.262705700886727,18.0,0.41066109569118225,7.589338904308818,2.5893389043088177,2.4106610956911823
