region,k1,k2,k3,n1,n2,n3,delta1,delta2,delta3,Q_low,Q_high,Q_mean,koide_error,integer_error_10_15_20,score
B_high_sideband_Kst_signal,7.74,11.620000000000001,15.56,5.8884724532590935,8.840316525435487,11.837807670892957,1044.7837903605396,150.05756086775727,196.66254929883144,0.6660929432013769,0.6695352839931152,0.6678141135972461,0.002925427144918363,11.021240533250616,121.15481223816353
B_high_sideband_Kst_signal,9.5,14.26,18.12,7.227453269504055,10.848787749802929,13.785416130885631,105.64340901119431,260.07938145420485,138.35288068408045,0.6661991584852736,0.6353436185133241,0.6507713884992988,0.03132653682608858,7.971237744869144,44.49852530343553
B_high_sideband_Kst_signal,7.74,11.620000000000001,14.26,5.8884724532590935,8.840316525435487,10.848787749802929,1044.7837903605396,150.05756086775727,260.07938145420485,0.6660929432013769,0.6135972461273665,0.6398450946643717,0.053072521656613504,11.772469788561336,92.02656061859187
B_high_sideband_Kst_signal,11.620000000000001,18.12,26.0,8.840316525435487,13.785416130885631,19.780398421800573,150.05756086775727,138.35288068408045,149.6390906732886,0.641280353200883,0.717439293598234,0.6793598233995585,0.0567655226076106,1.6936069760834513,51.36832570243997
B_high_sideband_Kst_signal,7.74,11.620000000000001,16.86,5.8884724532590935,8.840316525435487,12.826827591982985,1044.7837903605396,150.05756086775727,203.26923877976515,0.6660929432013769,0.7254733218588639,0.6957831325301205,0.05880945377665575,10.310226072670234,92.32487861981278
B_high_sideband_Kst_signal,9.5,12.940000000000001,16.86,7.227453269504055,9.844552137619209,12.826827591982985,105.64340901119431,330.3629238124631,203.26923877976515,0.7341576506955177,0.6514683153013909,0.6928129829984544,0.06918108707880366,9.258512862746752,42.2452998794124
B_high_sideband_Kst_signal,12.940000000000001,18.12,26.0,9.844552137619209,13.785416130885631,19.780398421800573,330.3629238124631,138.35288068408045,149.6390906732886,0.7141280353200883,0.717439293598234,0.7157836644591611,0.06950137523810673,1.2440268751836785,67.6121107263217
B_high_sideband_Kst_signal,7.74,12.940000000000001,16.86,5.8884724532590935,9.844552137619209,12.826827591982985,1044.7837903605396,330.3629238124631,203.26923877976515,0.598145285935085,0.6514683153013909,0.6248068006182379,0.07018667609728178,9.743598094362913,101.3643999133646
B_high_sideband_Kst_signal,9.5,12.940000000000001,18.12,7.227453269504055,9.844552137619209,13.785416130885631,105.64340901119431,330.3629238124631,138.35288068408045,0.7341576506955177,0.7001545595054096,0.7171561051004637,0.0753423645232997,8.537371416353334,38.154007874568
B_high_sideband_Kst_signal,9.5,14.26,16.86,7.227453269504055,10.848787749802929,12.826827591982985,105.64340901119431,260.07938145420485,203.26923877976515,0.6661991584852736,0.5911640953716689,0.6286816269284712,0.07550401867487506,8.73922084136261,37.39133299224114
B_high_sideband_Kst_signal,7.74,12.940000000000001,18.12,5.8884724532590935,9.844552137619209,13.785416130885631,1044.7837903605396,330.3629238124631,138.35288068408045,0.598145285935085,0.7001545595054096,0.6491499227202473,0.0762667593656732,9.061145297124007,97.5452870079433
B_high_sideband_Kst_signal,11.620000000000001,18.12,27.32,8.840316525435487,13.785416130885631,20.784634033984293,150.05756086775727,138.35288068408045,129.21829547395464,0.641280353200883,0.7538631346578366,0.6975717439293598,0.09081678777361685,1.8535723086994254,37.28349211042594
B_high_sideband_Kst_signal,16.86,26.0,30.0,12.826827591982985,19.780398421800573,22.82353664053912,203.26923877976515,149.6390906732886,137.31873345232452,0.6484615384615383,0.5769230769230769,0.6126923076923076,0.09157149443484532,6.230210467264864,33.71454839044004
B_high_sideband_Kst_signal,9.5,12.940000000000001,15.56,7.227453269504055,9.844552137619209,11.837807670892957,105.64340901119431,330.3629238124631,196.66254929883144,0.7341576506955177,0.6012364760432766,0.6676970633693972,0.0940007594128675,10.044254161053686,35.981344137977295
B_high_sideband_Kst_signal,18.12,26.0,30.0,13.785416130885631,19.780398421800573,22.82353664053912,138.35288068408045,149.6390906732886,137.31873345232452,0.696923076923077,0.5769230769230769,0.6369230769230769,0.09470671708844078,6.7196684081574665,28.086745268285007
B_high_sideband_Kst_signal,7.74,12.940000000000001,15.56,5.8884724532590935,9.844552137619209,11.837807670892957,1044.7837903605396,330.3629238124631,196.66254929883144,0.598145285935085,0.6012364760432766,0.5996908809891808,0.0947432818851845,10.493077958667316,87.44148915235006
B_high_sideband_Kst_signal,12.940000000000001,18.12,27.32,9.844552137619209,13.785416130885631,20.784634033984293,330.3629238124631,138.35288068408045,129.21829547395464,0.7141280353200883,0.7538631346578366,0.7339955849889624,0.09927640980913405,1.4543137833074584,51.829918813814274
B_high_sideband_Kst_signal,9.5,15.56,18.12,7.227453269504055,11.837807670892957,13.785416130885631,105.64340901119431,196.66254929883144,138.35288068408045,0.6105398457583548,0.5822622107969153,0.5964010282776351,0.10136238057554935,7.503834244258312,27.150792772978733
B_high_sideband_Kst_signal,11.620000000000001,16.86,26.0,8.840316525435487,12.826827591982985,19.780398421800573,150.05756086775727,203.26923877976515,149.6390906732886,0.6892052194543299,0.771055753262159,0.7301304863582445,0.1067945118533883,2.4730080730341686,39.0976697272754
B_high_sideband_Kst_signal,7.74,11.620000000000001,12.940000000000001,5.8884724532590935,8.840316525435487,9.844552137619209,1044.7837903605396,150.05756086775727,330.3629238124631,0.6660929432013769,0.5567986230636833,0.6114457831325302,0.10986954156526577,12.568988843974962,73.79916920343948
B_high_sideband_Kst_signal,15.56,26.0,30.0,11.837807670892957,19.780398421800573,22.82353664053912,196.66254929883144,149.6390906732886,137.31873345232452,0.5984615384615384,0.5769230769230769,0.5876923076923076,0.11272023515564421,5.8482566006300845,30.531184293881058
B_high_sideband_Kst_signal,7.74,11.620000000000001,18.12,5.8884724532590935,8.840316525435487,13.785416130885631,1044.7837903605396,150.05756086775727,138.35288068408045,0.6660929432013769,0.7796901893287436,0.7228915662650602,0.11302497880362394,9.66785456762197,71.18811450176356
