region,comb,n_values,k_values,delta_chi2
signal_B_signal_Kst,koide_Q_2_3_true_sideband,"[10, 15, 20]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",75.79787598369148
signal_B_signal_Kst,folded_Q_4_9,"[6.6666666667, 15, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",61.315129908776726
