region,n,k,delta_chi2,amp,phase
signal_B_signal_Kst,10,13.14432573377522,69.73980031790597,3.6933476334047683,0.2883594570574807
signal_B_signal_Kst,11,14.45875830715274,80.93848352396708,3.9451212493272387,-3.078752438117485
signal_B_signal_Kst,12,15.773190880530263,72.47627285451563,3.7272515167142224,-0.24163007791168492
signal_B_signal_Kst,13,17.08762345390779,54.18154242950732,3.201094313319769,2.572364695347568
signal_B_signal_Kst,14,18.402056027285308,21.092108088058012,1.9959784701024688,-1.0132885038089436
signal_B_signal_Kst,15,19.716488600662828,6.524788616414298,1.1099850521517385,2.1983224471873464
signal_B_signal_Kst,16,21.03092117404035,13.133055383606916,1.560564570580757,-1.3321042894154616
signal_B_signal_Kst,17,22.345353747417875,3.3772341236854118,0.7872794206967839,0.7716151392880664
signal_B_signal_Kst,18,23.659786320795394,4.146822927737958,0.8865852810564068,-1.1377415922514769
signal_B_signal_Kst,19,24.974218894172914,8.72585933053233,1.2752364373734744,1.2356024260988299
signal_B_signal_Kst,20,26.28865146755044,1.3794841467006336,0.5127391464589256,-1.2254412294076056
signal_B_signal_Kst,21,27.603084040927964,16.154325032690394,1.748911992620083,1.9783408543494425
signal_B_signal_Kst,22,28.91751661430548,23.812543314932554,2.0940424241402193,-1.5629335726474547
