region,comb,n_values,k_values,delta_chi2
B_low_sideband_Kst_signal,koide_Q_2_3_true_sideband,"[10, 15, 20]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",226.23542170888686
B_low_sideband_Kst_signal,folded_Q_4_9,"[6.6666666667, 15, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",510.7145734026635
