region,well_rank,peak_index,k,n_eff,delta_chi2,prominence,nearest_integer_n,distance_to_integer,distance_to_n10,distance_to_n15,distance_to_n20
signal_B_signal_Kst,1,88,7.76,5.903688144352786,352.8910426902785,324.743774933504,6.0,0.09631185564721356,4.096311855647214,9.096311855647214,14.096311855647214
signal_B_signal_Kst,2,416,14.32,10.894434823084007,90.5509916249448,90.38758651225362,11.0,0.10556517691599332,0.8944348230840067,4.105565176915993,9.105565176915993
signal_B_signal_Kst,3,349,12.98,9.874983519806593,82.25603735138247,80.69869421492695,10.0,0.12501648019340728,0.12501648019340728,5.125016480193407,10.125016480193407
signal_B_signal_Kst,4,482,15.64,11.89867043526773,79.32101464661537,79.29346834052558,12.0,0.10132956473226962,1.8986704352677304,3.1013295647322696,8.10132956473227
signal_B_signal_Kst,5,549,16.98,12.918121738545143,58.11715936508881,58.052278598923294,13.0,0.08187826145485744,2.9181217385451426,2.0818782614548574,7.081878261454857
signal_B_signal_Kst,6,283,11.66,8.870747907622873,47.14205380689236,45.29740275044787,9.0,0.12925209237712743,1.1292520923771274,6.129252092377127,11.129252092377127
signal_B_signal_Kst,7,1133,28.66,21.804085337261707,32.53372368334567,32.32481588654446,22.0,0.19591466273829283,11.804085337261707,6.804085337261707,1.8040853372617072
signal_B_signal_Kst,8,1062,27.240000000000002,20.723771269609525,30.894520510652,30.078615385271405,21.0,0.2762287303904749,10.723771269609525,5.723771269609525,0.7237712696095251
signal_B_signal_Kst,9,614,18.28,13.907141659635172,23.596286405596402,23.525764468533453,14.0,0.09285834036482754,3.9071416596351725,1.0928583403648275,6.0928583403648275
signal_B_signal_Kst,10,1201,30.02,22.838752331632815,20.901476169668967,19.73308406482647,23.0,0.16124766836718507,12.838752331632815,7.838752331632815,2.838752331632815
signal_B_signal_Kst,11,737,20.740000000000002,15.77867166415938,20.03482627174526,19.913474448696434,16.0,0.22132833584062084,5.778671664159379,0.7786716641593792,4.221328335840621
signal_B_signal_Kst,12,220,10.4,7.9121593687202285,17.801570889758295,13.304853607225596,8.0,0.08784063127977149,2.0878406312797715,7.0878406312797715,12.087840631279771
signal_B_signal_Kst,13,1269,31.38,23.873419326003923,15.886441912925875,10.030849456490614,24.0,0.1265806739960773,13.873419326003923,8.873419326003923,3.8734193260039227
signal_B_signal_Kst,14,934,24.68,18.77616280961685,12.38477515914019,12.294666273330222,19.0,0.22383719038315064,8.77616280961685,3.7761628096168494,1.2238371903831506
signal_B_signal_Kst,15,862,23.240000000000002,17.680633050870973,11.43868479674893,11.247687762532223,18.0,0.3193669491290265,7.6806330508709735,2.6806330508709735,2.3193669491290265
signal_B_signal_Kst,16,673,19.46,14.804867434163045,11.025644346529589,10.277817663589303,15.0,0.19513256583695515,4.804867434163045,0.19513256583695515,5.195132565836955
signal_B_signal_Kst,17,993,25.86,19.673888584144724,7.769872281667631,3.9113878132484388,20.0,0.3261114158552765,9.673888584144724,4.6738885841447235,0.3261114158552765
signal_B_signal_Kst,18,803,22.06,16.7829072763431,5.131045225427442,2.558836463607804,17.0,0.2170927236569007,6.782907276343099,1.7829072763430993,3.2170927236569007
