region,n,k,delta_chi2,amp,phase
B_low_sideband_Kst_signal,10,13.14432573377522,79.48571031952451,4.837119648314077,0.8833711150447007
B_low_sideband_Kst_signal,11,14.45875830715274,157.84315438656995,6.776365579893744,-2.4725952644089007
B_low_sideband_Kst_signal,12,15.773190880530263,235.21653489238815,8.12019487377165,0.2952231068855887
B_low_sideband_Kst_signal,13,17.08762345390779,188.48309503939527,7.248282188438087,3.0335371464824203
B_low_sideband_Kst_signal,14,18.402056027285308,157.78912879897325,6.6427738348922984,-0.32544522974773804
B_low_sideband_Kst_signal,15,19.716488600662828,161.36147601706034,6.687866895011575,2.4019266853683092
B_low_sideband_Kst_signal,16,21.03092117404035,121.76587851833028,5.8871289416172345,-1.4264289135226893
B_low_sideband_Kst_signal,17,22.345353747417875,60.0850760041576,4.135853239937038,1.125159325016296
B_low_sideband_Kst_signal,18,23.659786320795394,22.12846319655,2.5126304666870327,-2.2870518720119377
B_low_sideband_Kst_signal,19,24.974218894172914,22.892814459919464,2.5076273709621306,0.8996052166834252
B_low_sideband_Kst_signal,20,26.28865146755044,9.820887754802243,1.6483963965830013,-2.5911185826990506
B_low_sideband_Kst_signal,21,27.603084040927964,3.1646751378611953,0.9259675914902907,1.0623010926664695
B_low_sideband_Kst_signal,22,28.91751661430548,2.3067072328231006,0.8007181451637937,-1.0448069741191814
