region,k1,k2,k3,n1,n2,n3,delta1,delta2,delta3,Q_low,Q_high,Q_mean,koide_error,integer_error_10_15_20,score
B_low_sideband_Kst_signal,9.82,14.42,19.52,7.470904327003139,10.97051327855247,14.850514507444121,176.62899328432468,160.14326592941143,196.07037223783846,0.680998613037448,0.6768377253814147,0.6789181692094314,0.017574274441746016,7.010726709802406,55.642877848098394
B_low_sideband_Kst_signal,9.82,14.42,18.259999999999998,7.470904327003139,10.97051327855247,13.891925968541477,176.62899328432468,160.14326592941143,177.26177005385398,0.680998613037448,0.6331484049930651,0.6570735090152566,0.03645378653027662,7.74219972199577,44.54103751650762
B_low_sideband_Kst_signal,9.82,15.700000000000001,20.82,7.470904327003139,11.944317508548808,15.83953442853415,176.62899328432468,241.56422334436502,161.94192953113816,0.6254777070063694,0.6630573248407643,0.6442675159235669,0.04134679850138098,5.748303591763874,55.71666432147902
B_low_sideband_Kst_signal,9.82,15.700000000000001,22.080000000000002,7.470904327003139,11.944317508548808,16.798122967436793,176.62899328432468,241.56422334436502,96.75009683244207,0.6254777070063694,0.7031847133757961,0.6643312101910828,0.055046327155839896,5.097601096926727,47.019592579499275
B_low_sideband_Kst_signal,9.82,14.42,20.82,7.470904327003139,10.97051327855247,15.83953442853415,176.62899328432468,160.14326592941143,161.94192953113816,0.680998613037448,0.7219140083217754,0.7014563106796117,0.057076032156512725,6.3200128111299,41.487907530897765
B_low_sideband_Kst_signal,9.82,15.700000000000001,19.52,7.470904327003139,11.944317508548808,14.850514507444121,176.62899328432468,241.56422334436502,196.07037223783846,0.6254777070063694,0.6216560509554139,0.6235668789808917,0.06101217849416349,6.500055480515245,49.334656577940876
B_low_sideband_Kst_signal,9.82,14.42,17.0,7.470904327003139,10.97051327855247,12.933337429638836,176.62899328432468,160.14326592941143,197.5631389526461,0.680998613037448,0.5894590846047157,0.6352288488210819,0.07852652682137314,8.518850159783117,34.97273633092519
B_low_sideband_Kst_signal,6.14,9.82,14.42,4.671217165763673,7.470904327003139,10.97051327855247,366.636006605102,176.62899328432468,160.14326592941143,0.625254582484725,0.7342158859470468,0.6797352342158859,0.07923293344109572,12.907937038907072,37.7700852229986
B_low_sideband_Kst_signal,14.42,19.52,24.5,10.97051327855247,14.850514507444121,18.639221589773616,160.14326592941143,196.07037223783846,107.2649202147768,0.7387295081967213,0.6275614754098361,0.6831454918032787,0.08198944512935231,1.6780821845397156,44.53197537542255
B_low_sideband_Kst_signal,14.42,20.82,24.5,10.97051327855247,15.83953442853415,18.639221589773616,160.14326592941143,161.94192953113816,107.2649202147768,0.6926032660902978,0.5883765609990393,0.6404899135446686,0.08247452840186568,1.8704095707301847,40.54911460659728
