n1,n2,n3,k1,k2,k3,deltaD1,deltaD2,deltaD3,mean_deltaD,score,Q_low,Q_high,Q_mean,koide_error,integer_error_10_15_20
12.492082387921748,18.60879020758623,22.97569355147605,16.42,24.46,30.2,342.6091121272693,109.12949597614124,124.72961726991116,192.15607512444058,53.92037348637997,0.6713000817661489,0.6173344235486508,0.6443172526573998,0.04954935667129427,5.2998673099292
11.533493849019102,18.60879020758623,22.97569355147605,15.16,24.46,30.2,328.74865716890463,109.12949597614124,124.72961726991116,187.53592347165235,47.695517418235205,0.6197874080130825,0.6173344235486508,0.6185609157808667,0.06805391320831349,4.922369577718219
13.45067092682439,18.60879020758623,22.97569355147605,17.68,24.46,30.2,279.797163769008,109.12949597614124,124.72961726991116,171.21875900502013,39.61907236689458,0.7228127555192151,0.6173344235486508,0.6700735895339329,0.07473990570299972,5.812507954394343
6.284080421695105,10.57490531011646,13.45067092682439,8.26,13.9,17.68,67.65936389674971,290.0452965837908,279.797163769008,212.5006080831828,41.26249247120641,0.5942446043165468,0.6359712230215828,0.6151079136690648,0.07865853657177434,8.734027286172653
13.45067092682439,19.65867289305103,22.97569355147605,17.68,25.84,30.2,279.797163769008,130.59166088715438,124.72961726991116,178.37281397535784,37.68790520812544,0.6842105263157896,0.5843653250773994,0.6342879256965945,0.08415044764456919,6.516526304863327
12.492082387921748,18.60879020758623,21.606281353043705,16.42,24.46,28.4,342.6091121272693,109.12949597614124,180.062955369885,210.6005211577652,48.70587018480483,0.6713000817661489,0.580539656582175,0.6259198691741619,0.08625155303864525,4.670543991409989
12.492082387921748,19.65867289305103,22.97569355147605,16.42,25.84,30.2,342.6091121272693,130.59166088715438,124.72961726991116,199.3101300947783,42.25804448480746,0.6354489164086689,0.5843653250773994,0.6099071207430341,0.08802305810731627,6.063700179340528
11.533493849019102,18.60879020758623,21.606281353043705,15.16,24.46,28.4,328.74865716890463,109.12949597614124,180.062955369885,205.98036950497695,45.663755775643196,0.6197874080130825,0.580539656582175,0.6001635322976288,0.0980587923544022,4.237347039420492
13.45067092682439,18.60879020758623,21.606281353043705,17.68,24.46,28.4,279.797163769008,109.12949597614124,180.062955369885,189.66320503834473,38.85301444565635,0.7228127555192151,0.580539656582175,0.6516762060506951,0.10281169758122075,5.245058283063906
6.284080421695105,10.57490531011646,12.492082387921748,8.26,13.9,16.42,67.65936389674971,290.0452965837908,342.6091121272693,233.43792420260328,38.94924458447711,0.5942446043165468,0.5906474820143885,0.5924460431654677,0.10499462629221458,9.474088251468842
10.57490531011646,18.60879020758623,22.97569355147605,13.9,24.46,30.2,290.0452965837908,109.12949597614124,124.72961726991116,174.6348032766144,35.42421470191967,0.5682747342600163,0.6173344235486508,0.5928045789043335,0.11006653702997053,4.712603843976971
11.533493849019102,19.65867289305103,22.97569355147605,15.16,25.84,30.2,328.74865716890463,130.59166088715438,124.72961726991116,194.68997844199006,36.7117216340227,0.586687306501548,0.5843653250773994,0.5855263157894737,0.11476153048741997,5.736687948784038
13.45067092682439,19.65867289305103,21.606281353043705,17.68,25.84,28.4,279.797163769008,130.59166088715438,180.062955369885,196.81726000868244,36.014767271601265,0.6842105263157896,0.5495356037151704,0.61687306501548,0.11843763303754215,6.01585428304372
