region,k,n_eff,deltaD,A2,phi2,bound_active,success
signal_Bplus_jpsiK_control,6.0,0.3041009127214327,1.2190458745215523e-10,1.2369356412259478e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.02,0.3051145824305041,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,6.04,0.30612825213957556,2.6059619578315084e-11,1.40429497027045e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.06,0.30714192184864697,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,6.08,0.30815559155771843,2.5979762783294547e-11,1.2548358753110606e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,6.1,0.30916926126678984,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,6.12,0.3101829309758613,3.462479999422015e-10,2.5857392661999542e-09,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,6.14,0.31119660068493277,3.015662225968032e-10,9.296224816809973e-09,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.16,0.31221027039400423,3.6309203641041026e-10,1.1104260624649031e-14,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.18,0.31322394010307564,3.1526031265275493e-10,4.1597441435297445e-10,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,6.2,0.3142376098121471,4.063412184251206e-10,1.2242567696512115e-14,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,6.22,0.3152512795212185,2.388031295647898e-10,6.102631419519875e-09,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,6.24,0.31626494923029,3.064874947071801e-10,1.2948067807041967e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,6.26,0.31727861893936143,1.0161892960705974e-10,1.7030088730705144e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.28,0.3182922886484329,-9.154942309468457e-11,2.136617179186717e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.3,0.3193059583575043,3.794636374862324e-10,1.7356832669258285e-10,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,6.32,0.32031962806657577,-1.8788619639820238e-10,2.229200006044983e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.34,0.3213332977756472,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,6.36,0.32234696748471864,1.4816247722798202e-10,1.2147564504475455e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.38,0.3233606371937901,1.4599769324276592e-10,7.118289048622994e-09,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,6.4,0.32437430690286156,4.2815083824451763e-10,5.1529655838142125e-09,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,6.42,0.32538797661193297,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,6.44,0.32640164632100443,2.565676186837284e-10,9.799050235799264e-09,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.46,0.32741531603007584,3.3635933708758e-10,1.7029163468870696e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,6.48,0.3284289857391473,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,6.5,0.32944265544821877,4.1631454745998185e-10,5.607296482998553e-09,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,6.52,0.3304563251572902,3.6725687821282706e-10,3.546798695875697e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,6.54,0.3314699948663616,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,6.5600000000000005,0.33248366457543305,4.4480438558564547e-10,4.749023067085833e-09,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.58,0.3334973342845045,7.026638846115688e-11,1.3468347497352981e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,6.6,0.3345110039935759,1.6808123770297966e-10,9.906458889756558e-09,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,6.62,0.3355246737026474,3.4893098901991176e-10,5.531448695648639e-09,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.64,0.33653834341171884,7.352364318760755e-11,3.432605546534317e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.66,0.3375520131207903,3.169161988019565e-10,1.9106976650447455e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.68,0.33856568282986166,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,6.7,0.3395793525389331,1.0525160514004482e-10,2.2188645273346756e-07,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,6.72,0.3405930222480046,2.0724400897981465e-10,3.2700801724600405e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.74,0.34160669195707605,3.3570769443575947e-10,9.53294992981193e-10,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,6.76,0.34262036166614745,3.680107720443961e-10,2.505023984546303e-11,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,6.78,0.343634031375219,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,6.8,0.3446477010842904,3.8613982239868367e-10,2.727609687335485e-13,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,6.82,0.34566137079336184,4.156471645651065e-10,1.6664675702950306e-09,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.84,0.3466750405024333,2.1300518262688606e-10,1.12762739863757e-07,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.86,0.3476887102115047,2.5105351376642506e-10,1.4193154285021656e-07,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.88,0.3487023799205761,-5.996258571265839e-11,2.6109274240902474e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,6.9,0.3497160496296476,3.60584490141179e-10,3.17906047754861e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.92,0.35072971933871905,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,6.94,0.3517433890477905,1.192629283234603e-10,4.883750168693042e-07,2.356194490192345,False,True
signal_Bplus_jpsiK_control,6.96,0.3527570587568619,-1.8652200452024438e-12,2.8925224460785458e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,6.98,0.3537707284659333,3.7806146637925713e-10,2.4470756964273424e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,7.0,0.3547843981750048,1.6805125857342848e-10,1.5341332129381397e-07,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,7.02,0.3557980678840762,2.40476389419209e-10,8.880211906696047e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,7.04,0.35681173759314766,3.855590916521108e-10,2.7624779718210927e-09,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,7.0600000000000005,0.3578254073022191,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,7.08,0.3588390770112906,2.428121593252568e-10,6.018168454942847e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,7.1,0.35985274672036194,3.491419596026207e-10,3.796856375725446e-09,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,7.12,0.3608664164294334,-1.3252012563948365e-09,9.565627269486155e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.140000000000001,0.361880086138505,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,7.16,0.3628937558475763,3.077150693782621e-10,3.091047086574922e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,7.18,0.36390742555664773,3.539336159531804e-10,3.071691649204797e-09,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.2,0.36492109526571925,3.7688544743038134e-10,1.0987634538089507e-12,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.22,0.36593476497479066,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,7.24,0.3669484346838621,2.308948111269723e-10,5.9373370293900366e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,7.26,0.3679621043929336,3.562552198842658e-10,1.539983836462758e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.28,0.36897577410200505,2.3577406292006605e-10,4.714373862575029e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,7.3,0.3699894438110764,3.088087680165404e-10,2.1902879814423498e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.32,0.37100311352014786,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,7.34,0.3720167832292193,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,7.36,0.3730304529382908,1.486452844089239e-10,5.921008044794087e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,7.38,0.3740441226473622,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,7.4,0.37505779235643366,2.56998333347533e-10,1.7106800807189488e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,7.42,0.37607146206550507,-1.7332550722610474e-10,9.058796996396759e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,7.4399999999999995,0.3770851317745765,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,7.46,0.37809880148364794,3.8111452055570326e-10,1.0861736787741862e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.48,0.3791124711927194,3.612046576493715e-10,9.060392214057874e-13,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,7.5,0.38012614090179087,2.4786903321650413e-10,5.561083635421758e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,7.52,0.3811398106108623,2.4936477199212927e-10,1.5556612852547636e-07,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.54,0.3821534803199337,3.454732302228298e-10,3.9915778029388814e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.5600000000000005,0.38316715002900525,6.289712344491965e-11,2.6718286416779286e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,7.58,0.3841808197380766,3.3713373805930417e-10,2.9223106868399867e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,7.6,0.385194489447148,2.082656610103137e-10,1.588512973001339e-07,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.62,0.38620815915621953,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,7.640000000000001,0.387221828865291,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,7.66,0.3882354985743624,2.9546587351632537e-10,9.046651115900431e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.68,0.38924916828343387,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,7.7,0.39026283799250533,2.6258109819674386e-10,1.2095721012797697e-07,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.72,0.3912765077015767,3.01728137308932e-10,3.685427081048581e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,7.74,0.39229017741064814,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,7.76,0.3933038471197196,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,7.78,0.39431751682879107,2.603711103309775e-10,5.4347588023465485e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,7.8,0.3953311865378625,4.387980295742744e-10,2.1168896598954764e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,7.82,0.39634485624693394,2.853402471526779e-10,8.819719210077831e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.84,0.3973585259560054,2.588913415105628e-10,3.528813243295864e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,7.86,0.3983721956650768,3.7146602458522407e-10,3.2757797984495587e-09,2.356194490192345,False,True
signal_Bplus_jpsiK_control,7.88,0.3993858653741482,-3.889396697131988e-10,2.5571668988272587e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,7.9,0.4003995350832197,4.0350353501148523e-10,2.550464652774163e-09,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,7.92,0.40141320479229115,3.2775874564695844e-10,6.036068325946126e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.9399999999999995,0.40242687450136255,2.9772953318318594e-10,2.2066015345737933e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,7.96,0.403440544210434,3.8294661811547085e-10,5.121576135949475e-10,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,7.98,0.40445421391950553,1.9646571003352063e-10,9.15032602564648e-09,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,8.0,0.4054678836285769,3.8686940764767865e-10,1.650055271984455e-09,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,8.02,0.4064815533376483,3.0357735071635235e-10,6.350241989340736e-10,2.356194490192345,False,True
signal_Bplus_jpsiK_control,8.04,0.40749522304671976,1.943426142370439e-10,1.6994044490240922e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,8.06,0.4085088927557913,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,8.08,0.4095225624648627,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,8.1,0.41053623217393415,3.167465953400192e-10,3.990542417208649e-09,2.356194490192345,False,True
signal_Bplus_jpsiK_control,8.120000000000001,0.4115499018830056,-4.275824463010789e-11,5.0490306831174084e-08,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,8.14,0.41256357159207707,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,8.16,0.4135772413011484,3.771572298639675e-10,2.299477356803853e-15,2.356194490192345,False,True
signal_Bplus_jpsiK_control,8.18,0.4145909110102199,3.106202149996366e-10,9.964613217367556e-12,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,8.2,0.4156045807192913,4.3976388645270573e-10,7.832789621415592e-10,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,8.22,0.4166182504283628,3.456322930432908e-10,5.1186817590847264e-11,2.356194490192345,False,True
signal_Bplus_jpsiK_control,8.24,0.4176319201374342,-4.2875239661016146e-10,1.9736451064913105e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,8.26,0.4186455898465057,-1.0920542602392311e-10,2.181106809687821e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,8.280000000000001,0.4196592595555772,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,8.3,0.42067292926464855,3.5182255373803345e-10,9.468189195107453e-09,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,8.32,0.42168659897371996,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,8.34,0.4227002686827914,3.309162188839655e-10,1.037440326255017e-13,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,8.36,0.42371393839186283,8.627039410727293e-11,1.5820118148487698e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,8.379999999999999,0.4247276081009343,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,8.4,0.4257412778100058,2.8096933629876264e-10,1.455992580074297e-10,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,8.42,0.42675494751907717,2.902880261625122e-10,5.886086484415214e-09,2.356194490192345,False,True
signal_Bplus_jpsiK_control,8.44,0.4277686172281486,3.347921875688776e-10,2.199407689417427e-10,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,8.46,0.4287822869372201,3.887124695980457e-10,1.9345181490527002e-09,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,8.48,0.42979595664629155,2.7234430517377613e-10,2.5299801676814294e-09,2.356194490192345,False,True
signal_Bplus_jpsiK_control,8.5,0.43080962635536296,4.215087198107202e-10,1.7254437956866418e-09,2.356194490192345,False,True
signal_Bplus_jpsiK_control,8.52,0.4318232960644344,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,8.54,0.4328369657735058,3.08390107475316e-10,8.161358729906326e-09,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,8.56,0.43385063548257735,1.7532758575110435e-10,7.3304708890365785e-09,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,8.58,0.4348643051916487,-1.5976958234457308e-10,1.4971598009865983e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,8.6,0.43587797490072017,2.5151122497044946e-11,1.2554208675649414e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,8.620000000000001,0.43689164460979163,-6.685803304827813e-10,2.381527997003455e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,8.64,0.4379053143188631,-3.137079152509042e-10,2.029899232949648e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,8.66,0.4389189840279345,1.669673771543008e-10,9.734207940877388e-09,2.356194490192345,False,True
signal_Bplus_jpsiK_control,8.68,0.43993265373700596,3.748330896682261e-10,5.881183654878287e-13,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,8.7,0.4409463234460773,4.320126977186252e-10,2.2069192934676574e-09,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,8.72,0.44195999315514883,3.359407036520419e-10,2.106928599691087e-10,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,8.74,0.44297366286422024,3.010961684230201e-10,1.2817788578828814e-10,2.356194490192345,False,True
signal_Bplus_jpsiK_control,8.76,0.4439873325732917,3.3756128032580384e-10,1.3398225738169136e-09,1.5707963267948966,False,True
