k2,deltaD_add_exact,D_base_exact,D_two_exact,C,a1,b1,A1,phi1,a2,b2,A2,phi2,success,message,n_iter,amplitude1_bound_active,amplitude2_bound_active
18.0,102.6218066099716,1255.9044965985288,1153.2826899885572,-0.029809869619496405,0.015346897996589429,0.0905387341833609,0.09183022196228759,-1.4028859110459295,0.09388320323932653,-0.034437539829716465,0.1,0.35157340730889874,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,False,True
18.01,104.38113306424316,1255.9044965985288,1151.5233635342856,-0.029713652295856617,0.01545088366792431,0.09029513095135283,0.09160753505930441,-1.4013223401567332,0.09443169293264826,-0.03290372881413336,0.1,0.33528391422551534,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,False,True
18.02,106.1005687077054,1255.9044965985288,1149.8039278908234,-0.029616232534738374,0.015553422153597734,0.09005293786635463,0.09138621646096064,-1.3997693842272372,0.09494926246761258,-0.03137893492227578,0.1,0.3191813347330956,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,False,True
18.03,107.77883148422575,1255.9044965985288,1148.125665114303,-0.029518856849206975,0.015654985932650876,0.08981116279131715,0.09116536374347424,-1.3982202121604765,0.09543710107466491,-0.029862346499633863,0.1,0.3032499800139298,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,False,True
18.04,109.41468991272473,1255.9044965985288,1146.489806685804,-0.0294201853721538,0.01575337585648421,0.0895714932324321,0.0909462547374178,-1.3967019011524802,0.095895883520865,-0.028354532684434986,0.1,0.2874891575287937,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,False,True
18.05,111.00696129137964,1255.9044965985288,1144.8975353071492,-0.02932059211288769,0.01584993317491463,0.08933222684567808,0.09072743319887842,-1.3951969248790974,0.09632695490724746,-0.02685363584874706,0.1,0.27187325727917006,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,False,True
18.06,112.55451002865334,1255.9044965985288,1143.3499865698755,-0.029220337626053812,0.0159450387721101,0.08909569405749497,0.09051125322870543,-1.3937057843056369,0.0967305087764684,-0.025361558939575698,0.1,0.2564162304088073,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,False,True
18.07,114.05624607734126,1255.9044965985288,1141.8482505211875,-0.02911866178403371,0.016037504774497894,0.08886021972061506,0.09029584823339348,-1.3922383571687447,0.09710781377920362,-0.023876191133083036,0.1,0.24109068782099774,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,False,True
18.08,115.51112346728655,1255.9044965985288,1140.3933731312422,-0.02901609070523669,0.01612962093188621,0.08862757325478106,0.09008335813255368,-1.3907733570991265,0.09745884118021488,-0.022400318654198965,0.1,0.22592011120269226,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,False,True
18.09,116.91813887496642,1255.9044965985288,1138.9863577235624,-0.02891231206612849,0.016219282077765847,0.08839536972112327,0.08987105484666469,-1.3893291904928065,0.0977850769896391,-0.020930330100845378,0.1,0.21086242548995757,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,False,True
18.1,118.2763303698348,1255.9044965985288,1137.628166228694,-0.028807547268755028,0.016307000322588534,0.0881666232650114,0.08966198591083822,-1.3879065087728493,0.09808642384966065,-0.019469295220544632,0.1,0.19594440241722302,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,False,True
18.11,119.58477614295498,1255.9044965985288,1136.3197204555738,-0.028701399372755784,0.016394250643178385,0.08793970779396723,0.08945481351520272,-1.3864860734003492,0.09836383156172729,-0.018015455600570923,0.1,0.18114357585225968,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,False,True
18.12,120.842593372176,1255.9044965985288,1135.0619032263528,-0.028593593740370956,0.01647938331507773,0.08771525043731436,0.08924984724763421,-1.3850874516518834,0.09861791930287857,-0.016568222366051554,0.1,0.16644975585188945,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,False,True
18.13,122.04893713992556,1255.9044965985288,1133.8555594586032,-0.02848555790029892,0.016562697608002188,0.08749302696088418,0.08904691302247443,-1.3837071246112167,0.09884903619720878,-0.015128385336277939,0.1,0.1518669461871089,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,False,True
18.14,123.20299937777895,1255.9044965985288,1132.7014972207498,-0.028376028298851448,0.016644460829551705,0.08727422226112548,0.08884721688151415,-1.3823448525689264,0.09905772935404554,-0.01369548302253943,0.1,0.13738661983648773,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,False,True
18.15,124.30400792394516,1255.9044965985288,1131.6004886745836,-0.028264905124640905,0.016724990834710955,0.08705765071330468,0.08864964673443954,-1.3809948598037143,0.09924434589485395,-0.012270281492393982,0.1,0.12301282177782931,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,False,True
18.16,125.3512256195429,1255.9044965985288,1130.553270978986,-0.02815298399703448,0.016803222275549593,0.0868443740351563,0.08845503705499,-1.3796714282328815,0.09940949534044476,-0.010851370243342243,0.1,0.10872780104683441,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,False,True
18.17,126.34394942040353,1255.9044965985288,1129.5605471781253,-0.028039154694702084,0.016881298190524835,0.0866342970245507,0.08826369383577537,-1.3783508260457624,0.0995535107954316,-0.009439199558431144,0.1,0.0945327303193266,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,False,True
18.18,127.28150963549183,1255.9044965985288,1128.622986963037,-0.027924146818319284,0.016956650385146543,0.08642640727568338,0.08807412711384874,-1.3770596166688411,0.09967673784274808,-0.00803417282786926,0.1,0.0804284118431204,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,False,True
18.19,128.16326913194575,1255.9044965985288,1127.741227466583,-0.02780853570248059,0.017031032652310263,0.08622153878294285,0.08788748388310236,-1.3757803281064513,0.0997795759473264,-0.0066359794884948385,0.1,0.06640859556477802,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,False,True
18.2,128.98862262492412,1255.9044965985288,1126.9158739736047,-0.02769115789563178,0.01710425461860321,0.08602031443394594,0.08770433296806343,-1.374516676228599,0.09986239552768672,-0.005244231065833719,0.1,0.05246637822769569,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,False,True
18.21,129.7569960333542,1255.9044965985288,1126.1475005651746,-0.027572500532849164,0.017175960344913026,0.08582312371492365,0.08752498030823609,-1.3732737692331747,0.09992548760446202,-0.003859653742307471,0.1,0.03860612668275329,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,False,True
18.22,130.46784582794658,1255.9044965985288,1125.4366507705822,-0.027452883098817014,0.017245420120193818,0.0856286311392659,0.08734796497862124,-1.3720570658848334,0.09996921927358854,-0.002480967115698313,0.1,0.024812217002771957,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,False,True
18.23,131.12065848014868,1255.9044965985288,1124.7838381183801,-0.02733136602965415,0.017315193963464974,0.0854383891605022,0.0871753077673594,-1.3708415770658382,0.09999385150576129,-0.0011089008268376742,0.1,0.011089235542977843,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,False,True
18.24,131.71494984379183,1255.9044965985288,1124.189546754737,-0.02720860548098047,0.017383388104010963,0.08525061860651231,0.08700488580975033,-1.369644732109418,0.09999966990782805,0.0002569403149172598,0.1,-0.002569405976309218,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,False,True
18.25,132.25026469930617,1255.9044965985288,1123.6542318992226,-0.027084675060101728,0.017450204358952972,0.0850676624757106,0.0868390282721464,-1.3684698765959475,0.09998692874895149,0.001616811476981667,0.1,-0.016168819264941795,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,False,True
18.26,132.72617627734144,1255.9044965985288,1123.1783203211874,-0.026959761283333442,0.017516037585950318,0.0848873626600321,0.08667569389447216,-1.367307827525114,0.09995590835401676,0.0029692398224804035,0.1,-0.02969676295030853,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,False,True
18.27,133.1422857771006,1255.9044965985288,1122.7622108214282,-0.02683295541081354,0.0175799467221294,0.08471180262783039,0.0865167268868246,-1.3661743014103083,0.09990682626356406,0.004315792620368598,0.1,-0.04317133515207042,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,False,True
18.28,133.4982219956148,1255.9044965985288,1122.406274602914,-0.026705767685998017,0.01764235872684057,0.08453885276223438,0.08636012070279471,-1.3650597489489547,0.09983990444462944,0.00565627797118072,0.1,-0.05659298388701336,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,False,True
18.29,133.79364092796527,1255.9044965985288,1122.1108556705635,-0.02657670822978738,0.01770485861767216,0.08437101586831171,0.08620864421461845,-1.3639523316602755,0.09975539419469731,0.006990087915080295,0.1,-0.06995792884290353,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,False,True
18.3,134.02822541801652,1255.9044965985288,1121.8762711805123,-0.026446959180391437,0.01776504272730958,0.08420700106613735,0.08606053550644216,-1.3628765154428062,0.09965348263136724,0.008317655886113036,0.1,-0.08327276596510319,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,False,True
18.31,134.20168487701858,1255.9044965985288,1121.7028117215102,-0.026315539538887874,0.017825648441886766,0.08404677184255815,0.0859163174229946,-1.3618013326732148,0.09953433903760722,0.009639260985504052,0.1,-0.09654251002109909,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,False,True
18.32,134.31375494834015,1255.9044965985288,1121.5907416501886,-0.026183071591198058,0.017884064599225112,0.08389022043518056,0.08577533941205039,-1.3607564422662513,0.09939814201176206,0.010954878575757134,0.1,-0.10976909226120345,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,False,True
18.33,134.36419729724662,1255.9044965985288,1121.5402993012822,-0.026049146989819756,0.0179419152041144,0.08373827643165273,0.085638842010711,-1.3597258424666139,0.09924511120566981,0.0122640899284958,0.1,-0.12295043494896071,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,False,True
18.34,134.35279935207222,1255.9044965985288,1121.5516972464566,-0.0259144003246893,0.01799859387501272,0.08359044209905847,0.0855062067442691,-1.3587154699958026,0.09907541601446285,0.013566942970364402,0.1,-0.1360891081667218,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,False,True
18.35,134.27937411754374,1255.9044965985288,1121.625122480985,-0.025778685261091575,0.018054159779879377,0.08344673895626929,0.08537746147428585,-1.357724931059509,0.09888907049403925,0.01486444539244359,0.1,-0.14919735668310358,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,False,True
18.36,134.14376001188998,1255.9044965985288,1121.7607365866388,-0.025641763936051835,0.018110041038652786,0.08330797554831222,0.08525369420957589,-1.3567400953903315,0.09868637622818649,0.01615546802011104,0.1,-0.16226582521100313,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,False,True
18.37,133.94582068815112,1255.9044965985288,1121.9586759103777,-0.02550380581321812,0.01816437823389148,0.08317282456167054,0.08513320963167251,-1.3557791710313731,0.09846738648421116,0.017440579089267386,0.1,-0.17530227809057533,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,False,True
