null_delta_chi2,null_best_k
0.004401231163146474,0.9662081040520262
0.0028514867963653386,5.0
0.001240546729512855,1.535742871435718
0.0003831228671958911,2.751575787893947
0.0012043402549588508,5.0
0.0024400993576777046,5.0
0.0020295924441411893,5.0
0.0007990064629460475,2.3479489744872435
0.006060422890499267,1.5332666333166585
0.00043617985982606286,5.0
0.0041909063481888435,1.7214607303651828
0.004471191621620192,2.2167083541770887
0.0003569522130965029,2.9546273136568284
0.0036308851656062513,0.05
0.0033981538146838873,1.562981490745373
0.002690711164058914,3.4870185092546273
0.0059477883443857585,5.0
0.003652055873268459,4.3834167083541775
0.0020589475295546625,2.887768884442221
0.0021930537630000455,1.7486993496748375
0.0023040139587430127,3.643021510755378
0.0037041233300028273,4.182841420710355
0.002654618483958905,1.3005002501250627
0.0031000530628480308,5.0
0.0029100826618935587,4.410655327663832
0.004314920675615411,1.5085042521260632
0.001316831747416397,4.858854427213607
0.01104224159671479,1.241070535267634
0.0016276726910742292,2.372711355677839
0.0008344369715718482,4.658279139569785
0.001089000565635028,5.0
0.003289668058888799,3.4498749374687345
0.007657904569865717,0.05
0.0025457300263534363,2.308329164582291
0.007243612338070367,0.05
0.00287200112756298,3.321110555277639
0.0016109541930495429,2.3009004502251127
0.001746051301304525,5.0
0.0033679047355851567,3.99959979989995
0.0022950197861170973,2.724337168584292
0.0017697350332077331,5.0
0.005678623380812663,3.2765382691345675
0.005028926972379645,2.191945972986493
0.0017725290115219658,0.05
0.007908349188621155,4.167983991995998
0.0026097151167781343,2.372711355677839
0.003160183169610444,0.7755377688844424
0.0005911120607894338,4.57903951975988
0.0028431516153631722,0.05
0.0029421904902815453,4.249699849924963
0.0011265888360252468,1.5852676338169087
0.0015536695975620247,1.5555527763881942
0.002310246520426492,2.8407203601800903
0.0007224290588640388,0.05
0.0071877887097579925,0.05
0.003532930826680901,5.0
0.003372704876484285,4.985142571285643
0.002495680889141292,4.539419709854927
0.0006182219331645165,3.3334917458729367
0.0024460391002484663,0.05
0.004493379036003078,1.6719359679839922
0.005230841831443303,3.749499749874938
0.0018913630310455412,1.5555527763881942
0.002564594787308909,2.1498499249624814
0.0024685150479909976,3.8708354177088546
0.001096532567012195,3.150250125062531
0.003663147061563829,5.0
0.002292570555463027,3.405302651325663
0.0028870534590040783,5.0
0.0024263033419111672,0.05
0.006102266535779319,1.562981490745373
0.00320159060336633,2.184517258629315
0.00532862893872495,1.1370685342671336
0.0029605577709629523,4.202651325662831
0.0024433272692262926,5.0
0.0018108137327274565,5.0
0.001764565979082075,3.058629314657329
0.0010735668149195916,3.942646323161581
0.002304422750735946,1.8898449224612308
0.008118512012192783,0.05
0.00763510844070317,5.0
0.004829688320335666,4.2051275637818915
0.0016883728790648422,2.4098549274637318
0.0011893332753461251,2.1572786393196597
0.0013427101914928463,4.42303651825913
0.0012137185358423105,2.7763381690845423
0.0023614845360948357,5.0
0.004855392447246264,4.111030515257629
0.0019215547804615693,0.05
0.0018584533007565442,2.4593796898449227
0.002215332888954886,3.058629314657329
0.0038055501340256565,1.0974487243621813
0.0017126155519844553,5.0
0.002483092742404727,0.05
0.0015971008897247736,4.789519759879941
0.0013034629179324818,0.05
0.0005529607885804456,5.0
0.002460305131909639,5.0
0.0011498849483703097,1.5827913956978492
0.0022996859801725812,4.826663331665833
0.0018959761116820878,3.58111555777889
0.0019255036730043765,2.57823911955978
0.001697825229068431,1.4540270135067535
0.0020594625480201967,3.335967983991996
0.004399445865870957,2.035942971485743
0.0063376532903480255,1.7709854927463733
0.0009728924433249388,2.8233866933466736
0.0008565466040927894,1.8923211605802903
0.0031468594731564846,4.029314657328665
0.008201916529924535,1.3500250125062534
0.0018396397760190655,1.3401200600300152
0.0007260562767904474,1.404502251125563
0.0012632935989040917,0.05
0.0017669318573117695,0.05
0.003213972778702459,5.0
0.0009298433475324816,4.091220610305153
0.0018177339789064613,3.9921710855427714
0.0012079796225999972,1.6372686343171587
0.0025624066629179702,3.489494747373687
0.0037414336365004797,1.5902201100550277
0.0007088233630658317,5.0
0.0008174820624916694,5.0
0.0018631963492179125,4.809329664832417
0.003241436224608523,0.05
0.0019107441910116638,1.4391695847923964
0.0011070344392607838,3.7098799399699853
0.0014697087782438792,3.652926463231616
0.0023514385218563923,3.5538769384692346
0.002277569010937199,2.013656828414207
0.0006608080651723108,1.7189844922461233
0.0012009673759997008,4.195222611305653
0.0035392093750838613,5.0
0.0005636880337698338,1.6372686343171587
0.001924378499494707,5.0
0.0031081791508735176,3.1131065532766384
0.0016547342799343341,0.05
0.0012264503580936524,3.9773136568284144
0.0021121575955926446,1.2385942971485744
0.004190490789994943,2.5757628814407205
0.0028606718627213756,5.0
0.0024656690452009786,4.621135567783893
0.002247564267244248,5.0
0.0018714902457999845,5.0
0.0020941518033377737,3.662831415707854
0.0008104961431269764,5.0
0.0008918105462547565,4.975237618809405
0.003616404615112895,1.9789894947473738
0.000527228012006855,2.731765882941471
0.004935957488671837,3.7148324162081043
