k,delta_chi2,chi2_null,chi2_cos,C,a,b,A,phi
0.05,0.0022409115967921,0.04263109023995433,0.04039017864316223,3.9217357692613177,-3.9329538676366838,-0.12609302995025473,3.9349746602945723,3.1095429886865227
0.052476238119059535,0.002240870511978313,0.04263109023995433,0.04039021972797602,3.5594384541202544,-3.5706566632259182,-0.12015015121171047,3.572677576478998,3.1079560299669504
0.054952476238119066,0.0022408274351028296,0.04263109023995433,0.0403902628048515,3.245005682926376,-3.256224008088566,-0.1147431941679784,3.2582450477918683,3.1063691136605107
0.05742871435717859,0.002240782364577726,0.04263109023995433,0.040390307875376605,2.9703628523282077,-2.9815812988691732,-0.10980283452957451,2.9836024708793083,3.104782241753852
0.05990495247623812,0.002240735299739234,0.04263109023995433,0.0403903549402151,2.72906893599702,-2.7402875092359977,-0.10527121051461563,2.7423088194144074,3.1031954162146453
0.062381190595297654,0.0022406862393198335,0.04263109023995433,0.0403904040006345,2.5159353651260403,-2.5271540703776623,-0.10109964765042534,2.5291755245892733,3.1016086390148305
0.06485742871435718,0.0022406351824032153,0.04263109023995433,0.040390455057551115,2.326744753914454,-2.3379635964894305,-0.09724690501890265,2.3399852006039583,3.100021912116054
0.06733366683341671,0.0022405821275353136,0.04263109023995433,0.04039050811241902,2.158040652318789,-2.16925963752351,-0.09367780829640182,2.1712813974139435,3.098435237486037
0.06980990495247624,0.0022405270737638136,0.04263109023995433,0.04039056316619052,2.006968548379575,-2.018187681516224,-0.09036217391956214,2.020209603060856,3.0968486170771046
0.07228614307153577,0.0022404700196706345,0.04263109023995433,0.040390620220283696,1.871154319901649,-1.8823736062674357,-0.08727395417070127,1.8843956953487397,3.0952620528452663
0.0747623811905953,0.0022404109641424447,0.04263109023995433,0.040390679275811886,1.7486103879806194,-1.7598298328681494,-0.08439055232115322,1.761852095374015,3.0936755467350325
0.07723861930965484,0.0022403499056076748,0.04263109023995433,0.040390740334346656,1.637662581772588,-1.648882190469294,-0.08169226937668306,1.6509046322918626,3.0920891006953912
0.07971485742871437,0.002240286842860449,0.04263109023995433,0.04039080339709388,1.5368926537312575,-1.5481124315196269,-0.07916185407928289,1.550135058556796,3.0905027166612236
0.0821910955477739,0.002240221774420535,0.04263109023995433,0.040390868465533795,1.4450927288071398,-1.4563126809642029,-0.07678413412814145,1.4583354991190993,3.088916396567276
0.08466733366683342,0.002240154698725863,0.04263109023995433,0.04039093554122847,1.3612289398359252,-1.3724490716331843,-0.07454571218064032,1.3744720868141733,3.0873301423445514
0.08714357178589295,0.0022400856143614395,0.04263109023995433,0.04039100462559289,1.284412190757564,-1.2956325074609225,-0.0724347136903738,1.2976557255824381,3.0857439559135904
0.08961980990495248,0.002240014519663505,0.04263109023995433,0.040391075720290825,1.213874493951053,-1.225095000820403,-0.0704405764973206,1.227118427802475,3.0841578391945426
0.09209604802401201,0.002239941413068977,0.04263109023995433,0.040391148826885354,1.1489497004375693,-1.1601704027267914,-0.06855387442005778,1.1621940444956884,3.082571794098072
0.09457228614307155,0.0022398662929050406,0.04263109023995433,0.04039122394704929,1.0890577141607878,-1.1002786171175671,-0.06676616851990147,1.102302479605745,3.080985822530834
