k,delta_chi2,chi2_null,chi2_cos,C,a,b,A,phi
0.05,0.004134254985387749,0.01857724628588854,0.014442991300500791,0.8907397880424242,-0.8717975906960191,-0.26597562576466416,0.9114680864650657,2.8454738564453073
0.052476238119059535,0.004134218581539718,0.01857724628588854,0.014443027704348823,0.8093418172859401,-0.7903981519715728,-0.2534269630357553,0.830032809130822,2.831316493508334
0.054952476238119066,0.004134180378359133,0.01857724628588854,0.014443065907529407,0.7386977161813775,-0.7197525119112527,-0.2420093166039763,0.7593498454109815,2.8172287188401977
0.05742871435717859,0.004134140370149253,0.01857724628588854,0.014443105915739288,0.6769933423856287,-0.6580465281656132,-0.23157638280590476,0.6976050847752502,2.803212923243919
0.05990495247623812,0.004134098550983668,0.01857724628588854,0.014443147734904873,0.6227815733973046,-0.6038330782270975,-0.222006048467021,0.6433514373320024,2.7892713923345736
0.062381190595297654,0.004134054914656784,0.01857724628588854,0.014443191371231756,0.5748966798118573,-0.5559464326844505,-0.21319558964568586,0.595423207020803,2.7754063052794744
0.06485742871435718,0.004134009454675534,0.01857724628588854,0.014443236831213006,0.53239113016933,-0.5134390600707235,-0.20505797024676564,0.5528728963948508,2.7616197338920134
0.06733366683341671,0.004133962164301699,0.01857724628588854,0.014443284121586842,0.4944883548322707,-0.47553439074125947,-0.1975189573920506,0.514923970413986,2.7479136422883976
0.06980990495247624,0.004133913036524817,0.01857724628588854,0.014443333249363723,0.4605470229242741,-0.4415910938123062,-0.19051485068080076,0.4809351333228597,2.734289886576641
0.07228614307153577,0.004133862064067396,0.01857724628588854,0.014443384221821145,0.4300337341662157,-0.4110757689970512,-0.18399067818946868,0.4503730204143424,2.72075021500001
0.0747623811905953,0.004133809239383293,0.01857724628588854,0.014443437046505248,0.402501933890278,-0.3835418616197188,-0.1778987509715657,0.4227911129765652,2.7072962683132573
0.07723861930965484,0.0041337545546452185,0.01857724628588854,0.014443491731243322,0.3775754816932917,-0.35861323126893296,-0.17219749560548436,0.3978133068839528,2.693929580379302
0.07971485742871437,0.004133698001774402,0.01857724628588854,0.014443548284114139,0.3549357361242542,-0.3359712364853138,-0.16685050435324245,0.37512099721076936,2.680651579212918
0.0821910955477739,0.004133639572409222,0.01857724628588854,0.014443606713479318,0.33431132068025704,-0.31534450075725573,-0.16182575699512602,0.35444284417221406,2.6674635880152517
0.08466733366683342,0.004133579257920756,0.01857724628588854,0.014443667027967785,0.3154699536969474,-0.2965007424114887,-0.15709497923359628,0.33554660294952776,2.6543668266141935
0.08714357178589295,0.004133517049406961,0.01857724628588854,0.01444372923648158,0.29821187956401474,-0.27924020582861075,-0.15263311047739103,0.3182325548481933,2.6413624130243765
0.08961980990495248,0.004133452937694255,0.01857724628588854,0.014443793348194286,0.2823645524786791,-0.2633903451964521,-0.14841785986244282,0.30232819099259317,2.6284513652543797
0.09209604802401201,0.004133386913334897,0.01857724628588854,0.014443859372553644,0.267778306963411,-0.2488014950278874,-0.14442933389428214,0.2876838827902215,2.615634603244375
0.09457228614307155,0.004133318966606195,0.01857724628588854,0.014443927319282346,0.25432281128688317,-0.235343323581791,-0.1406497225895582,0.2741693353003637,2.6029129509781104
0.09704852426213106,0.004133249087514725,0.01857724628588854,0.014443997198373816,0.24188414608677533,-0.22290191148580263,-0.1370630336696359,0.2616706658048401,2.590287138776507
0.0995247623811906,0.004133177265782505,0.01857724628588854,0.014444069020106035,0.23036238525089203,-0.21137733261747726,-0.13365486642737867,0.2500879846458043,2.5777578056075026
0.10200100050025013,0.004133103490861989,0.01857724628588854,0.014444142795026552,0.21966958289032412,-0.20068164107744302,-0.13041221854301277,0.23933338214893088,2.565325501670025
0.10447723861930966,0.004133027751926758,0.01857724628588854,0.014444218533961783,0.2097280901678964,-0.19073718801788075,-0.1273233203633941,0.22932924541219746,2.5529906909354136
0.10695347673836919,0.004132950037870477,0.01857724628588854,0.014444296248018063,0.20046914172299957,-0.18147520806730633,-0.1243774922060088,0.22000684469017753,2.540753753828855
0.10942971485742872,0.004132870337308695,0.01857724628588854,0.014444375948579845,0.19183166342017266,-0.1728346270792045,-0.121565021036943,0.2113051411048015,2.5286149899773593
0.11190595297648825,0.004132788638575075,0.01857724628588854,0.014444457647313466,0.1837612626789653,-0.16476105246186457,-0.11887705352093048,0.20316977694076316,2.516574620992915
0.11438219109554779,0.004132704929723615,0.01857724628588854,0.014444541356164926,0.1762093701339289,-0.1572059148383982,-0.11630550296488562,0.19555221727224859,2.5046327933234993
0.11685842921460732,0.004132619198524208,0.01857724628588854,0.014444627087364333,0.16913250722239503,-0.1501257356345178,-0.11384296809070504,0.18840901752173758,2.4927895810946317
0.11933466733366684,0.004132531432466049,0.01857724628588854,0.014444714853422492,0.16249165905311003,-0.14348149994716675,-0.11148266192368417,0.18170119629952708,2.48104498902112
0.12181090545272637,0.004132441618751995,0.01857724628588854,0.014444804667136546,0.1562517355687314,-0.13723811770702987,-0.10921834935145447,0.1753936965424497,2.469398955262789
0.1242871435717859,0.004132349744299867,0.01857724628588854,0.014444896541588674,0.1503811071122536,-0.13136395924496114,-0.10704429214945599,0.1694549210565745,2.45785135432391
0.12676338169084544,0.004132255795741585,0.01857724628588854,0.014444990490146956,0.14485120286374809,-0.1258304537287307,-0.10495520044906015,0.16385633093317034,2.4464019999253073
0.12923961980990495,0.004132159759421241,0.01857724628588854,0.0144450865264673,0.1396361626081788,-0.12061174093084315,-0.10294618978464887,0.15857209729818725,2.4350506478487097
0.1317158579289645,0.004132061621394232,0.01857724628588854,0.014445184664494308,0.13471253389454763,-0.11568436838768914,-0.10101274298606877,0.1535787984548263,2.4237969987595402
0.134192096048024,0.0041319613674262665,0.01857724628588854,0.014445284918462274,0.13005900794545422,-0.1110270273091194,-0.09915067629014385,0.14885515577867245,2.4126407009907993
0.13666833416708357,0.004131858982992124,0.01857724628588854,0.014445387302896417,0.12565618875370177,-0.10662032167503943,-0.09735610913636994,0.14438180280167462,2.4015813532871197
0.13914457228614308,0.004131754453274147,0.01857724628588854,0.014445491832614394,0.12148639068154532,-0.10244656583468004,-0.09562543718746708,0.1401410828009176,2.3906185074941204
0.1416208104052026,0.00413164776316197,0.01857724628588854,0.01444559852272657,0.11753346061560999,-0.09848960666151596,-0.09395530818078085,0.13611687094436764,2.379751671205468
0.14409704852426214,0.004131538897249943,0.01857724628588854,0.014445707388638597,0.11378262132482497,-0.09473466691120258,-0.09234260026899516,0.13229441764192443,2.3689803103370934
0.14657328664332167,0.004131427839836742,0.01857724628588854,0.014445818446051799,0.11022033318743762,-0.09116820694859973,-0.09078440255690001,0.12866021026656213,2.3583038516546995
0.1490495247623812,0.004131314574924015,0.01857724628588854,0.014445931710964525,0.10683417186061428,-0.0877778024173832,-0.08927799757791577,0.1252018508199759,2.3477216852262353
0.15152576288144073,0.004131199086214687,0.01857724628588854,0.014446047199673854,0.10361271982905196,-0.08455203578865422,-0.08782084548900154,0.12190794747845174,2.3372331668116804
0.15400200100050027,0.004131081357112151,0.01857724628588854,0.01444616492877639,0.10054547006035097,-0.08148040001632406,-0.08641056979031098,0.11876801824694384,2.3268376201807057
