k,delta_chi2,chi2_null,chi2_cos,C,a,b,A,phi
0.05,0.0006473667153120213,0.05495932002694312,0.0543119533116311,2.1490719052449094,-2.1590355695479957,-0.07278303236664385,2.160262011973067,3.1078945147712824
0.052476238119059535,0.000647264513948767,0.05495932002694312,0.05431205551299435,1.9500987771334621,-1.960061886982885,-0.069354753770142,1.961288526115784,3.106223448498408
0.054952476238119066,0.0006471573753872237,0.05495932002694312,0.0543121626515559,1.7774128446831128,-1.7873753731155375,-0.06623572866763539,1.7886022185416297,3.10455206604862
0.05742871435717859,0.000647045300381531,0.05495932002694312,0.05431227472656159,1.6265795408996837,-1.63654146093063,-0.06338595360472254,1.6377685222458453,3.1028803522743007
0.05990495247623812,0.0006469282888943786,0.05495932002694312,0.05431239173804874,1.4940614582232001,-1.5040227428410162,-0.06077203954676236,1.505250029654106,3.1012082919806185
0.062381190595297654,0.0006468063414950681,0.05495932002694312,0.05431251368544805,1.377009037308767,-1.386969659477586,-0.05836589894245492,1.388197181408582,3.0995358699567235
0.06485742871435718,0.0006466794585119687,0.05495932002694312,0.05431264056843115,1.273106092459443,-1.2830660251159998,-0.056143733794755235,1.2842937917981958,3.097863070943568
0.06733366683341671,0.0006465476403430259,0.05495932002694312,0.054312772386600094,1.180454343522797,-1.1904135595759726,-0.05408524683698346,1.1916415806557588,3.0961898796515195
0.06980990495247624,0.0006464108873307298,0.05495932002694312,0.05431290913961239,1.0974860941053066,-1.107444566434424,-0.05217302069291918,1.108672851572254,3.094516280748242
0.07228614307153577,0.000646269199925234,0.05495932002694312,0.054313050827017886,1.022897477675599,-1.032855179130081,-0.05039202457857783,1.0340837380004386,3.0928422588673605
0.0747623811905953,0.0006461225785584501,0.05495932002694312,0.05431319744838467,0.9555969170389744,-0.9655538204367531,-0.04872921909690575,0.9667826627292216,3.09116779859548
0.07723861930965484,0.0006459710236692492,0.05495932002694312,0.05431334900327387,0.894664958697831,-0.9046210368243237,-0.047173237000972534,0.9058501722438785,3.089492884478813
0.07971485742871437,0.0006458145357474965,0.05495932002694312,0.054313505491195624,0.8393227018279958,-0.8492779274351392,-0.045714123485421254,0.8505073657027115,3.0878175010188436
0.0821910955477739,0.0006456531152606027,0.05495932002694312,0.05431366691168252,0.788906782193294,-0.7988611279982365,-0.044343123416549446,0.8000908788512403,3.08614163267121
0.08466733366683342,0.0006454867626752223,0.05495932002694312,0.0543138332642679,0.7428494006278754,-0.7528028393117268,-0.04305250590248022,0.7540329125046735,3.084465263843115
0.08714357178589295,0.0006453154785431708,0.05495932002694312,0.05431400454839995,0.7006622660404105,-0.7106147702475027,-0.041835418766698496,0.7118451755524484,3.0827883788938863
0.08961980990495248,0.0006451392634223355,0.05495932002694312,0.054314180763520785,0.6619236001517095,-0.6718751424883465,-0.04068576715628325,0.673105889695545,3.0811109621307926
0.09209604802401201,0.000644958117802151,0.05495932002694312,0.05431436190914097,0.6262675543075602,-0.6362181073405395,-0.03959811172374117,0.6374492062588706,3.0794329978105
0.09457228614307155,0.0006447720422755737,0.05495932002694312,0.05431454798466755,0.5933755400996006,-0.6033250763555031,-0.03856758281196804,0.6045565368130029,3.077754470136256
0.09704852426213106,0.0006445810374582847,0.05495932002694312,0.054314738989484836,0.562969088226879,-0.5729175801908184,-0.03758980778058252,0.574149412035477,3.076075363252527
