null_delta_chi2,null_best_k
0.07009576541732185,1.5654577288644325
0.010427216591429367,0.05
0.059329125247602754,1.2806903451725864
0.051769581242801344,4.289319659829915
0.05489851173532931,2.555952976488244
0.03394227163995678,1.867558779389695
0.011549188006653,1.1841170585292649
0.031223755337501796,0.05
0.09277114311755869,0.05
0.11060268452683528,2.57823911955978
0.0688340936688216,3.78911955977989
0.04138288813699814,1.7982241120560283
0.04702415823130468,0.05
0.021602345265462036,1.6917458729364685
0.038433111341773074,3.695022511255628
0.07737865449306483,3.942646323161581
0.029244133384755455,3.068534267133567
0.05895075527824922,2.6649074537268636
0.04416633356269334,0.05
0.013456573509774583,1.5753626813406705
0.023350071492344887,1.4069784892446224
0.06360033968225098,3.288919459729865
0.03452122303727509,2.2909954977488747
0.028469999616598102,2.652526263131566
0.0678175977785255,4.259604802401201
0.03407750313801572,4.772186093046524
0.019020763167815785,0.8894447223611807
0.01615716214258464,1.4961230615307655
0.10110730647451321,0.05
0.06798981987712527,0.05
0.026416996887577177,4.997523761880941
0.026841818252152927,5.0
0.10365310392545551,0.8126813406703353
0.03319593029193399,0.05
0.016840343805486963,1.4688844422211107
0.02959501792617511,4.814282141070535
0.03418552573719294,3.2393946973486742
0.05843603131022207,3.558829414707354
0.024139797315132827,0.05
0.08179950678463122,2.3330915457728865
0.03960071648339153,0.05
0.07117675467859141,2.3207103551775887
0.06112912258739847,4.42056028014007
0.037518097056932986,2.1548024012006004
0.05163475408032961,0.9983991995998001
0.02100855412294389,0.9983991995998001
0.05285726512765937,1.6224112056028015
0.02229060040546571,0.05
0.05666116259216333,2.806053026513257
0.052384569494135474,3.073486743371686
0.05631046575831786,5.0
0.04994172603850491,3.2492996498249127
0.043189815584993574,5.0
0.03083546350956634,0.4585792896448224
0.01652225149542641,0.7260130065032517
0.040707899922876434,2.7738619309654826
0.019672391930376176,4.715232616308154
0.02341256689826085,0.4412456228114057
0.04997129213799689,3.489494747373687
0.06050348692530094,3.6034017008504255
0.07887452090156258,3.769309654827414
0.018495331129882886,1.483741870935468
0.06370183091486098,1.956703351675838
0.01864632317438686,2.9026263131565786
0.021252787862462208,1.8452726363181593
0.0326636519337323,3.219584792396198
0.02686186608413116,3.8807403701850927
0.02452525298510677,1.6645072536268135
0.05522831364005859,1.129639819909955
0.017888182241873857,1.0157328664332166
0.012995137210095348,0.9439219609804904
0.049244408069322176,2.6599549774887445
0.02512038260636562,4.673136568284142
0.07457202597251705,4.276938469234618
0.031146995931010557,5.0
0.011941328546321212,3.1056778389194597
0.03100126154978461,1.7140320160080043
0.01774893244135925,3.610830415207604
0.04992318860981623,3.9822661330665334
0.03980237718022722,0.05
0.08741834708620583,3.652926463231616
0.024553573303131127,2.1325162581290646
0.08669462972128705,0.5972486243121562
0.0355812367046722,4.566658329164582
0.03263994616154067,1.6347923961980992
0.05342002307530508,0.956303151575788
0.06922863895622111,0.05
0.01844721792877485,1.657078539269635
0.031284870230275486,5.0
0.05109539245280098,2.0706103051525764
0.06789228305293721,4.95047523761881
0.08187155991593548,1.5555527763881942
0.04279853763344138,1.1989744872436219
0.023726701519327265,4.056553276638319
0.022210597594742615,4.125887943971986
0.04766736582075018,3.6454977488744373
0.07714216979927704,5.0
0.02945628929791752,5.0
0.03846823098046842,1.535742871435718
0.011670325843562424,2.9298649324662334
0.02002613137273379,1.2930715357678841
0.03576273796794388,1.1420210105052528
0.02472719947804139,3.2393946973486742
0.029779280789952345,4.593896948474238
0.02361121647168732,1.9542271135567786
0.022504607800012788,3.73711855927964
0.033251606183022864,1.2435467733866934
0.03699644623895079,3.593496748374187
0.061092305514392375,4.534467233616809
0.05538096441190818,0.05
0.04257667724762851,1.6125062531265635
0.04136408888694437,2.0805152576288144
0.03028218359521928,2.699574787393697
0.030312570799451766,3.1750125062531267
0.018072149237301133,2.6797648824412206
0.015919382036534313,1.5803151575787895
0.03672291731689664,1.3326913456728366
0.04563050362053325,3.657878939469735
0.01908203373458986,0.05
0.04802736038323768,3.6083541770885446
0.06377770128346727,1.1717358679339671
0.023300090420626418,2.5757628814407205
0.10376900248198737,4.489894947473737
0.015796447061743574,4.853901950975488
0.02301462943783572,3.0165332666333167
0.00816944459757768,5.0
0.04217843633216878,4.3041770885442725
0.05031632894615751,1.1742121060530266
0.0461227402018069,1.9591795897948976
0.07987286277987221,0.05
0.04656091909440169,4.056553276638319
0.02370793423768347,4.3735117558779395
0.04649186727437382,4.083791895947974
0.01612595285343074,3.120535267633817
0.03981258587299602,3.3037768884442222
0.024311835717036184,1.1915457728864434
0.0593797979116798,4.586468234117059
0.0638098688629965,4.418084042021011
0.015457728514955138,5.0
0.06911708527528576,1.820510255127564
0.08378676267885049,2.9447223611805904
0.013103860566866965,1.78831915957979
0.0507585190561452,2.2340420210105054
0.11809157941944715,0.23076538269134567
0.08727522906668356,0.05
0.04606268751104739,5.0
0.01581631082487403,0.5378189094547274
0.03646797807372315,5.0
0.020135275785135825,2.6030015007503753
0.0483935623826324,2.2488994497248624
0.06004527419852096,2.6129064532266133
0.07266573822487604,1.436693346673337
0.06482311671788415,0.05
0.015431295657287875,5.0
0.0198460825503603,0.05
0.0479994962226481,4.348749374687344
0.029151749692308493,4.398274137068534
0.028975611412123126,5.0
0.06379657382483389,2.372711355677839
0.014912989698706719,2.726813406703352
0.12369175843481639,3.1972986493246625
0.07038172430010425,0.05
0.051982678820825134,0.05
0.0637848521920831,0.05
0.036143456949537106,4.89847423711856
0.12509020017656122,0.05
0.12734020459829862,0.05
0.027066595031023932,3.004152076038019
0.1096685453895804,4.098649324662332
0.03288748045216039,1.4688844422211107
0.06533754812253156,2.962056028014007
0.026882444449708637,2.6921460730365183
0.03902804666839926,0.3867683841920961
0.049525270212360584,1.1766883441720861
0.09121380769983581,0.05
0.04462985607260017,2.979389694847424
0.015377885682274134,5.0
0.03517702431425537,2.3529014507253625
0.07847472578562417,4.10360180090045
0.03393051423888924,2.2860430215107552
0.060326438360255585,3.8188344172086044
0.04626475037471006,4.9455227613806905
0.04019627540024076,1.3648824412206104
0.04828003827262098,5.0
0.03518125585842197,2.3652826413206602
0.08863974315802473,0.05
0.07587923182514478,4.200175087543772
0.056192819683565765,1.5060280140070037
0.044930166841580854,1.8180340170085045
0.10639473927759852,0.9513506753376689
0.07123384397322155,3.9698849424712357
0.011400672331446066,1.8378439219609808
0.05900242299181918,1.9913706853426716
0.05491295160355983,1.8328914457228616
0.04457689299456974,3.8980740370185094
0.06521663446342524,0.05
0.02452590635263907,1.820510255127564
0.12483305947921658,0.5848674337168586
0.07495040878169992,3.2963481740870435
0.015478985427661796,4.915807903951976
0.024650058815278902,2.4073786893446725
0.018231199417293897,1.161830915457729
0.014856646346207814,3.5414957478739373
0.043804834546368326,3.4647323661830915
0.0895520717643627,0.24562281140570286
0.02415698078145931,4.687993996998499
0.045968007946702666,3.442446223111556
0.099881668665523,2.952151075537769
0.08062972895578288,3.5340670335167585
0.030046458104993234,3.774262131065533
0.06979645974178778,2.3999499749874937
0.12084249140143494,3.8881690845422714
0.05119739722591751,2.0656578289144574
0.018909405909349614,3.9649324662331167
0.012814813898339994,2.045847923961981
0.05397138008681596,1.8007003501750878
0.039183369441138566,0.05
0.03991581011209758,5.0
0.07244100872671722,2.040895447723862
0.02123131848567683,1.5109804902451227
0.04928430297424574,0.05
0.12638579106409029,1.610030015007504
0.03546943079838491,3.3235867933966983
0.03621817668941277,2.362806403201601
0.015964491134135894,3.6454977488744373
0.11113020256897982,1.0652576288144073
0.020081143333821688,0.7334417208604304
0.11749274172874624,2.494047023511756
0.028204869921171216,3.2790145072536268
0.02222545417066965,0.5650575287643823
0.03464130964341888,5.0
0.03198460124576219,1.3302151075537771
0.02886883785927169,1.9542271135567786
0.04111359715841534,4.0763631815907955
0.03564742346434113,0.4461980990495248
0.0606599680020769,2.5534767383691848
0.023179063073327455,1.352501250625313
0.023271778811901622,0.05
0.044739427071169846,1.6793646823411708
0.009154058744728716,1.7140320160080043
0.02533586192159687,3.1230115057528764
0.04685753345911056,1.2014507253626814
0.03503093667838009,0.05
0.06522191574859393,3.7296898449224614
0.04106560219715938,0.5526763381690847
0.06260937718690096,2.0755627813906954
0.05112563718571131,1.5431715857928967
0.04175579853513042,0.05
0.012915095246237573,1.1024012006003003
0.04819214251965001,2.885292646323162
0.020677295441446586,3.922836418209105
0.04073157019629356,4.492371185592797
0.01189721699701124,3.57863931965983
0.037862829978240864,3.1007253626813407
0.05256363182181889,1.2905952976488246
0.12169761866774184,1.5753626813406705
0.0764645829859299,3.395397698849425
0.06990266407409057,3.6974987493746876
0.014097785075141561,1.8824162081040523
0.05434555580643463,4.596373186593297
0.038172622391768773,2.5163331665832915
0.02568912118210545,2.3850925462731367
0.0695975527221821,1.7561280640320163
0.06962999056703312,1.6248874437218612
0.03328894850872399,5.0
0.05258759451958883,3.704927463731866
0.024538828499465315,1.5134567283641822
0.032195506265415647,2.867958979489745
0.047502372693069284,2.900150075037519
0.09268836049200899,0.05
0.02157068585982641,1.7486993496748375
0.05244657044424236,1.8427963981990998
0.049325273727596264,0.05
0.040622656928183065,4.546848424212106
0.022679185025464232,2.568334167083542
0.09461417631203056,3.779214607303652
0.03333381422653936,1.4218359179589797
0.039675546869516465,1.6026013006503252
0.09521060802727416,0.05
0.09423603726589602,3.4919709854927463
0.0775998220867358,3.2913956978489245
0.02137494359760997,3.7197848924462233
0.025039975411672216,2.466808404202101
0.11008113257801255,0.05
0.07412183832815963,2.2266133066533267
0.01207768940756282,2.8951975987994
0.08787351243664629,0.05
0.044193093717229404,1.6298399199599802
0.023695131613286208,2.117658829414707
0.06817149628667438,4.4527513756878445
0.046378900032992554,3.937693846923462
0.0994686775907953,3.1106303151575787
0.1497371090558129,2.1473736868434217
0.08832307813584495,4.375987993996999
0.03170657447070663,0.41895947973986997
0.05136567586228369,1.7214607303651828
0.04327435670980542,1.4639319659829917
0.027937895553038133,3.224537268634317
0.047902650632465654,4.435417708854428
0.034433595162730896,0.05
0.018964338735830033,1.1519259629814909
0.023413023840757885,1.5159329664832417
0.04643635481203695,0.05
0.0340219453614522,1.0256378189094548
0.040566967677044624,1.1915457728864434
0.006727579033293796,1.3723111555777892
0.019517341168632685,3.3681590795397702
0.013701925806120396,3.425112556278139
0.0677034031793074,4.408179089544773
0.01940688509668359,1.7090795397698852
0.045846869700843645,0.834967483741871
0.024207326522696665,4.390845422711356
0.049246658102262086,1.5109804902451227
0.024854334008569512,4.056553276638319
0.06267848809071119,0.05
0.011821645292656308,2.6896698349174586
0.05128405546467374,2.0755627813906954
0.04314987877909182,5.0
0.032406221627376997,3.989694847423712
0.027665617998008096,1.0330665332666333
0.01348725125389072,0.6913456728364183
0.02425280493390833,2.194422211105553
0.02734372445943567,1.5481240620310157
0.020013677935870056,5.0
0.03585069635502838,1.087543771885943
0.018175367779176194,5.0
0.125921707900486,0.05
0.020651780133250947,1.3747873936968487
0.0666563850888435,3.5018759379689848
0.06232172596958002,0.05
0.021710988258036634,5.0
0.05098705617007887,0.05
0.025667879200569788,3.4275887943971988
0.0664249292881518,3.8832166083041524
0.04575908630150172,2.2414707353676837
0.04444683591813603,2.637668834417209
0.06804137296381219,1.5010755377688847
0.022996505186970134,2.4172836418209105
0.05484454140824668,4.606278139069535
0.03870136204622071,3.15767883941971
0.07183536543157815,3.068534267133567
0.03262900510239919,2.4073786893446725
0.06150843769969144,2.2488994497248624
0.07761173783967018,0.05
0.08366974585476669,0.05
0.041960702767560976,0.05
0.08182817868281234,4.328939469734868
0.02307175560720942,0.05
0.06301067074650904,1.1544022011005504
0.02581797011776199,5.0
0.05939118007832811,3.3433966983491747
0.024611263205685824,1.1865932966483244
0.03980851859536336,3.5439719859929966
0.028216108269703083,1.2757378689344674
0.06805512701376798,3.563781890945473
0.0532090754058282,1.9220360180090048
0.015694047699160274,3.667783891945973
0.02535323815681023,0.3421960980490245
0.019117528699735153,0.05
0.06482419313099858,0.05
0.02583752741007528,0.4907703851925963
0.07465635194643408,4.762281140570286
0.04027999243799296,3.8039769884942474
0.0799298120445544,2.8555777888944474
0.026893916867237855,4.257128564282142
0.022097801121875316,0.05
0.01895137908838279,4.967808904452227
0.08508606811983271,2.016133066533267
0.019723377350746613,1.5332666333166585
0.06503482724615012,4.31655827913957
0.03265851580269785,0.05
0.0323314147359931,0.9662081040520262
0.04198346399798891,1.8601300650325165
0.14225436685135517,1.867558779389695
0.06957849047848469,4.237318659329665
0.0947526337168641,3.1849174587293647
0.09727558242410272,4.143221610805403
0.03260870274103492,1.3846923461730867
0.04355249502474101,0.05
0.05395422092552274,1.8180340170085045
0.012618564532702853,1.362406203101551
0.07268415185951149,4.603801900950476
0.03690320666910343,1.6422211105552778
0.05556487910795496,1.4961230615307655
0.022687467297845487,5.0
0.09467513660505722,2.3009004502251127
0.01436605951958514,5.0
0.05811055822806649,0.05
0.12608528147411288,0.7705852926463232
0.06251746577234127,4.8662831415707855
