q2_lo,q2_hi,q2_center,ell,n,moment_cosThetaL,moment_cosThetaL_sem,moment_cosThetaK,moment_cosThetaK_sem,moment_cosPhi,moment_cosPhi_sem,moment_sinPhi,moment_sinPhi_sem,moment_cos2Phi,moment_cos2Phi_sem,moment_sin2Phi,moment_sin2Phi_sem,moment_m5_proxy,moment_m5_proxy_sem,moment_cosThetaL2,moment_cosThetaL2_sem,moment_cosThetaK2,moment_cosThetaK2_sem
0.1,0.49375,0.296875,-1.2144441041932315,785,-0.025073606586652693,0.016330293130194205,-0.10826233782193599,0.019577180859626567,0.01743343323757056,0.024810845088674555,0.03526900843038115,0.02565069005374126,-0.034165793476826675,0.024671373383199104,0.013379082258245951,0.025789849135665364,0.022073725321421846,0.01624045012751096,0.20970460914222755,0.007136393644307757,0.31220128595252566,0.010163398237537266
0.49375,0.8875,0.690625,-0.3701582942760194,521,-0.034895069167755,0.019693689464634564,-0.06833097015775426,0.025958589843096097,-0.035681510481478086,0.030716850744314513,0.017685667711457673,0.03124903348505798,-0.016187743185085778,0.031489167488116726,-0.04920869411265111,0.030435975470115145,0.022477354113732348,0.020425296391696598,0.20289519631154077,0.008088582666809379,0.3550702825365877,0.013120433614221935
0.8875,1.28125,1.084375,0.08100378415308704,504,-0.006554150324487878,0.019240919691160253,-0.08061428982703767,0.025363246975829153,0.016388823286088428,0.03232307641621062,0.014912265830211999,0.030697136994482472,0.05158714367964555,0.031329465709363326,0.02003378370104838,0.0316298515490843,-0.004969716210088446,0.021403526308199722,0.18626009113900016,0.007822411902367866,0.3300756951942417,0.01284322956956979
1.28125,1.675,1.478125,0.39077439269816067,458,-0.018214930767817713,0.021432123184549137,-0.11872576871841752,0.028330949867936103,0.010762230901332513,0.03360365557185756,0.03861339733750753,0.03248787653869832,0.032325631589865685,0.03326738376584913,-0.033232093682802145,0.03281405005266512,-0.024332508825232,0.022761724183109653,0.21024829192122008,0.009034501566905799,0.38090353138949445,0.01387228792453398
1.675,2.06875,1.8718750000000002,0.6269406023216773,489,-0.051815443346445035,0.020439199182899572,-0.08264443974789838,0.025537111014352847,0.04505648090848977,0.03145543354128004,0.01013768214856235,0.03248638816101511,-0.030242190968877685,0.032204161011353385,0.02794273535341967,0.031758434920645326,-0.03498174833210176,0.020460035991068132,0.20655214142945097,0.00916863106056425,0.3250763944334221,0.01291766626678972
2.06875,2.4625,2.265625,0.8178506590609026,432,-0.03689219195741674,0.022360458056130027,-0.05414224166987721,0.026292281040169993,-0.026003112795752622,0.03452911884907347,-0.014011756616903506,0.0335544516395033,0.029080485551483296,0.03437886733345755,0.012478888181574067,0.03370394143316683,0.015070321557253637,0.021070067152447153,0.2168567602382815,0.00991312241409293,0.30087480456230614,0.014170184691405855
2.4625,2.85625,2.659375,0.9780911327796018,534,-0.004976292110923237,0.020623960670324574,-0.08290405134509794,0.02546409575263345,0.05820965320664672,0.030231043914826655,0.005473832739396757,0.030916714266265292,-0.01898879929905443,0.02970124391710929,-0.01725325677546305,0.03150831204972062,-0.04442903573937271,0.020103983239981756,0.22673511622184686,0.010341421007303024,0.35248103367154965,0.012800119429422701
2.85625,3.25,3.053125,1.1161656562490105,605,-0.01984815723503695,0.019737999550394007,-0.04956973581319862,0.02396678041332336,0.06075933994153046,0.028972751556898744,-0.07109925833010793,0.0283147902367998,0.02140315677581749,0.028427813327839512,-0.056791598070791115,0.029006727771348922,0.02138230511471928,0.01875914269315382,0.2357054796014446,0.010271528871539502,0.3493987229903884,0.012192580186815228
3.25,3.64375,3.446875,1.2374680234597302,595,-0.02685223348191004,0.0218443886490907,-0.06854339949973756,0.02399816943849776,-0.017955556139593935,0.02916550365033156,-0.02244586161019506,0.028835466699054554,0.011189208567438432,0.0298103543300296,0.017094502310022797,0.028180520404664157,-0.02724100288417738,0.018221629338711073,0.2841643678217655,0.011242282333066662,0.34679000663589615,0.01211680441810538
3.64375,4.0375,3.8406249999999997,1.3456351137722624,520,-0.06234456461054963,0.024340772557757795,-0.08637372851957444,0.02582858214056371,-0.010870357517851528,0.03131845870378986,-0.005996000123073688,0.03075125149836431,0.01835432743820057,0.03237074038709999,0.027443427054719746,0.029611099326995228,0.021245911287721454,0.019780292457585988,0.31138044005618776,0.0132543377442397,0.3536934461267416,0.013038639834461543
4.0375,4.4312499999999995,4.234375,1.443235737520029,535,-0.008446770322482056,0.024818344507935564,-0.052784710822592076,0.02538925097253607,-0.006344454965402514,0.03081768034979108,0.013817170296582332,0.030372633375919837,0.01439152706516426,0.029999009815923957,-0.017574571660057665,0.03117294224769519,0.005698741560807625,0.018713746514578678,0.32898876760606416,0.013516648298340315,0.3470101363780149,0.012725729513454897
4.4312499999999995,4.824999999999999,4.628124999999999,1.5321518184740264,515,0.019943552732558885,0.025698756762173123,-0.04088777524151244,0.02599509866234989,0.0172804901200899,0.0313970088069078,0.005236499289828103,0.030969643491826876,0.013971013235216522,0.031221326709982525,-0.026516894132718256,0.03112886629894368,-0.0008997332925060796,0.01896251574462134,0.3398567602439645,0.014433546505991133,0.34900481955936724,0.013113934974305656
4.824999999999999,5.218749999999999,5.021875,1.6138033699437402,502,0.004703306922962037,0.027439451077168674,-0.06514094442237317,0.026335873940103373,0.06975326495878886,0.030579792441928266,-0.00877533988293701,0.032419422569696627,-0.05327501085218212,0.032227051958936694,-0.029526472915976636,0.03082239182536097,-0.01711353315542032,0.018342838791077322,0.37723678227959445,0.014740662573764014,0.3517260489909356,0.013173287290768616
5.218749999999999,5.6125,5.4156249999999995,1.6892882939218337,511,-0.0016148032175001585,0.026703457565906634,-0.05428819385455699,0.02575807266136926,0.0077261922748814065,0.031414431917108826,0.0032069293157261664,0.031205457349926326,0.0067232514222956286,0.03143382413187399,-0.04980292775331426,0.031108632037829383,-0.012148298195939143,0.01889871644749678,0.3636706770362611,0.014558399986900034,0.34132114467846303,0.012851703483900124
5.6125,6.00625,5.809374999999999,1.7594729919276717,508,-0.01455819181188562,0.027914663993832377,-0.10064659322185308,0.025702039722395497,-0.052005160057901324,0.03113457082988367,-0.01929594392565653,0.03157461495638587,-0.011658364883006629,0.03150061537850131,-0.014528237739275128,0.03129558156864011,-0.03675482608680232,0.018852616787891987,0.39528077315433247,0.015374128641064959,0.3450513235942043,0.012942912549839708
6.00625,6.3999999999999995,6.203125,1.8250531973275186,499,-0.018325241413770038,0.026285539200674238,-0.07446902869805229,0.024674861216649215,0.0007768735338362219,0.031567019300813556,0.035411016776937684,0.03176533105505176,-0.007507992227240943,0.03268949806367555,0.042478928172432304,0.030589086940723084,0.014593872917778677,0.018527124100929136,0.3444187408658236,0.01484912375153331,0.3087523267135593,0.012422835992912724
6.3999999999999995,6.793749999999999,6.596874999999999,1.8865960520545482,539,-0.004307222737031761,0.025894503670909848,-0.09737450997231958,0.024647892259053422,-0.013095117897391408,0.030618583984250426,0.02808954903939267,0.03032248421925459,0.009090473501335537,0.030427239041514297,0.007299155823044621,0.030539589958333974,-0.019205184875591298,0.018108879940896744,0.36076117452287326,0.014645477053370737,0.3363267981262307,0.012733280061345666
6.793749999999999,7.187499999999999,6.990625,1.9445699656963573,533,0.042657353137828494,0.02754048038178634,-0.03707269162401749,0.02364966126659628,0.022000685528666672,0.03183684041798694,0.04927266060748326,0.029336691779959713,0.07942187022705303,0.031163978944185666,-0.023845611111756933,0.02992624287992652,-0.0353421370621254,0.01775986772043487,0.4053299775156104,0.015258629140503584,0.2989254307734135,0.012269884412156573
7.187499999999999,7.58125,7.3843749999999995,1.9993662813931354,529,0.044459937650446556,0.027825648576084362,-0.06212253643912395,0.02448565398961672,0.031889364973640984,0.031077438952312807,0.008928843285788258,0.030431154799088644,0.021926278894318422,0.030577893194091287,0.0035542306345829064,0.030951532804070248,-0.014240046666781447,0.01764539272591645,0.41078951351878734,0.01544844008722948,0.3204201582196254,0.012183829665450906
7.58125,7.975,7.778124999999999,2.05131530657382,530,0.01849590349095492,0.027469320148318578,-0.06462272040110649,0.024372246863537703,-0.019548159909758465,0.030996471831990963,-0.010577390746830223,0.03047366145654446,0.017270840572945857,0.03047988074961081,0.01500316652897152,0.03098946058476188,-0.009889179967459947,0.017157900563478042,0.39950621608427106,0.015160666065215172,0.31840549067879065,0.01279859300792589
7.975,8.368749999999999,8.171875,2.100698380705251,566,0.06184777435910348,0.02612920969737849,-0.052164711497402594,0.023435670568533344,-0.039449670773593556,0.03054610440740337,0.006679921618786759,0.028879292968958203,0.057475431797115624,0.029909549590932793,0.0332127031789576,0.02945388288279392,-0.017367251527158005,0.017312082180676654,0.38957076085958603,0.014767617958517797,0.3130364771988105,0.011947546972669877
8.368749999999999,8.7625,8.565624999999999,2.1477571005090135,476,0.03173814463626177,0.029325237558102207,-0.04645467198415327,0.027169375616391832,-0.03491305195849224,0.032891697034857593,-0.0022204595695453962,0.03195031915800184,0.030208389535329772,0.033097693143039536,0.01006500726749578,0.031743841024503575,-0.0476542429273582,0.018467433500534133,0.4094928497985383,0.016038402862573343,0.3527911479568342,0.013987140931743374
