"run_group","n_files","available","file_to_file_chi2_heterogeneity","status"
"00382466",3,FALSE,NA,"UNAVAILABLE_NO_EVENT_DATA"
"00382467",3,FALSE,NA,"UNAVAILABLE_NO_EVENT_DATA"
