"result","stage","k","log_period","rho_q2","winding_n","amplitude","phase","deviance_improvement","z_null","null_percentile","peak_to_trough_rate_ratio","amplitude_bound_active","note"
"09d_best_two","09d",23.08,0.272235065302408,1.3128955812383,17.5589075221214,0.1,-0.209073444669158,150.903860127132,54.3697839675397,100,1.22140275816017,TRUE,"z_null is a descriptive standardised distance (null generally non-Gaussian); peak_to_trough applies to an isolated log-rate component"
"09d_reference_two","09d",19.5296,0.321726267162645,1.37950710787474,14.8578180391691,0.1,2.58704410913054,70.0029667147544,24.2408190660052,100,1.22140275816017,TRUE,"z_null is a descriptive standardised distance (null generally non-Gaussian); peak_to_trough applies to an isolated log-rate component"
"13_comb_Q2over3_bw1","13",19.7164886006628,0.318676689061579,1.37530660135002,15,0.135954115055866,NA,373.077171046471,NA,NA,1.3124665508756,TRUE,"z_null is a descriptive standardised distance (null generally non-Gaussian); peak_to_trough applies to an isolated log-rate component"
"13_best_Q4over9_bw1","13",19.7164886006628,0.318676689061579,1.37530660135002,15,0.114920812209403,NA,457.441652956014,NA,NA,1.2584006942052,TRUE,"z_null is a descriptive standardised distance (null generally non-Gaussian); peak_to_trough applies to an isolated log-rate component"
"28_sideband_best_scan","28",8.78,0.715624750248244,2.04546418741504,6.67968839013112,NA,NA,5.30354933194093,NA,NA,NA,NA,"z_null is a descriptive standardised distance (null generally non-Gaussian); peak_to_trough applies to an isolated log-rate component"
