"KDE_BANDWIDTH_SCALE","n","k2","D_base","A1_base","base_success","D_two","deltaD","C","A1","phi1","A2","phi2","success","A1_bound_active","A2_bound_active","delta_k_from_reference","abs_delta_k_from_reference","p_vs_integer_scanmax_null","z_vs_integer_scanmax_null","p_vs_fixed_n_null","z_vs_fixed_n_null","null_best_p95","null_best_p99","null_best_mean","log_period","rho_q2","winding_check"
0.5,10,13.1443257337752,348.496963152768,0.027885706117807,"True",290.423416621214,58.0735465315542,-0.0106113050921556,0.0479410486907324,-2.08513461291428,0.0836071924650761,-1.57505527337327,"True","False","False",-6.38527426622478,6.38527426622478,0.0001999600079984,3.54013657500842,0.0001999600079984,3.54013657500842,11.0242728340121,14.0327731529184,5.93941820444121,0.478015033592368,1.61286973042743,10
0.5,11,14.4587583071527,348.496963152768,0.027885706117807,"True",316.517149586417,31.979813566351,-0.0124379954443587,0.0481729884001036,-2.05052163655067,0.0660664670893877,1.14239013604182,"True","False","False",-5.07084169284726,5.07084169284726,0.000399920015996801,3.35285013285512,0.0001999600079984,3.54013657500842,11.0242728340121,14.0327731529184,5.93941820444121,0.434559121447607,1.54428206800259,11
0.5,12,15.7731908805303,348.496963152768,0.027885706117807,"True",344.825345956479,3.67161719628888,-0.00432760995562539,0.0298457956700946,-2.30938964851059,0.0226618819675277,-2.9620053446882,"True","False","False",-3.75640911946974,3.75640911946974,0.819236152769446,-0.912457952277289,0.163367326534693,0.98071226656318,11.0242728340121,14.0327731529184,5.93941820444121,0.398345861326973,1.48935905253719,12
0.5,13,17.0876234539078,348.496963152768,0.027885706117807,"True",337.696532075395,10.8004310773738,-0.010634032127233,0.0185542623229151,-2.24883358189717,0.0405662908803802,-2.64421759507196,"True","False","False",-2.44197654609221,2.44197654609221,0.0565886822635473,1.58407187177789,0.00579884023195361,2.52415492538078,11.0242728340121,14.0327731529184,5.93941820444121,0.367703871994129,1.44441424412622,13
0.5,14,18.4020560272853,348.496963152768,0.027885706117807,"True",300.362187021024,48.1347761317447,-0.0110957424258786,0.0230636368495148,-2.20081438006038,0.0809716464240041,0.0106200384668323,"True","False","False",-1.12754397271469,1.12754397271469,0.0001999600079984,3.54013657500842,0.0001999600079984,3.54013657500842,11.0242728340121,14.0327731529184,5.93941820444121,0.341439309708834,1.40697120122298,14
0.5,15,19.7164886006628,348.496963152768,0.027885706117807,"True",325.634368824634,22.8625943281342,-0.0152317653938518,0.0354194212869314,-2.68213493857855,0.0581128478133972,2.30250359120893,"True","False","False",0.186888600662829,0.186888600662829,0.000599880023995201,3.23893715760132,0.0001999600079984,3.54013657500842,11.0242728340121,14.0327731529184,5.93941820444121,0.318676689061579,1.37530660135002,15
0.5,16,21.0309211740404,348.496963152768,0.027885706117807,"True",346.335270927548,2.16169222521984,-0.00580001897137114,0.0284796087800927,-2.25882618743979,0.0163598679582872,-0.194392214689922,"True","False","False",1.50132117404035,1.50132117404035,0.977804439112178,-2.01037871240388,0.341331733653269,0.408831301270045,11.0242728340121,14.0327731529184,5.93941820444121,0.29875939599523,1.34818520568671,16
0.5,17,22.3453537474179,348.496963152768,0.027885706117807,"True",332.723474824202,15.7734883285662,-0.00352504146448866,0.0334236217128423,-1.58454490762973,0.0480767869113335,-1.69428296162348,"True","False","False",2.81575374741788,2.81575374741788,0.00459908018396321,2.60459989232422,0.000799840031993601,3.15596508829063,11.0242728340121,14.0327731529184,5.93941820444121,0.281185313877863,1.32469906631174,17
0.5,18,23.6597863207954,348.496963152768,0.027885706117807,"True",333.769516003458,14.7274471493107,-0.00307209660625214,0.0291100551873024,-2.36047659162021,0.0465815299770523,-0.201014809390078,"True","False","False",4.1301863207954,4.1301863207954,0.00759848030393921,2.42765096660375,0.0013997200559888,2.98894337103875,11.0242728340121,14.0327731529184,5.93941820444121,0.265563907551315,1.30416619762732,18
0.5,19,24.9742188941729,348.496963152768,0.027885706117807,"True",331.733984171254,16.7629789815145,-0.0132519425413623,0.0299895592165675,-2.34751621585613,0.0469703233887898,2.23162938258556,"True","False","False",5.44461889417292,5.44461889417292,0.0031993601279744,2.72661731173398,0.000399920015996801,3.35285013285512,11.0242728340121,14.0327731529184,5.93941820444121,0.251586859785457,1.28606460250806,19
