"stage","design","inject_k_label","inject_k","inject_amp","n_trials","detection_prob","correct_region_prob","recovered_k_median","recovered_k_bias","threshold95","status"
"28_wls","sideband_only","low_ctrl",9,0.02,50,0.18,0.02,14.45,5.45,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","sideband_only","low_ctrl",9,0.05,50,0.12,0,12.6083333333333,3.60833333333333,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","sideband_only","low_ctrl",9,0.1,50,0.3,0.06,9.03333333333333,0.0333333333333332,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","reference",19.5296,0,50,0.08,0,13.475,-6.0546,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","reference",19.5296,0.02,50,0.14,0,14.5583333333333,-4.97126666666666,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","reference",19.5296,0.05,50,0.1,0,12.0666666666667,-7.46293333333333,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","reference",19.5296,0.1,50,0.04,0,14.45,-5.0796,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","n15",19.7164886006628,0,50,0.1,0,18.1333333333333,-1.5831552673295,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","n15",19.7164886006628,0.02,50,0.06,0,14.125,-5.59148860066283,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","n15",19.7164886006628,0.05,50,0.12,0,18.5666666666667,-1.14982193399616,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","n15",19.7164886006628,0.1,50,0.14,0.04,15.5333333333333,-4.18315526732949,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","n20",26.2886514675504,0,50,0.1,0,18.4583333333333,-7.83031813421711,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","n20",26.2886514675504,0.02,50,0.06,0,15.3166666666667,-10.9719848008838,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","n20",26.2886514675504,0.05,50,0.14,0,14.5583333333333,-11.7303181342171,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","n20",26.2886514675504,0.1,50,0.1,0,14.8833333333333,-11.4053181342171,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","between",22,0,50,0.08,0.02,20.0833333333333,-1.91666666666666,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","between",22,0.02,50,0.06,0,15.9666666666667,-6.03333333333333,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","between",22,0.05,50,0.02,0,16.4,-5.6,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","between",22,0.1,50,0.12,0,17.2666666666667,-4.73333333333333,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","low_ctrl",9,0,50,0.1,0.04,17.8083333333333,8.80833333333333,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","low_ctrl",9,0.02,50,0.04,0.04,11.525,2.525,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","low_ctrl",9,0.05,50,0.06,0,12.5,3.5,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","both","low_ctrl",9,0.1,50,0.06,0.02,14.775,5.775,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","reference",19.5296,0,50,0.08,0,16.1833333333333,-3.34626666666666,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","reference",19.5296,0.02,50,0.04,0.02,18.025,-1.5046,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","reference",19.5296,0.05,50,0.12,0,13.2583333333333,-6.27126666666667,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","reference",19.5296,0.1,50,0.14,0.02,18.025,-1.5046,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","n15",19.7164886006628,0,50,0.04,0,16.8333333333333,-2.88315526732949,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","n15",19.7164886006628,0.02,50,0.16,0.02,14.6666666666667,-5.04982193399616,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","n15",19.7164886006628,0.05,50,0.1,0.02,14.125,-5.59148860066283,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","n15",19.7164886006628,0.1,50,0.12,0,21.0583333333333,1.34184473267051,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","n20",26.2886514675504,0,50,0.06,0,14.3416666666667,-11.9469848008838,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","n20",26.2886514675504,0.02,50,0.04,0,20.5166666666667,-5.77198480088378,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","n20",26.2886514675504,0.05,50,0.18,0.04,14.775,-11.5136514675504,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","n20",26.2886514675504,0.1,50,0.04,0,12.5,-13.7886514675504,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","between",22,0,50,0.08,0,14.9916666666667,-7.00833333333333,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","between",22,0.02,50,0.02,0,14.6666666666667,-7.33333333333333,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","between",22,0.05,50,0.12,0,14.45,-7.55,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","between",22,0.1,50,0.08,0,13.6916666666667,-8.30833333333333,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","low_ctrl",9,0,50,0.12,0.02,16.8333333333333,7.83333333333333,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","low_ctrl",9,0.02,50,0.04,0.02,18.5666666666667,9.56666666666667,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","low_ctrl",9,0.05,50,0.06,0,14.775,5.775,20.9915568806925,"DEVELOPMENT_ONLY"
"28_wls","common_component","low_ctrl",9,0.1,50,0.12,0.08,14.6666666666667,5.66666666666667,20.9915568806925,"DEVELOPMENT_ONLY"
"09d_kde_poisson","signal_only","grid",NA,NA,0,NA,NA,NA,NA,NA,"UNAVAILABLE_NO_EVENT_DATA"
