"target","observed","boot_mean","boot_median","boot_sd","boot_q025","boot_q975"
"reference_k",0.446805235743625,2.99449735295306,1.86914528835524,3.02237382647781,0.047124864577944,10.9556879461394
"n15",1.21246316266576,3.65134337326111,2.53895446082413,3.56852289488371,0.0812872141856673,12.1056181852765
"comb_10_15_20",4.14164117906893,11.2865213269734,10.093332161719,6.37203367043525,2.22834162412086,26.5392296725845
"alpha",0.284958979033728,0.284969718492158,0.284863284708273,0.00261475795074775,0.280134256466736,0.289938287985295
