"region","veto_scheme","delta_ell_A","k_best","n_best","Q_mean"
"signal_B_signal_Kst","baseline_wide",4.78015033592368,19.62,14.9265929629126,0.674821610601427
"signal_B_signal_Kst","shift_high",4.7889989478095,19.52,14.8780045297126,0.671106557377049
"signal_B_signal_Kst","shift_low",4.77094139683837,19.74,14.9889552144793,0.677051671732523
"signal_B_signal_Kst","tight",4.93191818481164,14.66,11.5072080568309,0.648021828103684
"signal_B_signal_Kst","very_wide",4.48488402011359,22.4,15.9889287262864,0.648214285714286
"signal_B_signal_Kst","wider",4.63386291153845,20.04,14.7795438471502,0.655938123752495
