"file","run_group","tree","n_loaded_q2_range"
"data\00382466_00000001_1.dvntuple.root","00382466","B0_KstMuMu/DecayTree;1",3353167
"data\00382466_00000002_1.dvntuple.root","00382466","B0_KstMuMu/DecayTree;1",3350433
"data\00382466_00000003_1.dvntuple.root","00382466","B0_KstMuMu/DecayTree;1",2194256
"data\00382467_00000001_1.dvntuple.root","00382467","B0_KstMuMu/DecayTree;1",3353228
"data\00382467_00000002_1.dvntuple.root","00382467","B0_KstMuMu/DecayTree;1",3344384
"data\00382467_00000003_1.dvntuple.root","00382467","B0_KstMuMu/DecayTree;1",1815786
