"analysis_id","stage","statistic","p_pointwise","p_scan_max","p_model_family","mc_resolution","note"
"S09D_LOCAL_SCAN","09d","best k2=23.08 deltaD_add",NA,0.0001999600079984,NA,0.0001999600079984,"best local peak; exploratory"
"S09D_REF_K2","09d","reference k2=19.5296 deltaD_add",0.0001999600079984,0.0001999600079984,NA,0.0001999600079984,"reference survives local null; NOT the best peak"
"S28_SIDEBAND_FIXEDALPHA","28","sideband-subtracted best scan deltaChi2",NA,0.816183816183816,NA,NA,"does NOT survive (p~0.82)"
"S28_REF_K","28","sideband-subtracted reference-k deltaChi2",0.822177822177822,NA,NA,NA,"does NOT survive"
"S28_N15","28","sideband-subtracted n15 deltaChi2",0.575424575424575,NA,NA,NA,"does NOT survive"
"S28_COMB","28","sideband-subtracted 10/15/20 comb deltaChi2",0.685314685314685,NA,NA,NA,"does NOT survive"
"S29_signal_B_signal_Kst","29","signal_B_signal_Kst best deltaChi2",NA,0.00199600798403194,NA,NA,"B sidebands stronger than signal -> not signal-specific"
"S29_B_low_sideband_Kst_signal","29","B_low_sideband_Kst_signal best deltaChi2",NA,0.00199600798403194,NA,NA,"B sidebands stronger than signal -> not signal-specific"
"S29_B_high_sideband_Kst_signal","29","B_high_sideband_Kst_signal best deltaChi2",NA,0.00199600798403194,NA,NA,"B sidebands stronger than signal -> not signal-specific"
