"k1","k2","k3","n1","n2","n3","delta1","delta2","delta3","Q_low","Q_high","Q_mean","koide_error","integer_error_10_15_20","score"
9.82,14.42,19.52,7.47090432700314,10.9705132785525,14.8505145074441,176.628993284328,160.143265929411,196.070372237838,0.680998613037448,0.676837725381415,0.678918169209431,0.017574274441746,7.01072670980241,55.6428778480988
9.82,14.42,18.26,7.47090432700314,10.9705132785525,13.8919259685415,176.628993284328,160.143265929411,177.261770053854,0.680998613037448,0.633148404993065,0.657073509015257,0.0364537865302766,7.74219972199577,44.5410375165079
9.82,15.7,20.82,7.47090432700314,11.9443175085488,15.8395344285342,176.628993284328,241.564223344365,161.941929531138,0.625477707006369,0.663057324840764,0.644267515923567,0.041346798501381,5.74830359176387,55.7166643214794
9.82,15.7,22.08,7.47090432700314,11.9443175085488,16.7981229674368,176.628993284328,241.564223344365,96.7500968324421,0.625477707006369,0.703184713375796,0.664331210191083,0.0550463271558399,5.09760109692673,47.0195925794996
9.82,14.42,20.82,7.47090432700314,10.9705132785525,15.8395344285342,176.628993284328,160.143265929411,161.941929531138,0.680998613037448,0.721914008321775,0.701456310679612,0.0570760321565127,6.3200128111299,41.4879075308981
9.82,15.7,19.52,7.47090432700314,11.9443175085488,14.8505145074441,176.628993284328,241.564223344365,196.070372237838,0.625477707006369,0.621656050955414,0.623566878980892,0.0610121784941635,6.50005548051525,49.3346565779412
9.82,14.42,17,7.47090432700314,10.9705132785525,12.9333374296388,176.628993284328,160.143265929411,197.563138952646,0.680998613037448,0.589459084604716,0.635228848821082,0.0785265268213731,8.51885015978312,34.9727363309254
6.14,9.82,14.42,4.67121716576367,7.47090432700314,10.9705132785525,366.636006605102,176.628993284328,160.143265929411,0.625254582484725,0.734215885947047,0.679735234215886,0.0792329334410957,12.9079370389071,37.7700852229988
14.42,19.52,24.5,10.9705132785525,14.8505145074441,18.6392215897736,160.143265929411,196.070372237838,107.264920214777,0.738729508196721,0.627561475409836,0.683145491803279,0.0819894451293523,1.67808218453972,44.5319753754225
14.42,20.82,24.5,10.9705132785525,15.8395344285342,18.6392215897736,160.143265929411,161.941929531138,107.264920214777,0.692603266090298,0.588376560999039,0.640489913544669,0.0824745284018657,1.87040957073018,40.5491146065973
9.82,15.7,23.24,7.47090432700314,11.9443175085488,17.680633050871,176.628993284328,241.564223344365,83.5872801214136,0.625477707006369,0.740127388535032,0.682802547770701,0.0842199979536861,4.59488666415668,39.3162793866428
9.82,17,23.24,7.47090432700314,12.9333374296388,17.680633050871,176.628993284328,197.563138952646,83.5872801214136,0.577647058823529,0.683529411764706,0.630588235294118,0.0906026641594351,4.00585598188644,35.765157168262
9.82,17,22.08,7.47090432700314,12.9333374296388,16.7981229674368,176.628993284328,197.563138952646,96.7500968324421,0.577647058823529,0.649411764705882,0.613529411764706,0.0906764700582363,4.57377695505137,35.59366712603
9.82,15.7,18.26,7.47090432700314,11.9443175085488,13.8919259685415,176.628993284328,241.564223344365,177.261770053854,0.625477707006369,0.581528662420382,0.603503184713376,0.094578063867569,7.28299998527467,38.2791280147142
9.82,14.42,22.08,7.47090432700314,10.9705132785525,16.7981229674368,176.628993284328,160.143265929411,96.7500968324421,0.680998613037448,0.765603328710125,0.723300970873786,0.0999693342134297,5.73455357400637,29.2947920345697
14.42,19.52,23.24,10.9705132785525,14.8505145074441,17.680633050871,160.143265929411,196.070372237838,83.5872801214136,0.738729508196721,0.595286885245902,0.667008196721312,0.101430401384703,2.51867127292218,35.1945373380991
