"region","comb","n_values","k_values","delta_chi2"
"B_low_sideband_Kst_signal","koide_Q_2_3_true_sideband","[10, 15, 20]","[13.1443257337752, 19.7164886006628, 26.2886514675504]",226.235421708887
"B_low_sideband_Kst_signal","folded_Q_4_9","[6.6666666667, 15, 13.3333333333]","[8.76288382256063, 19.7164886006628, 17.5257676449898]",510.714573402664
