"k1","k2","k3","n1","n2","n3","delta1","delta2","delta3","Q_low","Q_high","Q_mean","koide_error","integer_error_10_15_20","score"
10.4,15.64,20.74,7.91215936872023,11.8986704352677,15.7786716641594,17.8015708897619,79.3210146466172,20.0348262717471,0.664961636828644,0.66304347826087,0.664002557544757,0.00400432528304692,5.63887723662043,15.5598229428674
7.76,11.66,15.64,5.90368814435279,8.87074790762287,11.8986704352677,352.89104269028,47.1420538068942,79.3210146466172,0.665523156089194,0.670668953687822,0.668096054888508,0.00416244133177853,10.9534945449857,41.584234334865
14.32,20.74,27.24,10.894434823084,15.7786716641594,20.7237712696095,90.5509916249448,20.0348262717471,30.8945205106556,0.690453230472517,0.656702025072324,0.67357762777242,0.0257894300013297,1.38931208301887,23.6739975366326
14.32,20.74,28.66,10.894434823084,15.7786716641594,21.8040853372617,90.5509916249448,20.0348262717471,32.5337236833493,0.690453230472517,0.690935390549662,0.69069431051109,0.0339819301482255,2.15895046664641,19.9668505354201
12.98,20.74,27.24,9.87498351980659,15.7786716641594,20.7237712696095,82.2560373513843,20.0348262717471,30.8945205106556,0.625843780135005,0.656702025072324,0.641272902603664,0.0420214486528087,1.07042212775936,19.1511705778638
12.98,20.74,28.66,9.87498351980659,15.7786716641594,21.8040853372617,82.2560373513843,20.0348262717471,32.5337236833493,0.625843780135005,0.690935390549662,0.658389585342334,0.0474918837664504,1.96892929913884,16.7721723017464
7.76,11.66,14.32,5.90368814435279,8.87074790762287,10.894434823084,352.89104269028,47.1420538068942,90.5509916249448,0.665523156089194,0.614065180102916,0.639794168096055,0.052613914558387,11.7157509030233,31.1821365515892
11.66,16.98,20.74,8.87074790762287,12.9181217385451,15.7786716641594,47.1420538068942,58.1171593650888,20.0348262717471,0.686690223792697,0.610718492343934,0.648704358068316,0.059423404900984,4.84035539011624,11.3009643580573
7.76,11.66,16.98,5.90368814435279,8.87074790762287,12.9181217385451,352.89104269028,47.1420538068942,58.1171593650888,0.665523156089194,0.728130360205832,0.696826758147513,0.061474329926541,10.2225486910404,29.9885889590823
14.32,20.74,30.02,10.894434823084,15.7786716641594,22.8387523316328,90.5509916249448,20.0348262717471,20.9014761696708,0.690453230472517,0.723722275795564,0.70708775313404,0.0618153957421557,3.07650093672354,13.223401447886
10.4,14.32,18.28,7.91215936872023,10.894434823084,13.9071416596352,17.8015708897619,90.5509916249448,23.5962864056,0.726256983240223,0.638268156424581,0.682262569832402,0.0660112203591674,7.63790983707462,9.64589566954656
7.76,12.98,16.98,5.90368814435279,9.87498351980659,12.9181217385451,352.89104269028,82.2560373513843,58.1171593650888,0.597842835130971,0.654083204930663,0.625963020030817,0.0699647289462006,9.65394035878805,31.8485467807185
12.98,20.74,30.02,9.87498351980659,15.7786716641594,22.8387523316328,82.2560373513843,20.0348262717471,20.9014761696708,0.625843780135005,0.723722275795564,0.674783027965284,0.0701559020884663,2.94626432643703,11.7646586735286
10.4,16.98,20.74,7.91215936872023,12.9181217385451,15.7786716641594,17.8015708897619,58.1171593650888,20.0348262717471,0.612485276796231,0.610718492343934,0.611601884570082,0.0778833821706468,5.14906870376692,7.5535810154885
7.76,12.98,18.28,5.90368814435279,9.87498351980659,13.9071416596352,352.89104269028,82.2560373513843,23.5962864056,0.597842835130971,0.704160246533128,0.651001540832049,0.0783740283413872,8.95368569342945,29.4192303168087
11.66,15.64,20.74,8.87074790762287,11.8986704352677,15.7786716641594,47.1420538068942,79.3210146466172,20.0348262717471,0.745524296675192,0.66304347826087,0.704283887468031,0.0789408215360427,5.35845763967501,11.3218418065284
10.4,15.64,18.28,7.91215936872023,11.8986704352677,13.9071416596352,17.8015708897619,79.3210146466172,23.5962864056,0.664961636828644,0.584398976982097,0.624680306905371,0.0822853564906002,7.14844362966222,8.30668669287305
7.76,10.4,14.32,5.90368814435279,7.91215936872023,10.894434823084,352.89104269028,17.8015708897619,90.5509916249448,0.746153846153846,0.688461538461538,0.717307692307692,0.0824210418484382,12.2445323644556,25.1153919146255
10.4,14.32,20.74,7.91215936872023,10.894434823084,15.7786716641594,17.8015708897619,90.5509916249448,20.0348262717471,0.726256983240223,0.724162011173184,0.725209497206704,0.0828053166726623,6.24774814173066,9.23902201463315
11.66,18.28,27.24,8.87074790762287,13.9071416596352,20.7237712696095,47.1420538068942,23.5962864056,30.8945205106556,0.637855579868709,0.74507658643326,0.691466083150985,0.0835355866698926,1.73014291055834,9.62179439957974
15.64,20.74,27.24,11.8986704352677,15.7786716641594,20.7237712696095,79.3210146466172,20.0348262717471,30.8945205106556,0.754098360655738,0.656702025072324,0.705400192864031,0.0879976999466594,2.17603396872307,11.5965158863315
12.98,18.28,27.24,9.87498351980659,13.9071416596352,20.7237712696095,82.2560373513843,23.5962864056,30.8945205106556,0.710065645514223,0.74507658643326,0.727571115973742,0.0896191211897011,1.31674345380454,12.7693482597785
7.76,10.4,12.98,5.90368814435279,7.91215936872023,9.87498351980659,352.89104269028,17.8015708897619,82.2560373513843,0.746153846153846,0.624038461538462,0.685096153846154,0.0901963168609419,13.0204920935165,23.1923450013749
15.64,20.74,28.66,11.8986704352677,15.7786716641594,21.8040853372617,79.3210146466172,20.0348262717471,32.5337236833493,0.754098360655738,0.690935390549662,0.7225168756027,0.0907373796883494,2.732398742213,11.1255998867433
7.76,12.98,15.64,5.90368814435279,9.87498351980659,11.8986704352677,352.89104269028,82.2560373513843,79.3210146466172,0.597842835130971,0.602465331278891,0.600154083204931,0.0941197707860975,10.4248311956297,28.7772361002581
10.4,14.32,16.98,7.91215936872023,10.894434823084,12.9181217385451,17.8015708897619,90.5509916249448,58.1171593650888,0.726256983240223,0.592877094972067,0.659567039106145,0.0948467538728088,8.44794315994105,10.1200697351833
11.66,18.28,20.74,8.87074790762287,13.9071416596352,15.7786716641594,47.1420538068942,23.5962864056,20.0348262717471,0.637855579868709,0.567286652078775,0.602571115973742,0.103472054304383,4.50434929365098,6.42020726762643
15.64,20.74,30.02,11.8986704352677,15.7786716641594,22.8387523316328,79.3210146466172,20.0348262717471,20.9014761696708,0.754098360655738,0.723722275795564,0.738910318225651,0.104401358453174,3.50282654190516,8.93626626364084
11.66,20.74,27.24,8.87074790762287,15.7786716641594,20.7237712696095,47.1420538068942,20.0348262717471,30.8945205106556,0.562198649951784,0.656702025072324,0.609450337512054,0.104942177404725,1.55093026903695,8.14962051923097
11.66,20.74,28.66,8.87074790762287,15.7786716641594,21.8040853372617,47.1420538068942,20.0348262717471,32.5337236833493,0.562198649951784,0.690935390549662,0.626567020250723,0.107249883334436,2.26633266596622,7.82443411476201
12.98,18.28,20.74,9.87498351980659,13.9071416596352,15.7786716641594,82.2560373513843,23.5962864056,20.0348262717471,0.710065645514223,0.567286652078775,0.638676148796499,0.108442882037044,4.3622908421374,8.73916864481813
7.76,11.66,12.98,5.90368814435279,8.87074790762287,9.87498351980659,352.89104269028,47.1420538068942,82.2560373513843,0.665523156089194,0.556603773584906,0.61106346483705,0.110068833236153,12.524514391976,23.357048018691
12.98,16.98,20.74,9.87498351980659,12.9181217385451,15.7786716641594,82.2560373513843,58.1171593650888,20.0348262717471,0.764428739693757,0.610718492343934,0.687573616018846,0.112639340963098,4.70844551150475,10.7086570646099
11.66,15.64,18.28,8.87074790762287,11.8986704352677,13.9071416596352,47.1420538068942,79.3210146466172,23.5962864056,0.745524296675192,0.584398976982097,0.664961636828644,0.113958319470752,6.92938511795771,8.96202438835518
18.28,27.24,30.02,13.9071416596352,20.7237712696095,22.8387523316328,23.5962864056,30.8945205106556,20.9014761696708,0.671071953010279,0.551027900146843,0.611049926578561,0.115722646314347,7.48904722215148,4.3589473466548
7.76,10.4,15.64,5.90368814435279,7.91215936872023,11.8986704352677,352.89104269028,17.8015708897619,79.3210146466172,0.746153846153846,0.751923076923077,0.749038461538462,0.116562717850248,11.5173259200885,22.0809249286845
7.76,11.66,18.28,5.90368814435279,8.87074790762287,13.9071416596352,352.89104269028,47.1420538068942,23.5962864056,0.665523156089194,0.783876500857633,0.724699828473413,0.117215412158618,9.56401718873291,22.3384102563882
11.66,20.74,30.02,8.87074790762287,15.7786716641594,22.8387523316328,47.1420538068942,20.0348262717471,20.9014761696708,0.562198649951784,0.723722275795564,0.642960462873674,0.119033226661342,3.1527852208886,6.16273842630045
11.66,18.28,28.66,8.87074790762287,13.9071416596352,21.8040853372617,47.1420538068942,23.5962864056,32.5337236833493,0.637855579868709,0.783916849015317,0.710886214442013,0.120738080087731,2.39254541113973,7.45659319213378
16.98,27.24,30.02,12.9181217385451,20.7237712696095,22.8387523316328,58.1171593650888,30.8945205106556,20.9014761696708,0.623348017621145,0.551027900146843,0.587187958883994,0.123486151763489,7.02392389111157,6.27021626979545
