"region","n","k","delta_chi2","amp","phase"
"signal_B_signal_Kst",10,13.1443257337752,69.7398003179096,3.69334763340477,0.288359457057482
"signal_B_signal_Kst",11,14.4587583071527,80.9384835239689,3.94512124932723,-3.07875243811748
"signal_B_signal_Kst",12,15.7731908805303,72.4762728545193,3.72725151671423,-0.241630077911683
"signal_B_signal_Kst",13,17.0876234539078,54.1815424295091,3.20109431331976,2.57236469534757
"signal_B_signal_Kst",14,18.4020560272853,21.092108088058,1.99597847010247,-1.01328850380894
"signal_B_signal_Kst",15,19.7164886006628,6.52478861641612,1.10998505215174,2.19832244718735
"signal_B_signal_Kst",16,21.0309211740404,13.1330553836087,1.56056457058075,-1.33210428941546
"signal_B_signal_Kst",17,22.3453537474179,3.37723412368723,0.787279420696782,0.771615139288061
"signal_B_signal_Kst",18,23.6597863207954,4.1468229277416,0.886585281056405,-1.13774159225148
"signal_B_signal_Kst",19,24.9742188941729,8.72585933053233,1.27523643737347,1.23560242609883
"signal_B_signal_Kst",20,26.2886514675504,1.37948414670609,0.512739146458926,-1.2254412294076
"signal_B_signal_Kst",21,27.603084040928,16.154325032694,1.74891199262008,1.97834085434945
"signal_B_signal_Kst",22,28.9175166143055,23.8125433149326,2.09404242414022,-1.56293357264745
