"well_rank","peak_index","k","n_eff","delta_chi2","prominence","nearest_integer_n","distance_to_integer","distance_to_n10","distance_to_n15","distance_to_n20"
1,87,7.74,5.88847245325909,1044.78379036054,1026.75004317533,6,0.111527546740906,4.11152754674091,9.11152754674091,14.1115275467409
2,347,12.94,9.84455213761921,330.362923812463,292.385909782413,10,0.155447862380791,0.155447862380791,5.15544786238079,10.1554478623808
3,413,14.26,10.8487877498029,260.079381454208,219.784795653821,11,0.151212250197071,0.848787749802929,4.15121225019707,9.15121225019707
4,543,16.86,12.826827591983,203.269238779765,182.819981721546,13,0.173172408017015,2.82682759198299,2.17317240801701,7.17317240801701
5,478,15.56,11.837807670893,196.662549298828,174.553992543712,12,0.162192329107043,1.83780767089296,3.16219232910704,8.16219232910704
6,281,11.62,8.84031652543549,150.057560867757,97.2286087406428,9,0.159683474564513,1.15968347456451,6.15968347456451,11.1596834745645
7,1000,26,19.7803984218006,149.639090673289,124.556595461574,20,0.219601578199427,9.78039842180057,4.78039842180057,0.219601578199427
8,1135,28.7,21.8345167194491,149.626714267259,118.38795721803,22,0.165483280550905,11.8345167194491,6.83451671944909,1.83451671944909
9,606,18.12,13.7854161308856,138.35288068408,101.102343961189,14,0.214583869114369,3.78541613088563,1.21458386911437,6.21458386911437
10,1200,30,22.8235366405391,137.318733452325,83.1261704827848,23,0.176463359460879,12.8235366405391,7.82353664053912,2.82353664053912
11,1066,27.32,20.7846340339843,129.218295473951,83.0578276716842,21,0.215365966015707,10.7846340339843,5.78463403398429,0.784634033984293
12,175,9.5,7.22745326950406,105.643409011194,27.7565425964021,7,0.227453269504055,2.77254673049594,7.77254673049594,12.7725467304959
13,217,10.34,7.86651229543915,95.1344090802122,8.74849822761462,8,0.13348770456085,2.13348770456085,7.13348770456085,12.1334877045608
14,731,20.62,15.6873775175972,92.6943193543775,68.1222342737237,16,0.312622482402775,5.68737751759723,0.687377517597225,4.31262248240277
15,1264,31.28,23.7973408705355,85.5902244184217,42.4319490612288,24,0.202659129464539,13.7973408705355,8.79734087053546,3.79734087053546
16,932,24.64,18.7457314274295,82.9960567484195,50.539011444911,19,0.254268572570535,8.74573142742947,3.74573142742947,1.25426857257053
17,862,23.24,17.680633050871,77.311141218619,49.6899833594944,18,0.319366949129027,7.68063305087097,2.68063305087097,2.31936694912903
18,795,21.9,16.6611817475936,77.0662094826948,43.977206401305,17,0.338818252406444,6.66118174759356,1.66118174759356,3.33881825240644
19,668,19.36,14.7287889786946,75.6871779012399,50.6202502720298,15,0.271211021305421,4.72878897869458,0.271211021305421,5.27121102130542
