"region","n","k","delta_chi2","amp","phase"
"B_low_sideband_Kst_signal",10,13.1443257337752,79.4857103195282,4.83711964831407,0.883371115044696
"B_low_sideband_Kst_signal",11,14.4587583071527,157.843154386566,6.77636557989375,-2.47259526440891
"B_low_sideband_Kst_signal",12,15.7731908805303,235.216534892388,8.12019487377166,0.295223106885588
"B_low_sideband_Kst_signal",13,17.0876234539078,188.483095039392,7.24828218843807,3.0335371464824
"B_low_sideband_Kst_signal",14,18.4020560272853,157.789128798973,6.64277383489231,-0.325445229747742
"B_low_sideband_Kst_signal",15,19.7164886006628,161.36147601706,6.68786689501158,2.4019266853683
"B_low_sideband_Kst_signal",16,21.0309211740404,121.765878518334,5.88712894161727,-1.42642891352269
"B_low_sideband_Kst_signal",17,22.3453537474179,60.0850760041576,4.13585323993706,1.1251593250163
"B_low_sideband_Kst_signal",18,23.6597863207954,22.1284631965464,2.51263046668706,-2.28705187201194
"B_low_sideband_Kst_signal",19,24.9742188941729,22.8928144599195,2.50762737096216,0.899605216683423
"B_low_sideband_Kst_signal",20,26.2886514675504,9.82088775480224,1.64839639658303,-2.59111858269905
"B_low_sideband_Kst_signal",21,27.603084040928,3.16467513785756,0.925967591490324,1.06230109266646
"B_low_sideband_Kst_signal",22,28.9175166143055,2.30670723282674,0.800718145163789,-1.0448069741192
