"region","n","k","delta_chi2","amp","phase"
"B_high_sideband_Kst_signal",10,13.1443257337752,269.1499799716,8.26980642306734,0.585589066137392
"B_high_sideband_Kst_signal",11,14.4587583071527,211.586809865479,7.34420938115211,-2.91851478560286
"B_high_sideband_Kst_signal",12,15.7731908805303,150.422976842881,6.03246694565922,0.141167687665776
"B_high_sideband_Kst_signal",13,17.0876234539078,157.129042428511,6.22037302907994,3.08133177054217
"B_high_sideband_Kst_signal",14,18.4020560272853,97.757440014695,4.83755857953889,-0.343714832827111
"B_high_sideband_Kst_signal",15,19.7164886006628,42.7468175720132,3.15062897482182,2.84805123435639
"B_high_sideband_Kst_signal",16,21.0309211740404,50.9434411393122,3.48809243358095,-0.387842374808028
"B_high_sideband_Kst_signal",17,22.3453537474179,39.4703405028631,3.04564275909089,2.63002557521556
"B_high_sideband_Kst_signal",18,23.6597863207954,40.0256840183429,3.05104035605471,-0.710383123835909
"B_high_sideband_Kst_signal",19,24.9742188941729,53.9258993065487,3.54134395129807,2.52100321794065
"B_high_sideband_Kst_signal",20,26.2886514675504,112.156671378558,5.22331931967128,-0.905247432275018
"B_high_sideband_Kst_signal",21,27.603084040928,92.0572911652453,4.70372099957172,1.88025154344082
"B_high_sideband_Kst_signal",22,28.9175166143055,125.330137169407,5.50448622843774,-1.31314253706972
