"region","comb","n_values","k_values","delta_chi2"
"signal_B_signal_Kst","koide_Q_2_3_true_sideband","[10, 15, 20]","[13.1443257337752, 19.7164886006628, 26.2886514675504]",75.7978759836951
"signal_B_signal_Kst","folded_Q_4_9","[6.6666666667, 15, 13.3333333333]","[8.76288382256063, 19.7164886006628, 17.5257676449898]",61.3151299087767
