i_A,i_B,region_A,region_B,A_n1,A_n2,A_n3,A_Q_low,A_Q_high,A_Q_mean,A_koide_error,A_mean_deltaD,B_n1,B_n2,B_n3,B_Q_low,B_Q_high,B_Q_mean,B_koide_error,B_mean_deltaD,scale_a,scale_rmse,affine_a,affine_b,affine_rmse,phase_coherence,mean_phase_offset
170,144,B_low_sideband_Kst_signal,signal_B_signal_Kst,10.437964090273224,12.12690580167312,13.602827837761318,0.8607277289836888,0.560853199498118,0.7107904642409033,0.22103435421182988,421.0672587375995,14.013651497291022,19.080476631490708,23.508242739755296,0.7344497607655502,0.6160287081339713,0.6752392344497608,0.08460940071869724,125.7769447998653,1.5813171475049619,1.8449134185381173,3.000000000000003,-17.300240773528692,6.153480596427404e-15,0.3665439190395661,1.2151463520093584
194,135,B_low_sideband_Kst_signal,signal_B_signal_Kst,11.046591734020936,14.56141637666396,18.076241019306984,0.7586206896551725,0.6206896551724138,0.6896551724137931,0.10280772310343868,367.0507575771101,14.013651497291022,15.824318737440455,17.634985977589896,0.8855769230769233,0.5572115384615386,0.7213942307692309,0.24474910715262135,160.3208401646922,1.0653578902338918,1.6093797644441867,0.5151515151515156,8.322983028249919,8.010036638990837e-15,0.7366066784754947,2.0137761342768985
138,93,B_low_sideband_Kst_signal,signal_B_signal_Kst,9.814120755431825,10.437964090273224,13.602827837761318,0.9402332361516038,0.6516034985422742,0.795918367346939,0.27398096096937224,379.43517055823776,12.142121492766814,14.013651497291022,23.508242739755296,0.8664495114006514,0.8387622149837133,0.8526058631921823,0.26368553771594755,169.66269210517035,1.4993833996596388,2.515726509188007,3.000000000000001,-17.300240773528657,1.109334490649587e-14,0.4235741619876904,0.029270723221588458
46,115,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,13.602827837761318,18.076241019306984,0.3422818791946309,0.6644295302013422,0.5033557046979865,0.3243925016439842,379.83575984649207,13.085494340575764,14.911377271818894,15.824318737440455,0.8775510204081632,0.530612244897959,0.7040816326530611,0.2509641734108398,184.24443440761047,1.030632544865585,5.0773755184156775,0.20408163265306078,12.135289957990045,1.3213675252893015e-14,0.3351722066837701,1.6804208019852467
149,108,B_low_sideband_Kst_signal,signal_B_signal_Kst,9.814120755431825,12.12690580167312,13.602827837761318,0.8092848180677543,0.560853199498118,0.6850690087829361,0.17758498512907306,417.1868916148849,12.142121492766814,19.080476631490708,23.508242739755296,0.6363636363636364,0.6160287081339713,0.6261961722488039,0.05901251129976886,144.3975040279156,1.564671678006128,2.2573482654677264,2.9999999999999964,-17.300240773528603,1.4099395310285296e-14,0.4610782740812907,0.022280926903516497
137,92,B_low_sideband_Kst_signal,signal_B_signal_Kst,9.814120755431825,10.437964090273224,12.12690580167312,0.9402332361516038,0.5809037900874636,0.7605685131195337,0.2866948533526484,366.84431761229536,12.142121492766814,14.013651497291022,19.080476631490708,0.8664495114006514,0.6807817589576547,0.773615635179153,0.20028085500213588,193.83980689656514,1.410114138898563,1.559662102592032,2.9999999999999982,-17.300240773528618,1.9268900662051867e-14,0.7610432716478867,1.0617288903513382
79,60,B_low_sideband_Kst_signal,signal_B_signal_Kst,7.623061237940067,11.046591734020936,12.12690580167312,0.6900826446280991,0.5488980716253443,0.6194903581267217,0.12007393556428995,410.5185917682914,11.168317262770476,14.013651497291022,14.911377271818894,0.796959826275787,0.5320304017372421,0.6644951140065145,0.18735856338869034,192.587514427222,1.2859675960845858,0.8884388119160946,0.8310883432671249,4.832895007457391,4.641573516807216e-05,0.9997989151916573,-3.1274128102997305
166,162,B_low_sideband_Kst_signal,signal_B_signal_Kst,10.437964090273224,11.046591734020936,14.56141637666396,0.9449035812672175,0.6590909090909091,0.8019972451790633,0.27834003080635183,371.5094504477241,17.634985977589896,18.502280369930386,23.508242739755296,0.9531249999999998,0.6352796052631577,0.7942023026315788,0.28817273354649403,100.13557920874223,1.6495533626231433,0.41400856108846795,1.4243158206258462,2.7682202038704973,0.00017161024098353612,0.7619398724930441,1.2162540554280397
219,130,B_low_sideband_Kst_signal,signal_B_signal_Kst,18.076241019306984,19.01961386711593,19.97820240601858,0.9504000000000002,0.5252000000000002,0.7378000000000002,0.3170448268340335,353.94417854497607,14.013651497291022,14.911377271818894,15.824318737440455,0.9397959183673469,0.530612244897959,0.7352040816326529,0.30513995775281694,167.54744413888116,0.7843368818639653,0.13029648471967029,0.9520010239781511,-3.1950711594805314,0.00017214405744787463,0.9998595587739482,1.594321621578081
1,129,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,7.623061237940067,9.814120755431825,0.6107784431137725,0.6437125748502995,0.627245508982036,0.06041840665734641,351.6665925898016,13.085494340575764,19.080476631490708,23.508242739755296,0.6858054226475279,0.6160287081339713,0.6509170653907496,0.054134044970368944,142.4739350685946,2.4819683381054922,1.014487598955999,2.020641171796731,3.67727252674582,0.00018971259256231663,0.356441347271702,0.25002814019701874
197,75,B_low_sideband_Kst_signal,signal_B_signal_Kst,11.046591734020936,18.076241019306984,19.01961386711593,0.6111111111111112,0.526094276094276,0.5686026936026936,0.15115229652348378,368.8425032575121,11.168317262770476,17.634985977589896,18.502280369930386,0.6333045729076789,0.5245901639344264,0.5789473684210527,0.1459409535689272,157.090344723327,0.9796784845126426,0.21789912727792923,0.9198721597840076,1.00689575341893,0.00020041421379388548,0.7242188081351356,1.146243312609318
98,9,B_low_sideband_Kst_signal,signal_B_signal_Kst,7.623061237940067,18.076241019306984,19.97820240601858,0.4217171717171717,0.5526094276094277,0.4871632996632997,0.270202347986417,353.40985312849426,6.953570829817586,12.142121492766814,13.085494340575764,0.5726817042606517,0.5388471177944862,0.555764411027569,0.15865374320307654,210.66972324193594,0.68102396883455,1.0651738367772305,0.49632412562841194,3.170113033425711,0.0002542861920346297,0.33334847973050985,1.598307004299055
33,74,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,10.437964090273224,19.97820240601858,0.44606413994169103,0.9569970845481051,0.7015306122448981,0.3646330022703022,337.25238003726236,11.168317262770476,15.824318737440455,23.508242739755296,0.7057692307692308,0.7427884615384617,0.7242788461538463,0.08557767333772742,141.02698788064973,1.2964896877503334,3.5268152996349325,0.805368470035023,7.418286826793805,0.0002679957121105873,0.34004290127560033,1.9063214569659233
