i_A,i_B,region_A,region_B,A_n1,A_n2,A_n3,A_Q_low,A_Q_high,A_Q_mean,A_koide_error,A_mean_deltaD,B_n1,B_n2,B_n3,B_Q_low,B_Q_high,B_Q_mean,B_koide_error,B_mean_deltaD,scale_a,scale_rmse,affine_a,affine_b,affine_rmse,phase_coherence,mean_phase_offset
0,0,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,7.623061237940067,8.672943923404866,0.6107784431137725,0.5688622754491017,0.5898203592814371,0.1126463158444907,353.72467868633584,6.953570829817586,11.168317262770476,12.142121492766814,0.622615803814714,0.5435967302452317,0.5831062670299729,0.13071605780766787,201.4851956191419,1.4374649944663254,0.26947107573658924,1.3198111697871677,0.8704390658958372,0.1737398882210356,0.9999791035919694,3.1370214145800968
0,1,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,7.623061237940067,8.672943923404866,0.6107784431137725,0.5688622754491017,0.5898203592814371,0.1126463158444907,353.72467868633584,6.953570829817586,11.168317262770476,13.085494340575764,0.622615803814714,0.5858310626702998,0.6042234332425069,0.09205907555183773,199.56162665982092,1.4902477383624806,0.1447684873376175,1.5033605376860313,-0.0970125095856195,0.14293661541115643,0.33333333333333337,3.1278788410355665
0,2,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,7.623061237940067,8.672943923404866,0.6107784431137725,0.5688622754491017,0.5898203592814371,0.1126463158444907,353.72467868633584,6.953570829817586,11.168317262770476,14.013651497291022,0.622615803814714,0.6273841961852862,0.6250000000000001,0.059021953586119655,182.8646363910916,1.5421791476796654,0.5178620306372151,1.683949431909108,-1.048860027398037,0.4545054335008941,0.9999791035919694,3.1370214145800968
0,3,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,7.623061237940067,8.672943923404866,0.6107784431137725,0.5688622754491017,0.5898203592814371,0.1126463158444907,353.72467868633584,6.953570829817586,11.168317262770476,14.911377271818894,0.622615803814714,0.6675749318801091,0.6450953678474116,0.04406022541589507,167.45525242660875,1.5924078878389099,0.8879989855568842,1.8586173787806075,-1.9694994298723314,0.7558588805057217,0.33412995483796126,3.085454330739695
0,4,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,7.623061237940067,8.672943923404866,0.6107784431137725,0.5688622754491017,0.5898203592814371,0.1126463158444907,353.72467868633584,6.953570829817586,11.168317262770476,15.824318737440455,0.622615803814714,0.7084468664850135,0.6655313351498637,0.060712960847437936,165.337028748686,1.6434879625771244,1.2654446016173055,2.036245799327894,-2.9057428900156763,1.0623200130530015,0.9998624158875888,-3.137408257001524
0,5,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,7.623061237940067,8.672943923404866,0.6107784431137725,0.5688622754491017,0.5898203592814371,0.1126463158444907,353.72467868633584,6.953570829817586,11.168317262770476,17.634985977589896,0.622615803814714,0.7895095367847412,0.7060626702997277,0.13050229598305035,160.2286484524198,1.7447967774745834,2.0148381933885515,2.388542166746683,-4.762625752633334,1.6701345926051134,0.9993751157510142,3.110056180403764
0,6,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,7.623061237940067,8.672943923404866,0.6107784431137725,0.5688622754491017,0.5898203592814371,0.1126463158444907,353.72467868633584,6.953570829817586,11.168317262770476,18.502280369930386,0.622615803814714,0.8283378746594008,0.7254768392370574,0.16756508589748476,154.59407066138553,1.7933228484758876,2.3739311229853692,2.5572891662666066,-5.652057039769521,1.961272668525034,0.34535453781856984,2.949470389762623
0,7,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,7.623061237940067,8.672943923404866,0.6107784431137725,0.5688622754491017,0.5898203592814371,0.1126463158444907,353.72467868633584,6.953570829817586,11.168317262770476,19.080476631490708,0.622615803814714,0.854223433242507,0.7384196185286105,0.19266037269346759,157.59944831383683,1.8256735624767566,2.6133507483876977,2.669787165946555,-6.245011231193636,2.1553647191383103,0.7762725792262682,-2.7072904082806493
0,8,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,7.623061237940067,8.672943923404866,0.6107784431137725,0.5688622754491017,0.5898203592814371,0.1126463158444907,353.72467868633584,6.953570829817586,11.168317262770476,23.508242739755296,0.622615803814714,1.0524523160762944,0.8375340599455042,0.3882924745709216,133.42233352244207,2.0734119249570973,4.447093492454393,3.5312850056009006,-10.785792012888903,3.641701211992628,0.9912653041619365,-3.0552438352267766
0,9,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,7.623061237940067,8.672943923404866,0.6107784431137725,0.5688622754491017,0.5898203592814371,0.1126463158444907,353.72467868633584,6.953570829817586,12.142121492766814,13.085494340575764,0.5726817042606517,0.5388471177944862,0.555764411027569,0.15865374320307654,210.66972324193594,1.538137548783712,0.30651552561654954,1.5750520083213335,-0.27310448908568147,0.2996246918981505,0.3333960160087586,0.013711234022097266
