KDE_BANDWIDTH_SCALE,label,Q,n_minus,n0,n_plus,k_minus,k0,k_plus,deltaD,p_vs_model_scanmax_null,p_vs_fixed_model_null,A_minus,A0,A_plus,any_A_bound_active,success
0.5,threshold_Q1,1.0,15.0,15.0,30.0,19.716488600662828,19.716488600662828,39.432977201325656,95.13223497005265,0.0001999600079984003,0.0001999600079984003,0.05299556519569135,0.05299556519569135,0.04842224510437819,False,True
0.5,near_075,0.75,11.25,15.0,22.5,14.787366450497123,19.716488600662828,29.574732900994245,207.75953685810111,0.0001999600079984003,0.0001999600079984003,0.10346110933654563,0.11232209393016167,0.0737499009402876,True,True
0.5,dense_Q_0.745000,0.745,11.175,15.0,22.35,14.688784007493808,19.716488600662828,29.377568014987617,203.2022562736595,0.0001999600079984003,0.0001999600079984003,0.11222927450242497,0.11284730169546041,0.06973949785827742,True,True
0.5,dense_Q_0.740000,0.74,11.1,15.0,22.2,14.590201564490492,19.716488600662828,29.180403128980984,198.82482922875488,0.0001999600079984003,0.0001999600079984003,0.11516169293379934,0.11301177071467253,0.06642547069673949,False,True
0.5,dense_Q_0.735000,0.735,11.025,15.0,22.05,14.49161912148718,19.716488600662828,28.98323824297436,196.0563821466127,0.0001999600079984003,0.0001999600079984003,0.11232700724798612,0.11202678021151345,0.06542093369551316,False,True
0.5,dense_Q_0.730000,0.73,10.95,15.0,21.9,14.393036678483863,19.716488600662828,28.786073356967727,194.6261828935833,0.0001999600079984003,0.0001999600079984003,0.10936556154001338,0.11112176695324674,0.06621093694642209,False,True
0.5,dense_Q_0.725000,0.725,10.875,15.0,21.75,14.29445423548055,19.716488600662828,28.5889084709611,193.5961203839273,0.0001999600079984003,0.0001999600079984003,0.10385284692040131,0.10999292256232565,0.06758861611134355,True,True
0.5,dense_Q_0.720000,0.72,10.799999999999999,15.0,21.599999999999998,14.195871792477238,19.716488600662828,28.391743584954476,192.44080623126752,0.0001999600079984003,0.0001999600079984003,0.1001398185126095,0.10870091616634804,0.06924887909006303,True,True
0.5,dense_Q_0.715000,0.715,10.725,15.0,21.45,14.097289349473924,19.716488600662828,28.194578698947847,191.05982015117513,0.0001999600079984003,0.0001999600079984003,0.10072632010646203,0.10787955512133621,0.07040473826042004,False,True
0.5,dense_Q_0.710000,0.71,10.649999999999999,15.0,21.299999999999997,13.998706906470607,19.716488600662828,27.997413812941215,189.35210353069078,0.0001999600079984003,0.0001999600079984003,0.09810861747172682,0.10674971618568328,0.07107095901187283,False,True
0.5,dense_Q_0.705000,0.705,10.575,15.0,21.15,13.900124463467295,19.716488600662828,27.80024892693459,187.73289978524406,0.0001999600079984003,0.0001999600079984003,0.09559158225303442,0.10600890001844482,0.07145503966308586,False,True
0.5,dense_Q_0.700000,0.7,10.5,15.0,21.0,13.801542020463982,19.716488600662828,27.603084040927964,186.6129996738838,0.0001999600079984003,0.0001999600079984003,0.09328916931326862,0.10585966255942479,0.07193402820877236,False,True
0.5,dense_Q_0.695000,0.695,10.424999999999999,15.0,20.849999999999998,13.702959577460666,19.716488600662828,27.40591915492133,186.0785769437183,0.0001999600079984003,0.0001999600079984003,0.09140654311566544,0.10629519394791062,0.07256370680908146,False,True
0.5,dense_Q_0.690000,0.69,10.35,15.0,20.7,13.604377134457351,19.716488600662828,27.208754268914703,185.78784805626526,0.0001999600079984003,0.0001999600079984003,0.09004667616561447,0.10709155080597448,0.07303313044284086,False,True
0.5,dense_Q_0.685000,0.685,10.275,15.0,20.55,13.505794691454039,19.716488600662828,27.011589382908078,185.19087191141773,0.0001999600079984003,0.0001999600079984003,0.08908017554214866,0.10796255542535813,0.07298665856625039,False,True
0.5,dense_Q_0.680000,0.68,10.200000000000001,15.0,20.400000000000002,13.407212248450726,19.716488600662828,26.814424496901452,183.86887176254083,0.0001999600079984003,0.0001999600079984003,0.08831425393035662,0.10875267784096553,0.07217599479509756,False,True
0.5,dense_Q_0.675000,0.675,10.125,15.0,20.25,13.30862980544741,19.716488600662828,26.61725961089482,181.95209788752902,0.0001999600079984003,0.0001999600079984003,0.08757760828420569,0.10953552879287243,0.07080500306315839,False,True
