KDE_BANDWIDTH_SCALE,label,Q,obs_deltaD,p_vs_fixed_model_null,p_vs_model_scanmax_null,null_fixed_mean,null_fixed_std,null_scanmax_mean,null_scanmax_std
1.0,dense_Q_0.685000,0.685,374.8956188028551,0.0001999600079984003,0.0001999600079984003,6.086243633686537,3.530830206474602,11.02331095814506,3.865123294476209
1.0,dense_Q_0.680000,0.68,377.23892809958306,0.0001999600079984003,0.0001999600079984003,6.079015818234631,3.524816668593734,11.02331095814506,3.865123294476209
1.0,dense_Q_0.675000,0.675,379.38733284062937,0.0001999600079984003,0.0001999600079984003,6.0749043566074725,3.5245349591502437,11.02331095814506,3.865123294476209
1.0,dense_Q_0.670000,0.67,377.637114649365,0.0001999600079984003,0.0001999600079984003,6.072378763940297,3.5265382457523176,11.02331095814506,3.865123294476209
1.0,koide_lepton,0.6666666666666666,373.077171046471,0.0001999600079984003,0.0001999600079984003,6.070200848234316,3.5250963299127145,11.02331095814506,3.865123294476209
1.0,dense_Q_0.665000,0.665,370.58233738695935,0.0001999600079984003,0.0001999600079984003,6.068698156982804,3.52301971061652,11.02331095814506,3.865123294476209
1.0,dense_Q_0.660000,0.66,364.1535682890751,0.0001999600079984003,0.0001999600079984003,6.062182869968483,3.512750905743929,11.02331095814506,3.865123294476209
1.0,dense_Q_0.655000,0.655,360.2682686086039,0.0001999600079984003,0.0001999600079984003,6.0534486375214085,3.5017784996015204,11.02331095814506,3.865123294476209
1.0,low_bw_empirical,0.65,358.59621300550157,0.0001999600079984003,0.0001999600079984003,6.0445787926093955,3.49439564767685,11.02331095814506,3.865123294476209
1.0,dense_Q_0.645000,0.645,355.8397593148409,0.0001999600079984003,0.0001999600079984003,6.0371323957079035,3.4893723525919,11.02331095814506,3.865123294476209
1.0,dense_Q_0.640000,0.64,352.3783966471626,0.0001999600079984003,0.0001999600079984003,6.030979439344516,3.4836277964441495,11.02331095814506,3.865123294476209
1.0,dense_Q_0.635000,0.635,344.20200425686335,0.0001999600079984003,0.0001999600079984003,6.024579658930314,3.476096289190837,11.02331095814506,3.865123294476209
1.0,quark_like,0.63026,334.30739341981666,0.0001999600079984003,0.0001999600079984003,6.016450140193227,3.4679257854082803,11.02331095814506,3.865123294476209
1.0,dense_Q_0.630000,0.63,333.7159094591075,0.0001999600079984003,0.0001999600079984003,6.015917094280536,3.46745284022208,11.02331095814506,3.865123294476209
1.0,dense_Q_0.625000,0.625,324.60859627670084,0.0001999600079984003,0.0001999600079984003,6.003683012466117,3.4574257686867527,11.02331095814506,3.865123294476209
1.0,dense_Q_0.620000,0.62,318.15031622528613,0.0001999600079984003,0.0001999600079984003,5.988263020143537,3.444580088700401,11.02331095814506,3.865123294476209
1.0,dense_Q_0.615000,0.615,314.63046538765434,0.0001999600079984003,0.0001999600079984003,5.971774138963057,3.4290706266036586,11.02331095814506,3.865123294476209
1.0,dense_Q_0.610000,0.61,314.00605518107795,0.0001999600079984003,0.0001999600079984003,5.957022355097218,3.4138552663281043,11.02331095814506,3.865123294476209
1.0,dense_Q_0.605000,0.605,317.05201420917774,0.0001999600079984003,0.0001999600079984003,5.946486637100584,3.403525412139493,11.02331095814506,3.865123294476209
1.0,dense_Q_0.600000,0.6,319.686610056546,0.0001999600079984003,0.0001999600079984003,5.941913837772621,3.4032354574135093,11.02331095814506,3.865123294476209
1.0,dense_Q_0.595000,0.595,320.8331546537597,0.0001999600079984003,0.0001999600079984003,5.944068856199689,3.415388824259459,11.02331095814506,3.865123294476209
1.0,dense_Q_0.590000,0.59,326.7135686062031,0.0001999600079984003,0.0001999600079984003,5.952350211696998,3.433414003535723,11.02331095814506,3.865123294476209
1.0,dense_Q_0.585000,0.585,325.4479890047364,0.0001999600079984003,0.0001999600079984003,5.9645838785522995,3.442766449289944,11.02331095814506,3.865123294476209
1.0,dense_Q_0.580000,0.58,317.0512469239177,0.0001999600079984003,0.0001999600079984003,5.977367339490138,3.43389434563588,11.02331095814506,3.865123294476209
1.0,dense_Q_0.575000,0.575,313.92266255179857,0.0001999600079984003,0.0001999600079984003,5.987094180965199,3.4123116071650434,11.02331095814506,3.865123294476209
1.0,dense_Q_0.570000,0.57,306.9361212164324,0.0001999600079984003,0.0001999600079984003,5.991481253771046,3.392271733084803,11.02331095814506,3.865123294476209
1.0,dense_Q_0.565000,0.565,298.1708949888184,0.0001999600079984003,0.0001999600079984003,5.990799216672972,3.3830713324646795,11.02331095814506,3.865123294476209
1.0,dense_Q_0.560000,0.56,297.2012534096034,0.0001999600079984003,0.0001999600079984003,5.987974028909442,3.384853816395447,11.02331095814506,3.865123294476209
1.0,dense_Q_0.555000,0.555,302.1579738669843,0.0001999600079984003,0.0001999600079984003,5.987158062655092,3.393505197274568,11.02331095814506,3.865123294476209
1.0,dense_Q_0.550000,0.55,308.33411837347853,0.0001999600079984003,0.0001999600079984003,5.991420247869327,3.4046761958520495,11.02331095814506,3.865123294476209
1.0,spin1_Qhalf,0.5,232.21893557620479,0.0001999600079984003,0.0001999600079984003,4.049716959381335,2.816340887744093,11.02331095814506,3.865123294476209
1.0,spin32_Q4over9,0.4444444444444444,457.4416529560142,0.0001999600079984003,0.0001999600079984003,6.05100483793031,3.511483531205959,11.02331095814506,3.865123294476209
1.0,neutrino_like_Qthird,0.3333333333333333,396.3320119273253,0.0001999600079984003,0.0001999600079984003,6.051065013444825,3.430351129533209,11.02331095814506,3.865123294476209
1.25,threshold_Q1,1.0,178.41946495035472,0.0001999600079984003,0.0001999600079984003,4.004463857713843,2.790415788529757,10.987758262135754,3.8491429318709103
1.25,near_075,0.75,428.0772022907022,0.0001999600079984003,0.0001999600079984003,5.988842855681694,3.4294801722302917,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.745000,0.745,441.9540285118064,0.0001999600079984003,0.0001999600079984003,6.003699761802673,3.4314221049253977,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.740000,0.74,436.45021028647557,0.0001999600079984003,0.0001999600079984003,6.024768442052402,3.441208974405614,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.735000,0.735,416.02195605345537,0.0001999600079984003,0.0001999600079984003,6.047875614327666,3.455449800642345,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.730000,0.73,401.47391314903234,0.0001999600079984003,0.0001999600079984003,6.0670378473252935,3.472269119930995,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.725000,0.725,397.9668042835897,0.0001999600079984003,0.0001999600079984003,6.077479155882933,3.4907634590054144,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.720000,0.72,405.82459355855553,0.0001999600079984003,0.0001999600079984003,6.077558400373576,3.5044779222580336,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.715000,0.715,421.41496683435685,0.0001999600079984003,0.0001999600079984003,6.068560961933563,3.504645333042131,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.710000,0.71,431.5188891236828,0.0001999600079984003,0.0001999600079984003,6.053603257024979,3.489412980144301,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.705000,0.705,422.96478059222864,0.0001999600079984003,0.0001999600079984003,6.036720387219872,3.4653343374554932,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.700000,0.7,408.19359475343185,0.0001999600079984003,0.0001999600079984003,6.021602414697741,3.4429377005245905,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.695000,0.695,398.85090921720894,0.0001999600079984003,0.0001999600079984003,6.010286990030369,3.4324835446478867,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.690000,0.69,396.0783508534937,0.0001999600079984003,0.0001999600079984003,6.003020370747953,3.4379982167232015,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.685000,0.685,398.5524734292578,0.0001999600079984003,0.0001999600079984003,5.998780058279211,3.4526650897398423,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.680000,0.68,402.7465656083648,0.0001999600079984003,0.0001999600079984003,5.995317586850548,3.4634979507280934,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.675000,0.675,403.64738215769876,0.0001999600079984003,0.0001999600079984003,5.989384302326614,3.4619813980696894,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.670000,0.67,395.759049384244,0.0001999600079984003,0.0001999600079984003,5.978121406835788,3.4485841627970957,10.987758262135754,3.8491429318709103
1.25,koide_lepton,0.6666666666666666,388.39939635219594,0.0001999600079984003,0.0001999600079984003,5.9671307480618445,3.4359506516536134,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.665000,0.665,385.11084521703356,0.0001999600079984003,0.0001999600079984003,5.96072002400164,3.429374458130849,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.660000,0.66,377.75073444015857,0.0001999600079984003,0.0001999600079984003,5.939449591232299,3.4118983829944094,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.655000,0.655,374.6032082194122,0.0001999600079984003,0.0001999600079984003,5.919405152193646,3.4017311561560044,10.987758262135754,3.8491429318709103
1.25,low_bw_empirical,0.65,374.32323792147236,0.0001999600079984003,0.0001999600079984003,5.9063245183297965,3.400089916193094,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.645000,0.645,371.12320576991624,0.0001999600079984003,0.0001999600079984003,5.903490483923505,3.404178583189728,10.987758262135754,3.8491429318709103
1.25,dense_Q_0.640000,0.64,366.9409511775316,0.0001999600079984003,0.0001999600079984003,5.910195405197519,3.409036992215345,10.987758262135754,3.8491429318709103
