mc,delta_chi2_vs_const,delta_chi2_vs_charm,p_local_rough_vs_const,p_local_rough_vs_charm,best_k,wct_aic_minus_charm_aic,wct_bic_minus_charm_bic,wct_preferred_over_charm_by_aic,wct_preferred_over_charm_by_bic,hit_delta_vs_const,hit_delta_vs_charm,hit_k_window,hit_delta_vs_charm_and_k
0,82.38074137460838,-8.169561654761683,0.0,1.0,2.0,12.16956165476168,13.714739099241243,False,False,True,False,False,False
1,54.06292532944382,-8.097922392522763,5.1054160898900136e-11,1.0,2.0,12.097922392522763,13.643099837002328,False,False,True,False,False,False
2,43.52575942561894,-5.317390396628799,8.048753663558728e-09,1.0,2.0001761425457043,9.317390396628799,10.862567841108358,False,False,True,False,False,False
3,52.83361762242194,-14.051690454061767,9.232992148611174e-11,1.0,2.0,18.051690454061763,19.596867898541326,False,False,True,False,False,False
4,83.83902167236627,-13.937956181000853,0.0,1.0,2.0,17.937956181000853,19.48313362548042,False,False,True,False,False,False
5,49.3391916666513,-8.594678548023872,4.960777344464873e-10,1.0,2.0,12.594678548023868,14.139855992503435,False,False,True,False,False,False
6,56.6390312251218,-10.490906870357197,1.4728107622374864e-11,1.0,2.0,14.4909068703572,16.036084314836756,False,False,True,False,False,False
7,41.986537097570555,2.060053708992573,1.678916472513947e-08,0.35699737345577964,2.0,1.939946291007427,3.4851237354869937,False,False,True,False,False,False
8,29.94391441191808,-10.569639384850024,5.024811103426785e-06,1.0,2.0,14.569639384850024,16.11481682932959,False,False,True,False,False,False
9,57.86316888674721,2.296949187300477,8.152700736729912e-12,0.31712013769045,2.0,1.703050812699523,3.248228257179086,False,False,True,False,False,False
10,55.0793014774799,-11.10465367869104,3.127020864468477e-11,1.0,2.0,15.10465367869104,16.6498311231706,False,False,True,False,False,False
11,43.26546459127076,7.412052697407923,9.11508502010605e-09,0.024574981918826233,2.0,-3.4120526974079226,-1.8668752529283594,True,True,True,False,False,False
12,32.06186431760702,-12.595322878651501,1.8582025111957279e-06,1.0,2.0,16.595322878651498,18.140500323131064,False,False,True,False,False,False
13,68.19721709303869,-9.43811741626683,5.4511950509095186e-14,1.0,2.0,13.43811741626683,14.983294860746398,False,False,True,False,False,False
14,47.48109008438004,-4.273469068608528,1.2106582403248467e-09,1.0,2.0,8.273469068608527,9.81864651308809,False,False,True,False,False,False
15,39.970925127590604,-18.86266364516541,4.3887661060892924e-08,1.0,2.0,22.86266364516541,24.407841089644975,False,False,True,False,False,False
16,35.88942619626647,-12.527951581241444,3.0492859648401094e-07,1.0,2.0,16.527951581241446,18.07312902572101,False,False,True,False,False,False
17,51.73214671643688,-8.946772247963214,1.5693191190990774e-10,1.0,2.0,12.946772247963214,14.49194969244278,False,False,True,False,False,False
18,36.55091260126998,-2.166305942490979,2.2288192091934889e-07,1.0,2.0,6.166305942490979,7.711483386970542,False,False,True,False,False,False
19,63.634917512350796,2.3296836437884068,4.988232049640828e-13,0.3119720052708891,2.0,1.6703163562115932,3.2154938006911564,False,False,True,False,False,False
20,33.44621297732154,-3.8645383442902066,9.678030326032427e-07,1.0,2.0,7.864538344290207,9.409715788769766,False,False,True,False,False,False
21,52.39152151560665,-12.841768203117997,1.14242282300836e-10,1.0,2.0,16.841768203117997,18.386945647597564,False,False,True,False,False,False
22,58.45536615100965,2.52518960197695,6.123324070017588e-12,0.28291895484618634,2.0,1.4748103980230507,3.019987842502612,False,False,True,False,False,False
23,72.98077892995656,-13.46014239719075,5.329070518200751e-15,1.0,2.0,17.460142397190754,19.005319841670314,False,False,True,False,False,False
24,49.252352441121786,-8.037048171127338,5.172152706123256e-10,1.0,2.0,12.037048171127338,13.582225615606902,False,False,True,False,False,False
25,45.253065657570254,-15.013471132409144,3.52226192656957e-09,1.0,2.0,19.013471132409144,20.558648576888707,False,False,True,False,False,False
26,45.31528675113026,-11.252316505325856,3.4188653019739945e-09,1.0,2.0,15.252316505325854,16.79749394980542,False,False,True,False,False,False
27,78.4035656023988,-13.144919945194323,3.3306690738754696e-16,1.0,2.0,17.144919945194324,18.690097389673884,False,False,True,False,False,False
28,34.63104068308161,1.3624612884924243,5.530753792726273e-07,0.5059939105535625,2.0,2.637538711507574,4.182716155987137,False,False,True,False,False,False
29,42.8032236438834,-5.847853007728364,1.1367824237495938e-08,1.0,2.0,9.847853007728364,11.393030452207924,False,False,True,False,False,False
30,17.005287734276457,-3.072742347652392,0.001928382316626731,1.0,2.0,7.072742347652394,8.617919792131957,False,False,True,False,False,False
31,45.73991677533702,-6.836522133894789,2.7896834842167095e-09,1.0,2.0,10.836522133894789,12.381699578374352,False,False,True,False,False,False
32,35.092337356921405,-4.908518296881319,4.4468242954565085e-07,1.0,2.0,8.908518296881319,10.453695741360882,False,False,True,False,False,False
33,29.575668925454234,-3.0969603317706866,5.9710080633212925e-06,1.0,2.0,7.096960331770685,8.642137776250248,False,False,True,False,False,False
34,36.45131432692545,-6.398971644063197,2.3365703338829036e-07,1.0,2.0,10.398971644063195,11.944149088542762,False,False,True,False,False,False
35,42.08432440151506,-9.049906612849012,1.602356924923498e-08,1.0,2.0,13.049906612849014,14.595084057328577,False,False,True,False,False,False
36,54.61304642317485,2.0928521383244885,3.915745505622681e-11,0.3511906399630287,2.0,1.9071478616755115,3.4523253061550747,False,False,True,False,False,False
37,40.73522731570324,-5.514720640855362,3.049395824739065e-08,1.0,2.0,9.514720640855362,11.059898085334922,False,False,True,False,False,False
38,59.87822234519187,-9.987969053949973,3.076872090446159e-12,1.0,2.0,13.987969053949975,15.533146498429538,False,False,True,False,False,False
39,86.01674248732952,-6.9618381619468135,0.0,1.0,2.0,10.961838161946812,12.507015606426375,False,False,True,False,False,False
40,47.36452483745252,-13.49634873806303,1.2802920945631513e-09,1.0,2.0,17.49634873806303,19.04152618254259,False,False,True,False,False,False
41,42.517474038401666,-12.804783314002798,1.303011765152462e-08,1.0,2.0,16.804783314002798,18.34996075848236,False,False,True,False,False,False
42,39.183394818630376,-19.934019900697923,6.38448794942903e-08,1.0,2.0,23.934019900697926,25.479197345177482,False,False,True,False,False,False
43,45.25839046840175,-5.395687584967517,3.5132925457759256e-09,1.0,2.0,9.395687584967517,10.940865029447082,False,False,True,False,False,False
44,49.93390329446056,-13.500391743992111,3.7274483499771804e-10,1.0,2.0,17.500391743992115,19.045569188471674,False,False,True,False,False,False
45,50.51455921838281,-8.149442640421785,2.819373623452748e-10,1.0,2.0,12.149442640421785,13.694620084901352,False,False,True,False,False,False
46,37.52032925620928,1.3574617703858074,1.407195964198138e-07,0.5072603556567139,2.0,2.6425382296141926,4.187715674093759,False,False,True,False,False,False
47,33.75760109847691,-18.56804482250411,8.355422972394777e-07,1.0,2.0,22.56804482250411,24.113222266983676,False,False,True,False,False,False
48,45.976654624618014,-0.1239656647848264,2.4905557616250462e-09,1.0,2.0,4.123965664784826,5.66914310926439,False,False,True,False,False,False
49,72.97060983465511,-10.327440500157335,5.329070518200751e-15,1.0,2.0,14.327440500157335,15.8726179446369,False,False,True,False,False,False
50,65.1923242874825,1.4954164130616157,2.3436808049837055e-13,0.4734503607793683,2.0,2.5045835869383843,4.049761031417951,False,False,True,False,False,False
51,48.719554109252385,-7.257581538128186,6.680803688041692e-10,1.0,2.0,11.257581538128186,12.802758982607749,False,False,True,False,False,False
52,40.13199517100928,-11.912233312890892,4.0647141097416295e-08,1.0,2.0,15.912233312890898,17.457410757370454,False,False,True,False,False,False
53,72.22021366402737,-5.8613396626294545,7.66053886991358e-15,1.0,2.0,9.861339662629454,11.406517107109018,False,False,True,False,False,False
54,58.94275376005169,-13.528121400005743,4.837685807501657e-12,1.0,2.0,17.528121400005745,19.073298844485304,False,False,True,False,False,False
55,65.89494420454544,-4.11339658735473,1.66644475996236e-13,1.0,2.0,8.113396587354732,9.658574031834293,False,False,True,False,False,False
56,34.31132297507353,-13.565096908867307,6.432843105974584e-07,1.0,2.0,17.565096908867307,19.110274353346874,False,False,True,False,False,False
57,41.11577376139812,-6.9253008464595585,2.5434860329021092e-08,1.0,2.0,10.925300846459557,12.470478290939123,False,False,True,False,False,False
58,51.03940351739664,-4.5109534916167515,2.1902968327935923e-10,1.0,2.0,8.510953491616752,10.056130936096316,False,False,True,False,False,False
59,35.59535741865301,-0.5649768500424752,3.5048591384700956e-07,1.0,2.0,4.5649768500424734,6.110154294522037,False,False,True,False,False,False
