KDE_BANDWIDTH_SCALE,null_best_deltaD,null_best_n,null_deltaD_n10,null_deltaD_n11,null_deltaD_n12,null_deltaD_n13,null_deltaD_n14,null_deltaD_n15,null_deltaD_n16,null_deltaD_n17,null_deltaD_n18,null_deltaD_n19,null_deltaD_n20,null_deltaD_n21,null_deltaD_n22
0.5,5.080235448421071,20,2.874634682730946,0.2953469883525237,0.49400201637723384,1.1883670354311633,1.973101314307506,3.579753023457979,1.5155960572157419,2.97369206394432,0.0683319368677644,0.6793341929240881,5.080235448421071,2.468645890194079,0.8443141370748322
0.5,5.250382113488982,10,5.250382113488982,1.96779509061475,0.1090925703404011,4.340623325683552,2.0635999203646875,0.7538607123492937,1.785813691098042,1.08558293773266,1.6711593392954143,3.085031240086124,2.971717256326194,1.737736796091987,1.863572539983025
0.5,5.250891976836613,14,0.3643261866128569,1.374061560359678,1.2509607970383243,3.416636806198504,5.250891976836613,0.2789295937350573,1.4503111025092394,2.1448511809288036,2.452019465577898,0.03867194595526513,1.8801685761739932,0.46686432163377134,0.7408768184021355
0.5,3.8882005906546766,15,0.1138787155752361,0.2117268206070122,0.15658735511988908,1.9944383040257243,1.854289678696933,3.8882005906546766,3.0720006656815144,3.6785701002289883,3.279537066823856,0.7255603504492072,0.011903095286044163,1.5940102127814981,1.3353755548019812
0.5,4.033897996499064,18,0.6554802710358345,1.3090398855918295,0.746202493919931,0.9837026118811067,2.784289325532619,0.6688050828008656,0.043259258727772476,2.3797828221047723,4.033897996499064,1.0265144097156949,0.209183870931561,0.9213499219132473,0.2522474178165979
0.5,2.5958407425506707,11,2.034977818229031,2.5958407425506707,0.1945469247359881,0.11427710872939656,1.580846984670572,0.5002445060638365,0.5658017798212995,0.07273679642854347,0.5589216137253743,0.15139592897864418,2.2889192999486596,0.24547800260043573,1.5968017308820208
0.5,8.283696574375305,17,3.41888071947551,1.1962600598001458,0.9638935563272213,0.6073656302490704,3.32512659324302,0.4431763706986871,0.44610923915237066,8.283696574375305,4.098507642120737,3.86757130219312,3.4879885524025056,2.1644722562682333,0.3616561601403774
0.5,13.34401339780294,14,2.4372904372415505,1.1700697696235096,0.5860438008927531,5.343595305511116,13.34401339780294,3.5051906934840744,1.8976173863665124,2.8370614097814553,0.057931754285576176,0.6478078429899767,0.5463504185392623,2.4007395011379984,2.16497188218014
0.5,4.688597728548018,12,0.1470442067644271,0.5419688516387957,4.688597728548018,0.7587407502308956,0.09459898039395043,0.12867946056710977,3.45844018008097,2.9789024444089485,0.2045468214389956,1.9856390596578741,1.0316710255822557,1.7551464790628017,0.08705551479532048
0.5,4.475922780429293,10,4.475922780429293,0.9522390836187284,0.005853906708281897,0.23151763888774468,0.34533251948346333,0.204769812635071,1.1734235913807183,0.309062154508176,1.1350780121911157,1.0131354180977894,1.148817519770219,0.31315631300417124,2.665900026358308
0.5,5.761571019705215,16,1.0618098966482918,2.21391117737587,1.4180783565313035,1.652441466812121,0.5672626747931773,2.5025594237756863,5.761571019705215,0.6848166893694341,0.481903180194621,0.6442040797874284,0.13598493527071298,0.9302377849226886,0.707300644059508
0.5,5.977697508263365,11,2.6499766563323277,5.977697508263365,2.5655400423037165,1.580001085713171,3.3479520032738677,4.190725063891058,4.775208914358004,2.7005169349921374,0.05637788353504902,0.591789325634771,1.9802657487601252,4.444746719266345,0.7471424680714591
0.5,6.600962659002697,21,2.820925509449161,2.914025432477146,2.3534144873566873,1.7862033148310275,0.07043073926674026,0.4622305209796451,1.0809628913806932,0.8685248701719104,5.461357656518814,2.176249401360174,3.2144270618660826,6.600962659002697,2.8028045099456307
0.5,2.685513955049231,10,2.685513955049231,0.6401399450607244,1.8088667724797247,0.8459935437067543,0.19379807242691527,0.5097544895617361,0.11035824650122095,0.41352170038155833,2.3559758178424772,2.3771590713344466,1.8362101787370477,0.11167612076532407,0.5114603256342178
0.5,4.585773306470241,17,1.072828671392024,2.5777591841033782,4.569650329100014,0.9816043562469403,4.351060099000293,0.32065031158406043,0.6393882374332378,4.585773306470241,0.8009772861662938,1.476685105843444,0.2912637392701498,1.8985892675449776,0.6364547590575853
0.5,6.193667157995051,22,0.6581829308487812,0.05516136090835744,2.1394740248389468,3.5478431554622247,0.6154752830919108,3.286487390546448,0.42574160128273775,1.834537720826674,1.9057451925803264,0.513418697572618,2.5618353805961647,4.139211962402612,6.193667157995051
0.5,3.621429490710341,19,0.8949908999130614,0.5520154702382882,0.5930613735007597,0.7564313300153032,0.813763181303699,1.350901761465181,0.561766105262322,0.25800946479166953,1.7260429877059522,3.621429490710341,2.4119504572305885,0.8626961986520243,3.4724944781488887
0.5,7.954592496747168,13,2.449897139215828,1.850679738567223,0.7985936892447114,7.954592496747168,3.269749763699174,0.08546145597119903,0.014665270268849895,1.9721328443044612,2.6577500532701137,0.31148327643271045,0.158595356237754,2.5539700208672826,4.181937266886187
0.5,3.4663915226366804,12,0.21198109626281436,3.0613979091762573,3.4663915226366804,1.5540743753378727,1.9798119483323795,2.2842316801079754,0.28448406897331324,0.13250704184766704,0.4110275559906924,0.9769868686688952,0.5901453527053881,1.6904302241439488,2.0895377264237354
0.5,6.974698019200801,22,0.01837450410582875,0.12596711258344584,0.8424696779136553,0.17205780139813243,1.5695873965741498,0.6269598357397186,0.8113422745268224,0.7613382062290484,0.16079868394319874,0.29064791167386517,1.9906626077945546,2.261246547985877,6.974698019200801
0.5,2.6757685238895803,19,0.07876807483870607,0.10127907269153269,0.5924784372904739,1.409468559737327,1.75112680417174,2.320505701619961,1.4101593373961911,1.2645403384825364,0.04590173116429597,2.6757685238895803,1.6302524033977193,0.6350396307696649,0.9452094620949261
0.5,6.947785284213587,12,0.13918283160769818,1.3522369353189774,6.947785284213587,0.7649218331510781,1.469906557166638,1.2605507175489379,0.9436527965590642,0.4473673029399521,2.597729065883449,2.1531853265395284,0.18535491361569711,0.7371205756502448,1.4116080476931927
0.5,6.735272277063128,13,0.22440027487689918,0.13765925060366868,2.925583892037654,6.735272277063128,2.416659346982108,0.7823090326057809,0.031698728173431334,0.9476810941875371,0.7344629466587662,1.0602626476853239,0.032830600364370355,0.31124039281406723,0.6539205911990713
0.5,4.247484701573441,15,0.9517068524271224,1.950414684381272,2.238747815281414,0.09193777196348663,1.4476063624374973,4.247484701573441,2.223514994854497,2.517476886398839,2.9391015708142305,1.3014367917314686,0.9571250003280056,1.7010702349604117,1.1044466656738905
0.5,6.196128618378253,22,0.05717070056181228,2.0316306408341234,0.7125589012509934,0.5496262770436644,0.21574250250187532,1.1280671673387133,0.807448431230199,0.9712296393012068,3.998351433000753,3.609491892852631,0.9991817230888316,5.951914428133932,6.196128618378253
0.5,5.878968729768843,19,5.081856836697426,3.586803811653297,1.244596371664663,1.835964311360243,2.722244766959321,0.9061862124485316,0.012473629906537553,1.6529665266884948,4.8721859616123595,5.878968729768843,2.4111381180511273,0.1081021127280195,0.3314079823895071
0.5,5.516237081916145,18,0.6958588161366421,2.025658635925552,0.7184536813453661,2.429313383697547,2.0711676016221574,0.9673062432943738,5.349426461248619,2.026781378273597,5.516237081916145,0.3315896795965898,0.35810979412176636,1.0583532517360226,4.359083359473633
0.5,4.910302710311065,21,4.179925582034464,0.1882956383926242,0.2503927909663233,4.549599180905595,0.25096323853608027,2.1721620337230405,0.3318255300301942,0.021576268953978683,2.5616087744852933,4.6464420846477665,0.6433548270599303,4.910302710311065,1.8126139670745545
0.5,7.468240230381056,17,4.979931573212895,7.337112870165697,6.356562890490423,1.2485723288515729,1.7184119764634573,4.566052459187951,3.142270313670025,7.468240230381056,5.29273242321446,0.2563160178422379,1.2845571699796707,1.6017599821842836,2.45401920068268
0.5,5.59485825809633,10,5.59485825809633,0.3784883635868823,1.4713812778537658,2.1865348010007466,0.5489957126681162,1.0818744131005502,2.678418894461686,0.7192051193080786,2.6955868286106295,1.8314741258846254,1.7087365435779418,0.37637198672281613,0.4086046409339019
0.5,3.9442987837426173,11,0.14606552643351023,3.9442987837426173,1.628420887853288,0.921021972640176,3.480176601357094,0.4165083251631998,0.9319982813074077,1.9768105344740547,2.5628533904813935,1.4431276129398825,0.36009754697099083,2.397617237760052,0.3312379083885588
0.5,5.925177839296097,21,3.038461068327429,0.21074610904028646,0.4781794374343846,0.4997868750055545,0.4768977486336681,1.6181546356510879,2.867342330198838,1.831823019143215,1.4107913294298484,0.9876765950567403,2.7966009473498232,5.925177839296097,2.3191785020138624
0.5,4.483518675415631,14,1.0664636687915845,0.5048349474056693,0.4349532548862314,3.1106131482452426,4.483518675415631,0.13020347611541894,0.9266709361978087,1.734591024639137,0.8605694637431327,0.0042045342880214776,0.8016208465257648,2.096493722543812,0.8751832985778236
0.5,3.87234618378821,11,0.7647287760939392,3.87234618378821,0.20178422748258384,0.9453692948706234,3.3597525995103723,1.2083262364197154,1.2013647423970681,3.638277189410381,2.332841035478758,0.0023119321822164807,0.8282900426573008,0.062130156979534945,0.05668201210160362
0.5,2.784624346321184,17,0.698237910968075,0.6850202798492546,1.714239648811887,1.2581209908456152,0.3971859626754366,2.633440049605694,0.6883424171510448,2.784624346321184,0.23234684570536857,0.20953568673637335,0.08404026779728468,0.09317873451839631,0.24566588334018036
0.5,3.9878939079144367,16,0.37572484628153546,0.8816637078859628,0.49303120715513415,1.7034818789995825,0.15866902882608613,1.0379862466319558,3.9878939079144367,1.0366010409870832,2.8829825291814366,0.2524908080633175,0.04251980362812802,0.5377756245130492,2.6180581439244754
0.5,6.200570713539449,10,6.200570713539449,0.6218722713892504,0.9795961792258581,0.11623426274750415,3.3497471574845363,0.3377262652832158,1.3112214127046116,0.4817165925545339,0.5019895280034632,1.3810775900595331,4.5742413501050265,2.23166912599622,2.3343507269745203
0.5,6.446726079950274,20,0.1283616210514822,2.6755486141556517,3.1951082571773455,4.471016463953248,3.5301691140930203,0.014526328693357016,0.8883948193020146,1.5957742598287012,2.1084316481166994,1.4117873594792911,6.446726079950274,1.099013844406059,1.5108139751605307
0.5,6.250583854219464,15,1.4180456482362445,1.165833965385815,0.7758300954704396,0.6612288276238303,3.8694754727835843,6.250583854219464,2.550798970726227,5.067148755168908,2.910865405405559,0.4927704358456353,1.1281095635474756,0.49103388042402685,2.817572515017062
0.5,8.95671326200442,11,5.939695434761276,8.95671326200442,3.9095736229011635,4.682712233498179,1.480743438942099,0.7993383940120893,3.3338506731049407,4.619982581645807,1.6195247953595029,1.2055682136855879,1.6400317030943512,1.803834307608902,2.719483149165633
0.5,7.231905178112015,18,5.911730476466637,0.5498603292132813,0.44956172815589923,1.2065939887710257,4.454222272639015,5.257414888646466,0.35146276792383446,4.775950754003915,7.231905178112015,1.233112223073313,2.8550364969019384,1.3283677351432601,4.648797634526105
0.5,4.39339088448245,17,0.7603227233065155,0.7839742014615609,0.22535381106192176,0.12285462161274552,3.9382957925315125,1.4433922062434021,0.04125278589143022,4.39339088448245,2.6886156760437245,0.5612713467326671,0.819011230076363,1.2177701319584386,0.6335242129325565
0.5,12.920678453842715,17,2.4336853221759966,3.089552276311913,0.15804666075563034,1.3488870147892698,0.749994818826714,0.7453416937134634,3.996987747994691,12.920678453842715,5.907579572236649,0.9839029128468937,2.422815506484959,2.2948685304045746,0.2094911556486494
