KDE_BANDWIDTH_SCALE,n,k2,D_base,A1_base,base_success,D_two,deltaD,C,A1,phi1,A2,phi2,success,A1_bound_active,A2_bound_active,delta_k_from_reference,abs_delta_k_from_reference,p_vs_integer_scanmax_null,z_vs_integer_scanmax_null,p_vs_fixed_n_null,z_vs_fixed_n_null,null_best_p95,null_best_p99,null_best_mean
0.5,10,13.14432573377522,348.49696315276833,0.02788570611780701,True,290.42341662121413,58.0735465315542,-0.01061130509215555,0.04794104869073235,-2.0851346129142785,0.0836071924650761,-1.5750552733732672,True,False,False,-6.385274266224778,6.385274266224778,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.024272834012136,14.032773152918361,5.939418204441206
0.5,11,14.45875830715274,348.49696315276833,0.02788570611780701,True,316.51714958641736,31.97981356635097,-0.012437995444358727,0.04817298840010363,-2.050521636550674,0.06606646708938771,1.1423901360418174,True,False,False,-5.070841692847258,5.070841692847258,0.0003999200159968006,3.35285013285512,0.0001999600079984003,3.540136575008421,11.024272834012136,14.032773152918361,5.939418204441206
0.5,12,15.773190880530263,348.49696315276833,0.02788570611780701,True,344.82534595647945,3.671617196288878,-0.0043276099556253875,0.029845795670094637,-2.309389648510589,0.022661881967527695,-2.962005344688196,True,False,False,-3.756409119469735,3.756409119469735,0.8192361527694461,-0.9124579522772893,0.16336732653469307,0.9807122665631797,11.024272834012136,14.032773152918361,5.939418204441206
0.5,13,17.08762345390779,348.49696315276833,0.02788570611780701,True,337.69653207539454,10.800431077373787,-0.010634032127232998,0.018554262322915144,-2.2488335818971663,0.040566290880380225,-2.6442175950719586,True,False,False,-2.44197654609221,2.44197654609221,0.05658868226354729,1.584071871777889,0.0057988402319536095,2.5241549253807753,11.024272834012136,14.032773152918361,5.939418204441206
0.5,14,18.402056027285308,348.49696315276833,0.02788570611780701,True,300.36218702102366,48.13477613174467,-0.011095742425878631,0.02306363684951481,-2.2008143800603817,0.08097164642400409,0.010620038466832325,True,False,False,-1.1275439727146903,1.1275439727146903,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.024272834012136,14.032773152918361,5.939418204441206
0.5,15,19.716488600662828,348.49696315276833,0.02788570611780701,True,325.6343688246341,22.862594328134207,-0.01523176539385182,0.03541942128693136,-2.6821349385785522,0.05811284781339722,2.3025035912089264,True,False,False,0.18688860066282942,0.18688860066282942,0.0005998800239952009,3.238937157601321,0.0001999600079984003,3.540136575008421,11.024272834012136,14.032773152918361,5.939418204441206
0.5,16,21.03092117404035,348.49696315276833,0.02788570611780701,True,346.3352709275485,2.161692225219838,-0.005800018971371144,0.0284796087800927,-2.2588261874397912,0.016359867958287224,-0.19439221468992204,True,False,False,1.5013211740403527,1.5013211740403527,0.9778044391121775,-2.0103787124038757,0.34133173365326935,0.4088313012700447,11.024272834012136,14.032773152918361,5.939418204441206
0.5,17,22.345353747417875,348.49696315276833,0.02788570611780701,True,332.7234748242021,15.773488328566202,-0.0035250414644886594,0.03342362171284227,-1.5845449076297304,0.048076786911333456,-1.6942829616234794,True,False,False,2.815753747417876,2.815753747417876,0.004599080183963208,2.604599892324217,0.0007998400319936012,3.155965088290627,11.024272834012136,14.032773152918361,5.939418204441206
0.5,18,23.659786320795394,348.49696315276833,0.02788570611780701,True,333.7695160034576,14.727447149310706,-0.003072096606252137,0.029110055187302402,-2.3604765916202077,0.046581529977052345,-0.2010148093900781,True,False,False,4.130186320795396,4.130186320795396,0.007598480303939212,2.4276509666037533,0.0013997200559888023,2.988943371038746,11.024272834012136,14.032773152918361,5.939418204441206
0.5,19,24.974218894172914,348.49696315276833,0.02788570611780701,True,331.73398417125384,16.762978981514493,-0.013251942541362348,0.029989559216567468,-2.347516215856133,0.04697032338878977,2.231629382585565,True,False,False,5.4446188941729154,5.4446188941729154,0.003199360127974405,2.7266173117339814,0.0003999200159968006,3.35285013285512,11.024272834012136,14.032773152918361,5.939418204441206
