mc,delta_chi2_vs_const,delta_chi2_vs_charm,p_local_rough_vs_const,p_local_rough_vs_charm,best_k,wct_aic_minus_charm_aic,wct_bic_minus_charm_bic,wct_preferred_over_charm_by_aic,wct_preferred_over_charm_by_bic,hit_delta_vs_const,hit_delta_vs_charm,hit_k_window,hit_delta_vs_charm_and_k
0,255.67181533763494,-35.80532819123682,0.0,1.0,2.0,39.805328191236825,41.35050563571638,False,False,True,False,False,False
1,202.3110626438512,-34.47467741924483,0.0,1.0,2.0,38.47467741924483,40.0198548637244,False,False,True,False,False,False
2,170.72011858978055,-40.352424118427564,0.0,1.0,2.0,44.352424118427564,45.89760156290713,False,False,True,False,False,False
3,201.19945944245455,-46.95997799607621,0.0,1.0,2.0,50.95997799607621,52.50515544055577,False,False,True,False,False,False
4,253.5703296924271,-49.798714418725446,0.0,1.0,2.0,53.798714418725446,55.343891863205,False,False,True,False,False,False
5,196.05658718475598,-34.308595746870196,0.0,1.0,2.0,38.308595746870196,39.85377319134975,False,False,True,False,False,False
6,208.42464770282743,-39.77939046882611,0.0,1.0,2.0,43.77939046882611,45.32456791330567,False,False,True,False,False,False
7,179.69418904757035,-10.24591297762153,0.0,1.0,2.0,14.24591297762153,15.791090422101092,False,False,True,False,False,False
8,152.48315295529733,-41.89506798582533,0.0,1.0,2.0,45.89506798582533,47.4402454303049,False,False,True,False,False,False
9,209.67895942881535,-16.26538598199364,0.0,1.0,2.0,20.26538598199364,21.810563426473202,False,False,True,False,False,False
10,202.0747317590919,-44.21664736018734,0.0,1.0,2.0,48.21664736018734,49.761824804666894,False,False,True,False,False,False
11,180.99778823740647,-2.891134742322272,0.0,1.0,2.0,6.891134742322272,8.436312186801835,False,False,True,False,False,False
12,156.53112294743136,-46.633119264411086,0.0,1.0,2.0,50.633119264411086,52.17829670889064,False,False,True,False,False,False
13,228.71723599492913,-38.35074656158129,0.0,1.0,2.0,42.35074656158129,43.89592400606085,False,False,True,False,False,False
14,184.3060943401172,-26.927981586332315,0.0,1.0,2.0,30.927981586332315,32.47315903081188,False,False,True,False,False,False
15,174.73963963383096,-57.58014976610742,0.0,1.0,2.0,61.58014976610742,63.125327210586974,False,False,True,False,False,False
16,165.71815853858303,-44.179112750700966,0.0,1.0,2.0,48.179112750700966,49.72429019518052,False,False,True,False,False,False
17,200.10740637565215,-35.543367877170255,0.0,1.0,2.0,39.543367877170255,41.08854532164982,False,False,True,False,False,False
18,167.75578895952628,-17.60091817009662,0.0,1.0,2.0,21.600918170096616,23.146095614576183,False,False,True,False,False,False
19,222.3788409210098,-14.553280101355103,0.0,1.0,2.0,18.553280101355103,20.09845754583467,False,False,True,False,False,False
20,160.72491116966233,-26.570023295144672,0.0,1.0,2.0,30.570023295144672,32.115200739624235,False,False,True,False,False,False
21,197.40885632332783,-47.5882180774121,0.0,1.0,2.0,51.5882180774121,53.13339552189166,False,False,True,False,False,False
22,208.31199450223602,-9.523113343821233,0.0,1.0,2.0,13.523113343821233,15.068290788300793,False,False,True,False,False,False
23,239.43009961358143,-45.248056997636105,0.0,1.0,2.0,49.248056997636105,50.79323444211566,False,False,True,False,False,False
24,188.90159511386685,-38.32185905478786,0.0,1.0,2.0,42.32185905478786,43.86703649926742,False,False,True,False,False,False
25,186.5442337093088,-48.78559805426022,0.0,1.0,2.0,52.78559805426022,54.33077549873978,False,False,True,False,False,False
26,186.54948015930148,-41.40080804750204,0.0,1.0,2.0,45.40080804750204,46.9459854919816,False,False,True,False,False,False
27,247.1707508678578,-44.925022159331704,0.0,1.0,2.0,48.92502215933172,50.470199603811274,False,False,True,False,False,False
28,161.8132041821236,-15.825736107907131,0.0,1.0,2.0,19.825736107907133,21.370913552386696,False,False,True,False,False,False
29,181.10452348452827,-30.559343612486572,0.0,1.0,2.0,34.55934361248657,36.104521056966135,False,False,True,False,False,False
30,118.65430258399323,-24.76460947505006,0.0,1.0,2.0,28.76460947505006,30.30978691952963,False,False,True,False,False,False
31,186.39202164603222,-28.610729469848607,0.0,1.0,2.0,32.61072946984861,34.15590691432817,False,False,True,False,False,False
32,160.8669841525104,-31.81046383092362,0.0,1.0,2.0,35.810463830923624,37.35564127540319,False,False,True,False,False,False
33,152.33054901565328,-24.366482400871835,0.0,1.0,2.0,28.366482400871835,29.9116598453514,False,False,True,False,False,False
34,166.94157714971806,-32.183533948666884,0.0,1.0,2.0,36.183533948666884,37.728711393146455,False,False,True,False,False,False
35,177.84264449619263,-38.57826829942715,0.0,1.0,2.0,42.578268299427165,44.12344574390672,False,False,True,False,False,False
36,195.65500592265695,-21.201099225411202,0.0,1.0,2.0,25.201099225411202,26.74627666989077,False,False,True,False,False,False
37,173.43758661637332,-31.680424053367652,0.0,1.0,2.0,35.68042405336765,37.22560149784722,False,False,True,False,False,False
38,207.9863782146685,-45.47496103866653,0.0,1.0,2.0,49.474961038666535,51.02013848314609,False,False,True,False,False,False
39,256.96294480105615,-28.166707149546642,0.0,1.0,2.0,32.16670714954664,33.71188459402621,False,False,True,False,False,False
