veto_label,region,active_intervals,delta_ell_A,well_rank,k,n_eff,deltaD,prominence,A2,phi2,bound_active,nearest_integer_n,distance_to_integer,distance_to_n10,distance_to_n15,distance_to_n20
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,1,19.1,14.992337918517771,366.74036122747475,355.88799732298094,0.07071067811865477,-2.356194490192345,True,15.0,0.0076620814822288,4.992337918517771,0.0076620814822288,5.007662081482229
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,2,20.4,16.012758823966625,328.9053818046218,65.17686916229786,0.07071067811865477,0.7853981633974483,True,16.0,0.012758823966624533,6.0127588239666245,1.0127588239666245,3.9872411760333755
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,3,17.740000000000002,13.924820663586665,307.2428258783066,60.1890910577863,0.07071067811865477,0.7853981633974483,True,14.0,0.07517933641333485,3.924820663586665,1.0751793364133349,6.075179336413335
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,4,21.700000000000003,17.03317972941548,279.6729506656375,49.90503738656571,0.07071067811865477,-2.356194490192345,True,17.0,0.03317972941547964,7.03317972941548,2.0331797294154796,2.9668202705845204
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,5,12.36,9.701847993344483,238.74676663009495,122.58099351820283,0.07071067811865477,-0.7853981633974483,True,10.0,0.298152006655517,0.298152006655517,5.298152006655517,10.298152006655517
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,6,29.52,23.17140394526935,219.23688665845475,188.4820116472033,0.07071067811865477,0.7853981633974483,True,23.0,0.17140394526935054,13.17140394526935,8.17140394526935,3.1714039452693505
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,7,6.34,4.976514261958255,203.68019153397563,18.453071243437535,0.07071067811865477,-2.356194490192345,True,5.0,0.02348573804174503,5.023485738041745,10.023485738041746,15.023485738041746
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8,30.900000000000002,24.254619983361213,193.89722413297432,33.944078781129065,0.07071067811865477,-2.356194490192345,True,24.0,0.25461998336121283,14.254619983361213,9.254619983361213,4.254619983361213
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9,13.8,10.8321603809186,180.459760791382,21.97836409638694,0.07071067811865477,2.356194490192345,True,11.0,0.16783961908140022,0.8321603809185998,4.1678396190814,9.1678396190814
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10,11.04,8.665728304734879,172.60162245692163,17.534579378233957,0.07071067811865477,2.356194490192345,True,9.0,0.33427169526512124,1.3342716952651212,6.334271695265121,11.334271695265121
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,11,16.32,12.8102070591733,171.16918822806656,15.482886591999886,0.07071067811865477,-2.356194490192345,True,13.0,0.18979294082670073,2.8102070591732993,2.1897929408267007,7.189792940826701
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,12,23.0,18.05360063486433,164.88386125612487,14.088368916610307,0.07071067811865477,0.7853981633974483,True,18.0,0.0536006348643312,8.053600634864331,3.053600634864331,1.9463993651356688
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,13,28.16,22.103886690338243,162.97355873047627,12.125589769854741,0.07071067811865477,-2.356194490192345,True,22.0,0.10388669033824272,12.103886690338243,7.103886690338243,2.1038866903382427
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,14,14.620000000000001,11.475810490509415,149.3212419487013,16.71226119931316,0.07071067811865477,0.7853981633974483,True,11.0,0.4758104905094154,1.4758104905094154,3.5241895094905846,8.524189509490585
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,15,32.32,25.369233587774577,144.7687328379925,15.138193998324823,0.07071067811865477,0.7853981633974483,True,25.0,0.36923358777457693,15.369233587774577,10.369233587774577,5.369233587774577
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,16,15.52,12.182255732743236,140.73647920644498,16.789127611774802,0.07071067811865477,-0.7853981633974483,True,12.0,0.18225573274323636,2.1822557327432364,2.8177442672567636,7.817744267256764
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,17,9.8,7.692403748768282,93.46776468691269,1.7981677573648085,0.07071067811865477,-0.7853981633974483,True,8.0,0.3075962512317183,2.3075962512317183,7.307596251231718,12.307596251231718
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,18,7.48,5.871344902121096,21.249650323975857,5.994849209647782,0.06736235382956213,2.305164429199591,True,6.0,0.12865509787890428,4.128655097878904,9.128655097878905,14.128655097878905
tight,signal_B_signal_Kst,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,1,17.22,13.51665230140712,126.83096741903796,126.24273476897474,0.07071067811865477,2.356194490192345,True,14.0,0.48334769859287974,3.5166523014071203,1.4833476985928797,6.48334769859288
tight,signal_B_signal_Kst,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,2,18.48,14.505675640534472,123.87061617344739,29.126472619939477,0.07071067811865477,-0.7853981633974483,True,15.0,0.4943243594655282,4.505675640534472,0.4943243594655282,5.494324359465528
tight,signal_B_signal_Kst,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,3,19.72,15.479000196501069,107.75688598890724,18.293826558959836,0.07071067811865477,2.356194490192345,True,15.0,0.47900019650106884,5.479000196501069,0.47900019650106884,4.520999803498931
tight,signal_B_signal_Kst,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,4,15.96,12.527628962279772,103.16354911001781,19.11344842696394,0.07071067811865477,-0.7853981633974483,True,13.0,0.4723710377202277,2.5276289622797723,2.4723710377202277,7.472371037720228
tight,signal_B_signal_Kst,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,5,21.0,16.483722318789173,96.14682889137907,17.064956553010006,0.07071067811865477,-0.7853981633974483,True,16.0,0.48372231878917304,6.483722318789173,1.483722318789173,3.516277681210827
tight,signal_B_signal_Kst,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,6,14.66,11.507208056830917,67.64150564177726,6.491095098029973,0.07071067811865477,2.356194490192345,True,12.0,0.4927919431690828,1.5072080568309172,3.492791943169083,8.492791943169083
tight,signal_B_signal_Kst,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,7,9.14,7.17434390446348,47.566586961917665,34.017900926472066,0.07071067811865477,0.7853981633974483,True,7.0,0.17434390446347958,2.8256560955365204,7.82565609553652,12.82565609553652
tight,signal_B_signal_Kst,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8,7.84,6.153922999014625,15.890744773494816,4.384600474777699,0.07071067811865477,-2.356194490192345,True,6.0,0.15392299901462536,3.8460770009853746,8.846077000985375,13.846077000985375
tight,signal_B_signal_Kst,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9,32.980000000000004,25.887293432079378,7.913699890988937,6.977964183910672,0.02971996147108417,-0.06948635843466786,False,26.0,0.11270656792062184,15.887293432079378,10.887293432079378,5.887293432079378
tight,signal_B_signal_Kst,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10,30.12,23.6423674400919,7.026413400726597,4.804960466553439,0.027989789517187495,-0.12502378507377868,False,24.0,0.35763255990810094,13.642367440091899,8.642367440091899,3.642367440091899
tight,B_high_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,1,17.04,13.375363252960357,156.4796478636772,156.25229385039847,0.07071067811865477,2.356194490192345,True,13.0,0.3753632529603568,3.3753632529603568,1.6246367470396432,6.624636747039643
tight,B_high_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,2,18.36,14.411482941569961,140.2286283291071,24.979025870237137,0.07071067811865477,-0.7853981633974483,True,14.0,0.411482941569961,4.411482941569961,0.588517058430039,5.588517058430039
tight,B_high_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,3,15.74,12.354942347511505,128.9420249252064,17.628775349863645,0.07071067811865477,-0.7853981633974483,True,12.0,0.3549423475115052,2.354942347511505,2.645057652488495,7.645057652488495
