region,veto_label,delta_ell_A,best_n1,best_n2,best_n3,best_k1,best_k2,best_k3,Q_low,Q_high,Q_mean,koide_error,integer_error_10_15_20,score
B_high_sideband_Kst_signal,baseline_wide,4.780150335923678,9.57066969793274,14.40925946572703,19.59781012867626,12.58,18.939999999999998,25.76,0.6642027455121438,0.6800422386483634,0.6721224920802535,0.01360061885699537,0.8336999338501133,89.01839214820713
B_high_sideband_Kst_signal,shift_high,4.7889989478095005,10.045701828976018,14.817029101312125,19.512137088147654,13.18,19.439999999999998,25.6,0.6779835390946501,0.6584362139917695,0.6682098765432098,0.013993282416394448,0.5230461047550704,88.41887049647386
B_high_sideband_Kst_signal,shift_low,4.770941396838369,11.101242413155417,16.401288380585292,21.62540245736431,14.620000000000001,21.6,28.48,0.6768518518518519,0.6592592592592592,0.6680555555555556,0.012593954174755137,2.4121105129122196,74.68989014035822
B_high_sideband_Kst_signal,tight,4.931918184811636,11.365919008384154,16.515119885110675,22.339368437749517,14.48,21.04,28.46,0.6882129277566541,0.6763307984790875,0.6822718631178708,0.02361433485503569,3.1038633493215433,27.843085513131033
B_high_sideband_Kst_signal,very_wide,4.48488402011359,4.568265350367548,7.023707976190104,9.364943968253472,6.4,9.84,13.120000000000001,0.6504065040650407,0.6666666666666667,0.6585365853658538,0.016260162601625883,14.360689139156914,38.95369143479678
B_high_sideband_Kst_signal,wider,4.633862911538453,9.381027831125277,13.83554104653382,17.99505338674975,12.719999999999999,18.759999999999998,24.400000000000002,0.6780383795309168,0.6503198294243072,0.664179104477612,0.019913185111758047,2.3997712645443277,70.87370091910621
B_low_sideband_Kst_signal,baseline_wide,4.780150335923678,9.814120755431823,14.56141637666396,19.019613867115932,12.9,19.14,25.0,0.6739811912225706,0.6530825496342737,0.6635318704284221,0.015428237262521922,1.0899833291253505,155.15403550315585
B_low_sideband_Kst_signal,shift_high,4.7889989478095005,10.259115828377634,15.442027242416852,20.807864941657456,13.46,20.259999999999998,27.3,0.6643632773938797,0.6737413622902271,0.6690523198420534,0.007440223135633454,0.9566477196511158,162.49819669151208
B_low_sideband_Kst_signal,shift_low,4.770941396838369,8.716981046718479,13.196962595119093,17.6769441435197,11.48,17.380000000000003,23.28,0.6605293440736477,0.6697353279631759,0.6651323360184118,0.0068617352589177075,3.208374982792177,124.35599451884744
B_low_sideband_Kst_signal,tight,4.931918184811636,8.665728304734879,12.8102070591733,17.03317972941548,11.04,16.32,21.700000000000003,0.6764705882352942,0.6648284313725491,0.6706495098039216,0.009974767522119971,3.9214151270212794,93.20197617856547
B_low_sideband_Kst_signal,very_wide,4.48488402011359,10.878181865562723,16.117411189265503,21.39946800062798,15.24,22.580000000000002,29.98,0.674933569530558,0.6638618246235607,0.6693976970770594,0.008729766425729323,1.9945730971013942,94.88650855121683
B_low_sideband_Kst_signal,wider,4.633862911538453,10.310280587982026,15.251545247458392,19.838808856703615,13.98,20.68,26.900000000000002,0.6760154738878142,0.6503868471953579,0.6632011605415861,0.018773191483511403,0.4307338383208025,122.27077512737388
signal_B_signal_Kst,baseline_wide,4.780150335923678,10.13365026839937,14.926592962912586,20.023849479299656,13.32,19.62,26.32,0.6788990825688073,0.6707441386340468,0.6748216106014271,0.012894098512409243,0.1543365964379194,71.5171697808009
signal_B_signal_Kst,shift_high,4.7889989478095005,10.01521411477579,14.878004529712586,19.908477372750657,13.14,19.52,26.12,0.6731557377049181,0.6690573770491804,0.6711065573770493,0.006915456533919751,0.15326694150298872,77.05730582449347
signal_B_signal_Kst,shift_low,4.770941396838369,10.205246103475293,14.988955214479336,20.182696534998012,13.440000000000001,19.740000000000002,26.580000000000002,0.6808510638297872,0.6732522796352584,0.6770516717325228,0.015638651510063994,0.2750017712293287,64.49674827038248
signal_B_signal_Kst,tight,4.931918184811636,7.17434390446348,11.507208056830917,15.479000196501069,9.14,14.66,19.72,0.6234652114597546,0.6725784447476125,0.6480218281036836,0.04360406921461775,6.373646299548393,20.176840253267905
signal_B_signal_Kst,very_wide,4.48488402011359,10.307148696766777,15.988928726286414,20.842710661051935,14.44,22.4,29.2,0.6446428571428572,0.6517857142857144,0.6482142857142859,0.026579897097340446,1.335096103601006,46.04098091439568
signal_B_signal_Kst,wider,4.633862911538453,9.956279537750884,14.779543847150201,18.865305968567974,13.5,20.04,25.580000000000002,0.6736526946107785,0.6382235528942116,0.655938123752495,0.029288484213231852,1.1567380598545527,53.53947759040864
