region,metric,mean,std,min,max,range,rel_range
B_high_sideband_Kst_signal,best_n1,9.338804354990193,2.2556843942737967,4.568265350367548,11.365919008384154,6.797653658016606,0.7278933576099897
B_high_sideband_Kst_signal,best_n2,13.83365764257651,3.200435445776628,7.023707976190104,16.515119885110675,9.491411908920572,0.6861100768974071
B_high_sideband_Kst_signal,best_n3,18.405785911156826,4.289317371938424,9.364943968253472,22.339368437749517,12.974424469496045,0.704910104470545
B_high_sideband_Kst_signal,Q_mean,0.6688959128567259,0.007303739366925153,0.6585365853658538,0.6822718631178708,0.023735277752017003,0.0354842618945722
B_high_sideband_Kst_signal,koide_error,0.01666258966942743,0.003918114781711887,0.012593954174755137,0.02361433485503569,0.011020380680280552,0.6613846286151295
B_low_sideband_Kst_signal,best_n1,9.774068064801261,0.8255621007903392,8.665728304734879,10.878181865562723,2.2124535608278446,0.22635954099761338
B_low_sideband_Kst_signal,best_n2,14.563261618349516,1.1973109438909268,12.8102070591733,16.117411189265503,3.307204130092204,0.22709226935298416
B_low_sideband_Kst_signal,best_n3,19.295979923173363,1.5717846238060178,17.03317972941548,21.39946800062798,4.3662882712125,0.22627968564420195
B_low_sideband_Kst_signal,Q_mean,0.6668274822852425,0.0029734544542527044,0.6632011605415861,0.6706495098039216,0.007448349262335507,0.011169829468950109
B_low_sideband_Kst_signal,koide_error,0.011201320181405633,0.004393004300526857,0.0068617352589177075,0.018773191483511403,0.011911456224593695,1.0633975309773664
signal_B_signal_Kst,best_n1,9.631980437605266,1.1051525993936806,7.17434390446348,10.307148696766777,3.132804792303298,0.3252503275517642
signal_B_signal_Kst,best_n2,14.51153888956201,1.4032702540827355,11.507208056830917,15.988928726286414,4.4817206694554965,0.3088384149719055
signal_B_signal_Kst,best_n3,19.217006702194883,1.7701686931321359,15.479000196501069,20.842710661051935,5.363710464550866,0.2791126915690906
signal_B_signal_Kst,Q_mean,0.6625256795469104,0.012209282160675135,0.6480218281036836,0.6770516717325228,0.029029843628839203,0.04381693347900446
signal_B_signal_Kst,koide_error,0.022486776180263835,0.012181537997949337,0.006915456533919751,0.04360406921461775,0.036688612680698,1.63156391946031
