model,chi2,n_params,dof,aic,bic,par_c,par_c0,par_c1,par_scale,par_A,par_k,par_phi,par_mu,par_sigma_w
constant,108.08023652559156,1,15,110.08023652559156,110.85282524783133,0.03363981694138693,,,,,,,,
charm_toy,5.415447521319292,3,13,11.415447521319292,13.733213688038635,,-0.007836151534299193,-0.02860411619816101,0.3270394239373218,,,,,
wct_5param,22.569042005822638,5,11,32.56904200582264,36.431985617021546,,,,,-0.7050689420433586,2.0,1.5064777549917265,2.052118519468408,1.2802508248941629
