KDE_BANDWIDTH_SCALE,D_base,A1_base,base_success,best_k2,best_deltaD,best_A1,best_A2,best_p_scanmax,best_edge_limited,best_success,ref_k2,ref_deltaD,ref_A1,ref_A2,ref_p_scanmax,ref_p_fixed,ref_success,null_best_p99,null_ref_p99,baseline_wall,wall_ratio_p99,verdict
0.50,348.49696315276833,0.02788570611780701,True,18.45,48.414659087720224,0.022387218717433786,0.08114836367739099,0.0001999600079984003,False,True,19.5296,7.602106468002205,0.03149161352722783,0.03373414949898278,0.15376924615076984,0.01919616076784643,True,14.04716889234831,8.951521007756341,False,0.03769550662265419,SECOND_MODE_SIGNIFICANT_DIFFERENT_K
0.75,581.2650051079169,0.04335744746232549,True,18.43,78.67514167191513,0.03712882545058378,0.1,0.0001999600079984003,False,True,19.5296,14.011733784233684,0.04142220729628413,0.046670374668403194,0.008198360327934412,0.0013997200559888023,True,13.762476397247463,9.415918049804956,False,0.01570994548539452,REFERENCE_K_SURVIVES_AFTER_LOW_K
1.00,823.943220693117,0.06100961369114105,True,18.4,100.73016427769005,0.054900706475942945,0.1,0.0001999600079984003,False,True,19.5296,27.100501156457085,0.05321895463187488,0.06497298551218762,0.0001999600079984003,0.0001999600079984003,True,13.515404116331164,9.106361453501982,False,0.16391525458512618,REFERENCE_K_SURVIVES_AFTER_LOW_K
1.25,1059.6645947377945,0.07790718980614735,True,23.11,127.09466000319708,0.057039539991560466,0.1,0.0001999600079984003,False,True,19.5296,46.742434398900286,0.0649189054955556,0.0851915333295072,0.0001999600079984003,0.0001999600079984003,True,13.74856430974919,8.890841815180407,False,0.00162556624458392,REFERENCE_K_SURVIVES_AFTER_LOW_K
1.50,1255.9044965985288,0.09269241639432114,True,23.08,150.90386012713225,0.07053091135250908,0.1,0.0001999600079984003,False,True,19.5296,70.0029667147544,0.07588530905196568,0.1,0.0001999600079984003,0.0001999600079984003,True,13.530909146908371,9.052583189978714,False,0.10939588707400127,REFERENCE_K_SURVIVES_AFTER_LOW_K
