mc,delta_chi2_vs_const,delta_chi2_vs_charm,p_local_rough_vs_const,p_local_rough_vs_charm,best_k,wct_aic_minus_charm_aic,wct_bic_minus_charm_bic,wct_preferred_over_charm_by_aic,wct_preferred_over_charm_by_bic,hit_delta_vs_const,hit_delta_vs_charm,hit_k_window,hit_delta_vs_charm_and_k
0,450.90411581359893,-70.26085450711635,0.0,1.0,2.0,74.26085450711635,75.80603195159591,False,False,True,False,False,False
1,376.53260496564167,-69.0551530164109,0.0,1.0,2.0,73.0551530164109,74.60033046089046,False,False,True,False,False,False
2,335.5395398469076,-75.85810184700868,0.0,1.0,2.0,79.85810184700868,81.40327929148825,False,False,True,False,False,False
3,377.0819678529083,-85.38048361604415,0.0,1.0,2.0,89.38048361604415,90.92566106052371,False,False,True,False,False,False
4,447.8451510252048,-88.95315797770985,0.0,1.0,2.0,92.95315797770985,94.4983354221894,False,False,True,False,False,False
5,371.20001422012103,-66.65138799450722,0.0,1.0,2.0,70.65138799450722,72.19656543898677,False,False,True,False,False,False
6,385.0951365698778,-77.09897681717446,0.0,1.0,2.0,81.09897681717446,82.64415426165402,False,False,True,False,False,False
7,347.85038839281486,-32.172472024736365,0.0,1.0,2.0,36.172472024736365,37.71764946921593,False,False,True,False,False,False
8,308.9747698446255,-78.96124438558974,0.0,1.0,2.0,82.96124438558974,84.50642183006929,False,False,True,False,False,False
9,388.242726901236,-43.88192357200646,0.0,1.0,2.0,47.88192357200646,49.42710101648602,False,False,True,False,False,False
10,375.4766395189659,-84.04907901097415,0.0,1.0,2.0,88.04907901097415,89.59425645545372,False,False,True,False,False,False
11,349.98305218701864,-22.963095999867818,0.0,1.0,2.0,26.963095999867818,28.50827344434738,False,False,True,False,False,False
12,316.61367679761,-83.82732569887001,0.0,1.0,2.0,87.82732569887001,89.37250314334958,False,False,True,False,False,False
13,413.40169339477455,-73.79014503839858,0.0,1.0,2.0,77.79014503839858,79.33532248287814,False,False,True,False,False,False
14,349.7334178621134,-58.433209637441486,0.0,1.0,2.0,62.433209637441486,63.97838708192104,False,False,True,False,False,False
15,340.9220871799094,-100.05607316874898,0.0,1.0,2.0,104.05607316874898,105.60125061322853,False,False,True,False,False,False
16,327.5292812381314,-82.16811283742481,0.0,1.0,2.0,86.16811283742481,87.71329028190438,False,False,True,False,False,False
17,377.03465128477234,-67.9827278634155,0.0,1.0,2.0,71.9827278634155,73.52790530789505,False,False,True,False,False,False
18,330.95656064456784,-41.77188167701532,0.0,1.0,2.0,45.77188167701532,47.31705912149488,False,False,True,False,False,False
19,406.10032396150103,-40.70798367053237,0.0,1.0,2.0,44.70798367053237,46.25316111501193,False,False,True,False,False,False
