mc,delta_chi2_vs_const,delta_chi2_vs_charm,p_local_rough_vs_const,p_local_rough_vs_charm,best_k,wct_aic_minus_charm_aic,wct_bic_minus_charm_bic,wct_preferred_over_charm_by_aic,wct_preferred_over_charm_by_bic,hit_delta_vs_const,hit_delta_vs_charm,hit_k_window,hit_delta_vs_charm_and_k
0,75.72469136410999,-6.82137939634557,1.4432899320127035e-15,1.0,2.0,10.82137939634557,12.366556840825133,False,False,True,False,False,False
1,48.9070002458244,-7.260321274164296,6.105586036753152e-10,1.0,2.0,11.260321274164296,12.805498718643861,False,False,True,False,False,False
2,38.307085475939566,-4.670489717961077,9.684416979460764e-08,1.0,2.754012299982351,8.670489717961075,10.215667162440642,False,False,True,False,False,False
3,47.45482283698569,-12.796056176164168,1.2260122916885052e-09,1.0,2.0,16.796056176164168,18.341233620643735,False,False,True,False,False,False
4,76.31682335354708,-13.077149672907316,9.992007221626409e-16,1.0,2.0,17.077149672907318,18.62232711738688,False,False,True,False,False,False
5,43.92549759050431,-7.92689375235182,6.648493755534446e-09,1.0,2.0,11.92689375235182,13.472071196831386,False,False,True,False,False,False
6,51.27112837035267,-9.332132237334944,1.9591961386566936e-10,1.0,2.0,13.332132237334942,14.877309681814506,False,False,True,False,False,False
7,37.2386973379364,1.9186939154789844,1.6084375442648735e-07,0.3831430128737302,2.0,2.0813060845210174,3.626483529000577,False,False,True,False,False,False
8,26.117428637884046,-9.24504365462013,2.9965259043973624e-05,1.0,2.0,13.24504365462013,14.790221099099695,False,False,True,False,False,False
9,52.49645182179337,3.049437265291594,1.0861223032065936e-10,0.21768229694129704,2.0,0.9505627347084058,2.495740179187969,False,False,True,False,False,False
10,50.095223637005375,-9.628825069167567,3.4492786404882736e-10,1.0,2.0,13.628825069167565,15.174002513647128,False,False,True,False,False,False
11,38.446468723719114,7.375459907591392,9.063710115775336e-08,0.025028754031173883,2.0,-3.3754599075913916,-1.8302824631118284,True,True,True,False,False,False
12,27.055407695378012,-12.07627294644961,1.9372686215879398e-05,1.0,2.0,16.076272946449613,17.62145039092917,False,False,True,False,False,False
13,62.65826966532264,-8.113538148467994,8.008038676621254e-13,1.0,2.0,12.113538148467995,13.658715592947559,False,False,True,False,False,False
