q2_center,counts,err,baseline,residual
0.2575,0.0,1.0,0.039205597666010346,-0.03845894265707242
0.5725,0.0,1.0,0.04281011465642471,-0.04192217181112646
0.8875000000000001,0.0,1.0,0.04644597873101359,-0.045403539709792023
1.2025000000000001,0.0,1.0,0.050072290239026714,-0.04886386963981443
1.5175,0.0,1.0,0.05364703888909036,-0.05226346266269028
1.8325,0.0,1.0,0.057128461650211605,-0.05556337873164763
2.1475,0.0,1.0,0.060476481960769476,-0.0587267542472142
2.4625000000000004,0.0,1.0,0.06365416465406061,-0.0617200971151713
2.7775,0.0,1.0,0.06662911470382527,-0.06451449853044641
3.0925000000000002,0.0,1.0,0.0693747455402612,-0.06708670185218593
3.4074999999999998,0.0,1.0,0.0718713447733309,-0.06941997302630573
3.7225,1.0,1.0,0.07410687188563157,0.8933818257124073
4.0375,0.0,1.0,0.076077433696583,-0.07333884942218341
4.352499999999999,0.0,1.0,0.07778739868942935,-0.07492775106528007
4.6674999999999995,1.0,1.0,0.07924912984386823,0.8863010919535466
4.9825,0.0,1.0,0.08048233635816127,-0.07742687647786826
5.297499999999999,0.0,1.0,0.0815130662875659,-0.0783810983611899
5.6125,0.0,1.0,0.08237238325639278,-0.0791759494773688
5.9275,0.0,1.0,0.08309478958089249,-0.07984368252164119
6.2425,0.0,1.0,0.08371647401836499,-0.08041796717905775
6.557499999999999,0.0,1.0,0.08427347377701107,-0.08093222485901251
6.8725,0.0,1.0,0.08479984651281632,-0.08141796789398832
7.1875,0.0,1.0,0.0853259482995616,-0.08190323022545394
7.5024999999999995,0.0,1.0,0.08587690789157806,-0.08241117379838618
7.8175,0.0,1.0,0.08647137633712272,-0.08295894625625706
8.1325,0.0,1.0,0.087120614879511,-0.08355685136310588
8.4475,0.0,1.0,0.08782796419249388,-0.08420787475777868
8.7625,0.0,1.0,0.08858871569533952,-0.0849075855840738
9.0775,0.0,1.0,0.08939038250723987,-0.08564441105418434
9.392499999999998,0.0,1.0,0.09021334510303272,-0.08640025809352189
9.7075,0.0,1.0,0.0910318264213257,-0.08715143582484652
10.0225,0.0,1.0,0.09181513436017645,-0.08786981642091084
10.337499999999999,0.0,1.0,0.09252909729425034,-0.0885241609412234
10.6525,0.0,1.0,0.09313761111803898,-0.08908153172620474
10.967500000000001,0.0,1.0,0.0936042146153115,-0.08950871369439231
11.282499999999999,1.0,1.0,0.09389361351647108,0.866346545556584
11.5975,1.0,1.0,0.09397308188968856,0.8662390998692686
11.9125,0.0,1.0,0.09381368165022778,-0.08970042571833402
12.2275,0.0,1.0,0.09339125585652847,-0.08931376910937906
12.5425,0.0,1.0,0.09268716784500357,-0.08866897550397201
12.8575,0.0,1.0,0.09168877486348379,-0.087753964801592
13.1725,0.0,1.0,0.090389640500474,-0.08656210335936018
13.4875,0.0,1.0,0.08878950385184305,-0.08509218319769904
13.802499999999998,0.0,1.0,0.08689403424358753,-0.08334822553913693
14.1175,0.0,1.0,0.08471440795827859,-0.08133913987805434
14.432500000000001,0.0,1.0,0.08226674762403417,-0.07907827197258689
14.747499999999999,0.0,1.0,0.07957146584725862,-0.07658287391174114
15.0625,0.0,1.0,0.07665255269151862,-0.07387352713117115
15.377500000000001,0.0,1.0,0.07353684231096436,-0.07097354541265247
15.692499999999999,0.0,1.0,0.07025328814784693,-0.06790838003917128
16.0075,1.0,1.0,0.06683226935516064,0.9034656400643788
16.3225,0.0,1.0,0.06330494423118153,-0.06139156631213225
16.637500000000003,0.0,1.0,0.05970266007977283,-0.05799648452946134
16.9525,0.0,1.0,0.05605642352013434,-0.0545483758772784
17.267500000000002,0.0,1.0,0.05239643116894638,-0.051075429099205504
17.582500000000003,0.0,1.0,0.04875165793033006,-0.047605053704399956
17.8975,0.0,1.0,0.045149498808415886,-0.04416352451143203
18.212500000000002,0.0,1.0,0.04161546001489699,-0.04077565922418644
18.527500000000003,0.0,1.0,0.038172895889473146,-0.037464527930863134
18.8425,0.0,1.0,0.03484278943904862,-0.0342511949306822
