n,k,delta_chi2,amp,phase
10,13.14432573377522,0.1276956406902059,0.17687745137254776,2.7508401083476297
11,14.45875830715274,1.2548936784911575,0.5403763257009325,-2.3414493022796234
12,15.773190880530263,0.294885906495324,0.268439888536863,-1.0336486511711063
13,17.08762345390779,0.3344810178541593,0.28422776839143893,2.5150390167354657
14,18.402056027285308,1.6339346310406881,0.6187735779161891,-2.244692096956272
15,19.716488600662828,1.2124631626656992,0.5349510249832317,0.5434147479428898
16,21.03092117404035,1.077534516466244,0.5056018847321998,-1.1948447126259083
17,22.345353747417875,2.31470546056255,0.7408347164518367,-0.08004553067974399
18,23.659786320795394,0.19561995629032936,0.2139237653600532,-2.261529301993135
19,24.974218894172914,2.353246747088633,0.7482735459656035,-0.3368858641597497
20,26.28865146755044,3.044042679312895,0.8566848550415752,1.6763037932828293
21,27.603084040927964,1.74243631655645,0.6402041400432761,-2.7602164815641324
22,28.91751661430548,0.7716715354942494,0.43078335084248226,0.07136301490616007
