k_peak,amp_peak,median_amp,snr_like,iter
8.764684590904986,10.153853902103114,4.739021652833612,2.1426055093105134,0
8.764684590904986,10.314390494573848,4.394563962524925,2.347079387746048,1
8.764684590904986,9.798320273252827,4.2306806525519125,2.3160150996843876,2
8.764684590904986,9.704592309842123,4.118540632859605,2.3563182143729353,3
8.764684590904986,9.805902650131603,4.760290863546135,2.0599377078456054,4
8.764684590904986,10.32200128189767,4.971820856932887,2.0761008046990064,5
8.764684590904986,9.628523926044124,4.850140597708151,1.9852051156195172,6
8.764684590904986,9.89208700711692,4.434958318443793,2.230480265390185,7
8.764684590904986,10.643174983993957,4.664731820680539,2.2816263384764572,8
8.764684590904986,8.864958286658863,4.563998190158534,1.9423667401478377,9
8.764684590904986,10.31991288154881,4.529349836844041,2.2784534763911095,10
8.764684590904986,9.27017636172273,4.44116492312094,2.0873299060482307,11
8.764684590904986,9.197079591479943,4.24002381087481,2.1691103639303346,12
8.764684590904986,10.591524113436545,4.680411933563777,2.2629469935078785,13
8.764684590904986,10.90700272800608,4.5386767736179525,2.403123921801484,14
8.764684590904986,9.95802853212377,4.681569578755207,2.127070497320587,15
8.764684590904986,10.320188012564817,4.656227796270444,2.216426786685803,16
8.764684590904986,9.967489767319845,4.836529535464642,2.060876439238425,17
8.764684590904986,10.037237449576365,4.704684451271628,2.133456038026823,18
8.764684590904986,9.803293768203265,4.443251164952803,2.2063334716545104,19
8.764684590904986,9.213874110057064,4.65837288781303,1.9779168245981074,20
8.764684590904986,10.191871754932954,4.598336785803271,2.2164256838252796,21
8.764684590904986,10.268206935575865,4.62946936308723,2.218009480189833,22
8.764684590904986,9.51408867099134,4.44239711201891,2.141656504604454,23
8.764684590904986,10.928324955045031,4.560780599799314,2.396152306805968,24
8.764684590904986,9.07009466195543,4.776431772206242,1.8989268756509294,25
8.764684590904986,9.348176720470336,4.47110583586455,2.090797458983151,26
8.764684590904986,9.74717294219837,5.01197268036098,1.9447777479697563,27
8.764684590904986,11.000871775225194,4.729611926448989,2.3259565364561934,28
8.764684590904986,10.037626722251984,4.597590039679756,2.1832365729918695,29
8.764684590904986,10.589520691265928,4.471637679766454,2.3681526656737093,30
8.764684590904986,9.850191182543412,4.434252492526724,2.2213870768848754,31
8.764684590904986,10.695116995004597,4.4364469025080115,2.4107393213606216,32
8.764684590904986,9.432825430993937,4.397645475417127,2.14497177722113,33
8.764684590904986,9.178135876402044,4.029632409384791,2.2776608246019343,34
8.764684590904986,9.804484865071919,4.438727638916205,2.2088502973491426,35
8.764684590904986,9.9766722140159,4.5286134409946905,2.2030302086955267,36
8.764684590904986,10.274535226498129,4.2866526908766645,2.3968667320227617,37
8.764684590904986,10.813686184349528,4.853305626876487,2.228107400544863,38
8.764684590904986,9.649188917892431,4.765426799550415,2.0248320504687567,39
8.764684590904986,11.670482580119762,5.126394280197312,2.2765479871888767,40
8.764684590904986,9.341660068185739,4.419855054200227,2.11356706354166,41
8.764684590904986,9.471731642860055,4.634991899820036,2.0435271188344077,42
8.764684590904986,9.895912478575326,4.2867826538722005,2.308470775777835,43
8.764684590904986,9.892523907391853,4.15590242829606,2.3803551883309817,44
8.764684590904986,9.768866784810143,4.615916849692222,2.1163437520460335,45
8.764684590904986,9.063503433491968,4.896009561771573,1.8512021512908217,46
8.764684590904986,10.254387579662195,4.5846370265002045,2.236684719071454,47
8.764684590904986,10.051336431181245,4.348747770519019,2.3113174094209716,48
8.764684590904986,9.653043743524991,4.583110355443303,2.1062211020208563,49
8.764684590904986,10.047454015100381,4.529857141011923,2.2180509676859,50
8.764684590904986,9.890120598264488,4.447487249115468,2.223754683103694,51
8.764684590904986,9.639868081839495,4.458129321552388,2.1623123481942303,52
8.764684590904986,10.50802927576196,4.537846429265027,2.315642329364569,53
8.764684590904986,9.698282793822802,4.707083667830777,2.0603591264168415,54
8.764684590904986,9.659457865195549,4.454290540721721,2.1685738226744506,55
8.764684590904986,10.26067454368989,5.148507297123125,1.992941633669886,56
8.764684590904986,10.13563980778742,4.548935875191232,2.22813424631125,57
8.764684590904986,10.253739432154587,4.527190221694266,2.264923480135369,58
8.764684590904986,9.090981892346123,4.416977243864945,2.058190792124464,59
8.764684590904986,9.237151529429264,4.836466501193134,1.9098967246336767,60
8.764684590904986,9.527108016205629,4.446330427151887,2.142690061455521,61
8.764684590904986,10.352442791046586,4.528416592542992,2.286106540660173,62
8.764684590904986,10.776912313422661,5.103190855193619,2.1117987978942203,63
8.764684590904986,9.775493311222188,4.519375691501922,2.163018518155879,64
8.764684590904986,10.848525697067608,4.5390224600775255,2.3900577255311304,65
8.764684590904986,10.068967412943136,4.603776947268724,2.18711017676839,66
8.764684590904986,9.94873866871682,4.517165012190075,2.20242976332922,67
8.764684590904986,10.809099567654057,4.75572048147512,2.2728626734389805,68
8.764684590904986,10.258441560741517,4.6791798440712515,2.1923588967710788,69
8.764684590904986,9.577533800433542,4.535614824259651,2.1116285600810216,70
8.764684590904986,10.136554899256135,4.630779832181302,2.188952026786678,71
8.764684590904986,10.022771877883077,4.679199873691708,2.141984131568096,72
8.764684590904986,9.93955536849178,4.602800183941389,2.1594583669240484,73
8.764684590904986,10.982433096586467,4.454549615512445,2.4654418615838147,74
8.764684590904986,9.789111372368005,4.349096363265081,2.2508380028210815,75
8.764684590904986,10.501711888226577,4.420634838413152,2.375611710103681,76
8.764684590904986,10.40698751215695,4.345947700779805,2.394641682017848,77
8.764684590904986,9.394261294674202,4.242687081083858,2.2142244089974925,78
8.764684590904986,10.074085781997551,4.267044798687714,2.3609046207098023,79
8.764684590904986,10.071087348316116,4.699696436752982,2.142922949141419,80
8.764684590904986,9.19841748419045,4.521008783136615,2.0345940309827735,81
8.764684590904986,9.811160261158685,4.031143805384179,2.4338403031056477,82
8.764684590904986,10.194658459453711,4.691799741669849,2.1728673474510556,83
8.764684590904986,9.221090773043802,4.449770982723241,2.072261877936139,84
8.764684590904986,9.84322392850533,4.699054579211109,2.094724324346503,85
8.764684590904986,10.206029846120165,4.966148611147677,2.0551197004476176,86
8.764684590904986,9.770109825463384,4.086687025813468,2.3907164321003056,87
8.764684590904986,10.10095123734972,4.638941310468594,2.177425960219659,88
8.764684590904986,9.956002106797715,4.367401257712892,2.2796169894431557,89
8.764684590904986,10.253106066368064,4.49245604544698,2.282294131015348,90
8.764684590904986,11.32614762165591,4.631299689862706,2.445565690004326,91
8.764684590904986,10.434475307430612,4.423199173665612,2.3590335632078965,92
8.764684590904986,9.807043855543245,5.04896292491026,1.9423877737659472,93
8.764684590904986,10.307838628647874,4.4927915778367025,2.2943059899544997,94
8.764684590904986,9.50272882119127,4.387572778158231,2.1658281928670884,95
8.764684590904986,9.880994995516117,4.794493453466563,2.060904888371859,96
8.764684590904986,9.34299251477871,5.138049064584575,1.8183930120827128,97
8.764684590904986,10.372434221316151,4.269555729385388,2.4293942692743085,98
8.764684590904986,10.064748931065418,4.441762226013709,2.2659359999326436,99
8.764684590904986,9.987037761750573,4.535743469992087,2.201852425699021,100
8.764684590904986,10.343680509364981,4.534752517050492,2.280980157235295,101
8.764684590904986,10.598493055948783,4.9801569386449405,2.1281443911349,102
8.764684590904986,8.986059120159398,4.635572035333293,1.938500588851988,103
8.764684590904986,9.841820631774604,4.734953869608379,2.0785462546837032,104
8.764684590904986,9.724002827836207,4.216386038682199,2.306241112323618,105
8.764684590904986,10.232544171932284,4.634201607920808,2.2080489882966576,106
8.764684590904986,9.914674736384505,4.285270374218537,2.313663752941738,107
8.764684590904986,10.480366440274171,4.613806174552431,2.2715229127046794,108
8.764684590904986,10.107336878316685,4.430151076129026,2.28148808124807,109
8.764684590904986,11.209645076923401,5.128425612927154,2.185786813143472,110
8.764684590904986,10.00398550617444,4.8526011775669,2.0615717509244083,111
8.764684590904986,10.73638713544562,4.420947969248617,2.4285260107393603,112
8.764684590904986,9.63133017729235,4.058018521643413,2.373407150786454,113
8.764684590904986,10.683629450940371,4.307636005528744,2.480160681456882,114
8.764684590904986,9.478018548444442,5.005104174872427,1.89367058452605,115
8.764684590904986,9.893193673308485,4.330353173411126,2.284615890928677,116
8.764684590904986,10.620790307992493,4.560912555024152,2.32865466720974,117
8.764684590904986,10.330154817806202,4.52319361671778,2.2838188441957956,118
8.764684590904986,9.57573278424128,5.161958068870158,1.8550582272236866,119
8.764684590904986,9.355475023379226,4.8784042275418,1.9177326410471311,120
8.764684590904986,9.32291006805991,4.8019393292316614,1.9414885172136547,121
8.764684590904986,9.848312751694937,4.611054259961904,2.1358050017343113,122
8.764684590904986,10.309337883835385,4.943232614237333,2.0855457730519853,123
8.764684590904986,11.096674238079437,4.661951749692518,2.380263639324737,124
8.764684590904986,10.146490753900645,5.092025333031283,1.9926237774352231,125
8.764684590904986,10.47495699850684,3.9848279603992136,2.628709972577442,126
8.764684590904986,9.70425316964288,4.565369232921225,2.1256228520718046,127
8.764684590904986,10.51785134185093,4.959216660363779,2.120869496570735,128
8.764684590904986,9.602430222971629,4.635122760321698,2.0716668618082466,129
8.764684590904986,9.671663036270504,4.4303516420830675,2.18304636237025,130
8.764684590904986,10.68215800764064,4.343718932070242,2.459219432632456,131
8.764684590904986,10.156039078423225,4.671914965655263,2.173849300144268,132
8.764684590904986,9.854866429360165,4.481964286748192,2.198782899385882,133
8.764684590904986,9.193860251293058,4.416743281122072,2.081592627443215,134
8.764684590904986,8.886634092928748,4.31310409800404,2.060380155684437,135
8.764684590904986,9.12495370572384,4.419060855669628,2.0649079077552375,136
8.764684590904986,10.465190021617598,4.567143783501118,2.291408047940875,137
8.764684590904986,9.964488128030684,4.6011056000105395,2.165672556615058,138
8.764684590904986,9.191844379782635,4.512072881167892,2.0371666464313503,139
8.764684590904986,9.472082245384529,4.30727567502214,2.199088927674879,140
8.764684590904986,10.150268776511307,5.190010330971695,1.9557319021002664,141
8.764684590904986,9.844249852857862,4.622359641933802,2.129702276636233,142
8.764684590904986,9.729232836564154,4.981537146121896,1.9530583735862168,143
8.764684590904986,9.483205028874682,4.539471135291624,2.089055034439703,144
8.764684590904986,9.652695876616878,4.580976193708709,2.107126400236138,145
8.764684590904986,9.175975642846002,4.6181388609414995,1.9869423417413863,146
8.764684590904986,10.279975425267052,4.393266684925679,2.339938857010443,147
8.764684590904986,9.586065257849826,4.38503046034169,2.1860886359961254,148
8.764684590904986,9.389942110600966,4.356875328384505,2.1552010105560404,149
8.764684590904986,10.46987283319691,4.970117909018942,2.1065642757082137,150
8.764684590904986,9.144925968699619,4.543317088273039,2.0128302275674312,151
8.764684590904986,9.636729077279892,4.573200636409871,2.1072176454617733,152
8.764684590904986,10.556024638445862,4.461458878081411,2.3660477271921727,153
8.764684590904986,9.915988096149547,4.7102361436488955,2.1051997805927187,154
8.764684590904986,10.506202908636686,4.942810281319201,2.125552531996566,155
8.764684590904986,10.476913550989417,4.818621044684594,2.1742555502567416,156
8.764684590904986,10.328531812547924,4.442305992051022,2.3250383541857773,157
8.764684590904986,10.238435545297305,5.104654907910657,2.0057057195836796,158
8.764684590904986,9.580035028916692,4.935041180522434,1.9412269682220824,159
8.764684590904986,10.263110586598689,4.486766612093904,2.28741797242916,160
8.764684590904986,10.112623315021306,4.785154313257669,2.1133327481212967,161
8.764684590904986,10.0855660002585,4.191111755476354,2.4064178167237142,162
8.764684590904986,10.099845619139046,4.821579801687834,2.0947170916062636,163
8.764684590904986,10.653365876398,4.781118470840802,2.228216251358547,164
8.764684590904986,10.297147846881614,4.52832087727017,2.2739439465449487,165
8.764684590904986,10.85406289467188,4.349269601401359,2.4956059038452434,166
8.764684590904986,9.693366493076137,4.848634122359814,1.9991952884987758,167
8.764684590904986,10.053778051105118,4.72767198149016,2.1265811355922732,168
8.764684590904986,10.96861893131506,4.557055570969945,2.4069530775944536,169
8.764684590904986,10.598624666602,5.218128624677387,2.0311160243308994,170
8.764684590904986,9.852715703916763,4.687574773725412,2.10187915489749,171
8.764684590904986,10.846533296836062,4.413329322203093,2.4576759414413187,172
8.764684590904986,9.660239435380104,4.340323714332625,2.2256956096339184,173
8.764684590904986,9.437892372674385,4.7259332146486095,1.9970431117012997,174
8.764684590904986,9.691796040855115,4.4532426151686835,2.176345840184591,175
8.764684590904986,9.526166235646414,4.596508116682374,2.0724789326646778,176
8.764684590904986,10.721247804411737,4.75347502194419,2.2554547472991042,177
8.764684590904986,10.798873366653593,4.955199023424903,2.179301641690609,178
8.764684590904986,10.662291661840971,5.050144699574519,2.1112843880966983,179
8.764684590904986,9.583984403088799,4.45331275638593,2.152102250026258,180
8.764684590904986,8.837295273093122,4.52060681282299,1.954891376092601,181
8.764684590904986,10.661932144268508,4.600161457161037,2.3177299848185022,182
8.764684590904986,9.578453094380215,4.659957871940983,2.0554806196972253,183
8.764684590904986,9.117769310266498,4.800039073303596,1.8995198103650544,184
13.147026886357482,8.970089707877197,4.452131106781647,2.014785614514728,185
8.764684590904986,10.530919195672695,4.746327144488657,2.218751231233817,186
8.764684590904986,9.531003837594309,4.371727400831349,2.1801459614755134,187
8.764684590904986,9.470155038672454,4.358707290191322,2.1726980978933246,188
8.764684590904986,9.437977964010603,5.255807270365608,1.7957237544127207,189
8.764684590904986,9.63950842662512,4.735291526433059,2.0356737009360537,190
8.764684590904986,10.217758205226,4.4882813627631,2.2765413706006363,191
8.764684590904986,9.839955587349268,4.5761591940238855,2.150265139420739,192
8.764684590904986,10.440907122557551,4.399946590721099,2.3729622410817517,193
8.764684590904986,9.892048012697549,4.563591848483932,2.1676013852956153,194
8.764684590904986,9.992246935280955,4.277984726116389,2.3357369357304947,195
8.764684590904986,9.585404624476404,4.404792067280483,2.176131013238595,196
8.764684590904986,10.706409283091551,4.8842615893691175,2.192022087104155,197
8.764684590904986,10.109535372734568,5.002591443444501,2.0208596858298935,198
8.764684590904986,9.473610797479816,4.179615192430679,2.266622729919398,199
