k_q2,amp
0.0,0.01552827100911397
0.332443667046539,0.525343012871404
0.664887334093078,1.6557439551880848
0.997331001139617,2.203139218199731
1.329774668186156,1.289180284325487
1.6622183352326951,2.1824108007858602
1.994662002279234,1.4774886518115176
2.327105669325773,1.27836389182305
2.659549336372312,2.0278460087218404
2.991993003418851,1.5639719776302536
3.3244366704653903,1.1959436402180619
3.656880337511929,1.4524282892706146
3.989324004558468,1.7060583002656147
4.321767671605007,1.145977101982304
4.654211338651546,1.5486824042588399
4.9866550056980845,1.1877107770121968
5.319098672744624,1.0097930809144382
5.651542339791162,1.8908895922119442
5.983986006837702,0.37774032857984996
6.31642967388424,1.0992538408798815
6.6488733409307805,1.5774443668574085
6.981317007977318,0.37815467348700343
7.313760675023858,1.3316820696265312
7.646204342070396,0.7621804945550027
7.978648009116936,0.45604581519637793
8.311091676163475,1.158008337446835
8.643535343210013,0.09119330405813529
8.975979010256552,0.32618924903288926
9.308422677303092,0.5773059510625237
9.64086634434963,0.12316010217541366
9.973310011396169,0.32349556326283074
