k_l,amp
0.0,17.428858391665496
1.4607807651508313,19.891940363389278
2.9215615303016627,5.175627652775606
4.382342295452493,11.089630807444792
5.843123060603325,1.8066450952300226
7.303903825754157,8.34486934922868
8.764684590904986,9.9445429150886
10.22546535605582,3.9716749333316836
11.68624612120665,4.3983532875112115
13.147026886357482,8.17750732986989
14.607807651508313,6.180902553008027
16.068588416659146,3.9255026640760495
17.529369181809972,4.472686038885165
18.990149946960805,3.2469084000622983
20.45093071211164,1.9362272731352346
21.911711477262468,1.3570105111180333
23.3724922424133,1.9907112033097683
24.83327300756413,2.5269041219314126
26.294053772714964,3.3606424238305737
27.754834537865797,3.3429690601181545
29.215615303016627,2.791928206435573
30.67639606816746,3.1002364589203655
32.13717683331829,2.785749224532057
33.59795759846912,2.3193537630307812
35.058738363619945,2.2825046778578537
36.51951912877078,1.924697897036852
37.98029989392161,1.3137148429324907
39.44108065907244,0.9029243854714497
40.90186142422328,1.0612396652663443
42.36264218937411,1.261290592077058
43.823422954524936,1.163164959902929
45.284203719675766,1.1607507686049943
46.7449844848266,1.4324047810376712
48.20576524997743,1.3842479956884979
49.66654601512826,1.3164705153046736
51.1273267802791,1.3637020998670766
52.58810754542993,1.3514351694774154
54.04888831058076,1.287219646899733
55.509669075731594,1.2181939248908973
56.970449840882424,0.9490223526823879
58.43123060603325,0.6245672706585412
59.89201137118408,0.5522880924750249
61.35279213633492,0.4545486490955395
62.81357290148575,0.5665618731957467
64.27435366663659,0.7255174466101926
65.73513443178742,0.9131143144780102
67.19591519693824,0.9322538098928267
68.65669596208907,0.8505092781126162
70.11747672723989,0.7616069195255621
71.57825749239073,0.6905734283761636
73.03903825754156,0.6620220821758359
74.49981902269239,0.5344806605780426
75.96059978784322,0.3730436261159211
77.42138055299405,0.29472383484515713
78.88216131814488,0.29116586486799423
80.34294208329571,0.38137267776131795
81.80372284844655,0.42873280009817166
83.26450361359738,0.4840977755249144
84.72528437874821,0.5545296137006456
86.18606514389904,0.4948462501448181
87.64684590904987,0.39960846413211776
89.1076266742007,0.35476869430429103
90.56840743935153,0.32556319221378466
92.02918820450238,0.2933442930038332
93.4899689696532,0.3313215455362978
94.95074973480403,0.41559506283621406
96.41153049995486,0.3635209455299993
