q2_center,counts,err,baseline,residual
0.2575,4498.0,67.06713054842886,4382.5874125874125,0.02633434922053257
0.5725,3222.0,56.7626637852735,3521.3356643356647,-0.08500628536136368
0.8875000000000001,3041.0,55.14526271584895,2977.303030303031,0.02139418428311135
1.2025000000000001,2870.0,53.5723809439155,2699.1386946386947,0.06330215846287834
1.5175,2792.0,52.839379254491625,2635.4918414918416,0.059384800986356234
1.8325,2743.0,52.373657500693994,2735.0116550116645,0.0029207718269490535
2.1475,2625.0,51.234753829797995,2995.918414918424,-0.12380791582020556
2.4625000000000004,3041.0,55.14526271584895,3215.1748251748354,-0.054172738543187604
2.7775,3742.0,61.171888968708494,3416.6689976690077,0.09521876498804738
3.0925000000000002,3924.0,62.6418390534633,3572.8997668997777,0.0982675854365973
3.4074999999999998,3737.0,61.1310068623117,3676.9557109557227,0.01632989183562139
3.7225,3584.0,59.86651818838306,3672.060606060618,-0.02398125072208135
4.0375,3391.0,58.23229344616267,3564.7832167832285,-0.048750009808463446
4.352499999999999,3390.0,58.22370651203855,3416.6550116550234,-0.0078014934384936785
4.6674999999999995,3367.0,58.02585630561603,3334.3170163170284,0.009802002485975958
4.9825,3227.0,56.806689746895124,3295.533799533811,-0.020795963174010113
5.297499999999999,3383.0,58.16356247686347,3284.193473193484,0.03008547687978891
5.6125,3272.0,57.201398584300364,3287.9254079254188,-0.004843603777333616
5.9275,3248.0,56.991227395100026,3256.771561771573,-0.002693330374943903
6.2425,3215.0,56.70097000933934,3248.202797202808,-0.010221897854222894
6.557499999999999,3302.0,57.463031594234565,3492.827505827519,-0.05463410532273283
6.8725,3232.0,56.85068161420758,3435.909090909105,-0.059346474401379745
7.1875,3143.0,56.06246516163912,3135.356643356657,0.0024377949664955434
7.5024999999999995,3301.0,57.4543296888929,2633.3916083916206,0.25351656376551235
7.8175,3231.0,56.84188596448925,2010.5081585081687,0.6070563983174568
8.1325,293.0,17.11724276862369,1337.4312354312437,-0.7809233161019119
8.4475,0.0,1.0,710.3263403263463,-1.0
8.7625,0.0,1.0,184.01398601399023,-1.0
9.0775,0.0,1.0,1e-09,-1.0
9.392499999999998,0.0,1.0,1e-09,-1.0
9.7075,0.0,1.0,1e-09,-1.0
10.0225,0.0,1.0,1e-09,-1.0
10.337499999999999,0.0,1.0,359.92773892773704,-1.0
10.6525,0.0,1.0,938.3519813519812,-1.0
10.967500000000001,1314.0,36.24913792078372,1756.9090909090942,-0.25209562247749284
11.282499999999999,3334.0,57.7408001330082,2466.4778554778622,0.3517250895220634
11.5975,3371.0,58.06031346797914,2813.785547785556,0.19803017776282594
11.9125,3147.0,56.098128311023,2798.8321678321768,0.1243975384338587
12.2275,3181.0,56.4003546088143,2421.6177156177246,0.3135847080589127
12.5425,1194.0,34.55430508634199,1682.1421911421992,-0.29019080177208056
12.8575,0.0,1.0,859.1328671328739,-1.0
13.1725,0.0,1.0,301.4382284382332,-1.0
13.4875,0.0,1.0,1e-09,-1.0
13.802499999999998,0.0,1.0,1e-09,-1.0
14.1175,0.0,1.0,1e-09,-1.0
14.432500000000001,0.0,1.0,386.7086247086238,-1.0
14.747499999999999,0.0,1.0,814.2494172494177,-1.0
15.0625,1683.0,41.02438299353203,1261.4778554778575,0.3341494602475339
15.377500000000001,2366.0,48.641546028061235,1678.289044289048,0.4097690788431967
15.692499999999999,2167.0,46.551047249229526,1988.5967365967413,0.08971314300182143
16.0075,2051.0,45.28796749689701,2153.104895104901,-0.047422164770995257
16.3225,1920.0,43.81780460041329,2106.424242424249,-0.08850270456899811
16.637500000000003,1789.0,42.2965719651132,1815.4638694638766,-0.01457691882994705
16.9525,1558.0,39.4715087119811,1590.3939393939463,-0.02036850027628423
17.267500000000002,1448.0,38.05259518088089,1438.89277389278,0.006329329240136072
17.582500000000003,1236.0,35.156791662493895,1275.7435897435907,-0.031153274108615125
17.8975,1136.0,33.704599092705436,1112.691142191143,0.020948183125603537
18.212500000000002,962.0,31.016124838541646,951.9743589743593,0.010531419182804536
18.527500000000003,813.0,28.513154858766505,795.8321678321677,0.021572176724895753
18.8425,630.0,25.099800796022265,646.5034965034954,-0.025527312060571572
