ell_center,counts,err,baseline,residual
-2.2588598923927083,0.0,1.0,1e-09,-9.999999995e-10
-2.1714094911900332,0.0,1.0,1e-09,-9.999999995e-10
-2.083959089987359,0.0,1.0,1e-09,-9.999999995e-10
-1.996508688784684,0.0,1.0,1e-09,-9.999999995e-10
-1.909058287582009,0.0,1.0,1e-09,-9.999999995e-10
-1.8216078863793344,0.0,1.0,1e-09,-9.999999995e-10
-1.7341574851766597,0.0,1.0,1e-09,-9.999999995e-10
-1.6467070839739848,0.0,1.0,1e-09,-9.999999995e-10
-1.5592566827713101,0.0,1.0,1e-09,-9.999999995e-10
-1.4718062815686352,0.0,1.0,1e-09,-9.999999995e-10
-1.3843558803659606,0.0,1.0,1.8342183623328851e-09,-1.8342183606507068e-09
-1.296905479163286,0.0,1.0,5.625546256001509e-09,-5.625546240178124e-09
-1.209455077960611,0.0,1.0,1.6643147568297757e-08,-1.664314742980058e-08
-1.1220046767579364,0.0,1.0,4.749823678351419e-08,-4.7498235655472984e-08
-1.0345542755552617,0.0,1.0,1.3076928513498494e-07,-1.3076927658468283e-07
-0.9471038743525868,0.0,1.0,3.473250093223455e-07,-3.4732494900503013e-07
-0.8596534731499121,0.0,1.0,8.899898515769274e-07,-8.899894555362238e-07
-0.7722030719472374,0.0,1.0,2.200240902578873e-06,-2.2002384820528525e-06
-0.6847526707445626,0.0,1.0,5.248194503560218e-06,-5.248180731841652e-06
-0.5973022695418878,0.0,1.0,1.2078785672517852e-05,-1.207871272464703e-05
-0.509851868339213,0.0,1.0,2.6824415238136823e-05,-2.6824055470748284e-05
-0.42240146713653837,0.0,1.0,5.748461818869654e-05,-5.7482966019262795e-05
-0.3349510659338637,0.0,1.0,0.00011888004980177994,-0.00011887298419862272
-0.24750066473118904,0.0,1.0,0.00023726001044637945,-0.0002372318692975789
-0.16005026352851415,0.0,1.0,0.0004570054854783663,-0.000456901094250648
-0.07259986232583926,0.0,1.0,0.0008496174727682911,-0.0008492567776666539
0.014850538876835406,0.0,1.0,0.001524597995731455,-0.0015234371234363244
0.10230094007951007,0.0,1.0,0.0026408451267085444,-0.0026373649865853075
0.18975134128218474,0.0,1.0,0.004415840582531207,-0.00440612293039096
0.2772017424848596,0.0,1.0,0.007128462509064039,-0.0071031900555168035
0.3646521436875345,0.0,1.0,0.011110215813939854,-0.011049006929550628
0.4521025448902092,0.0,1.0,0.016719754651185883,-0.0165817082380306
0.5395529460928838,0.0,1.0,0.024297509638873265,-0.024007597686223715
0.6270033472955585,0.0,1.0,0.0341014427456021,-0.03353444949090343
0.7144537484982334,0.0,1.0,0.04623114787459507,-0.04519817027551009
0.8019041497009083,0.0,1.0,0.06055443266870793,-0.05880028862819042
0.889354550903583,0.0,1.0,0.07665597124901992,-0.07387670446389381
0.9768049521062576,0.0,1.0,0.09382900738459266,-0.08971445099154897
1.0642553533089323,0.0,1.0,0.11112631611188888,-0.10542295874142207
1.1517057545116072,0.0,1.0,0.1274751606078707,-0.12005273997626806
1.239156155714282,0.0,1.0,0.14184457174903792,-0.13274226525057206
1.3266065569169567,1.0,1.0,0.15343598440832062,0.7882483241903494
1.4140569581196314,0.0,1.0,0.16185547887910903,-0.1501589939505669
1.501507359322306,1.0,1.0,0.16722262092021487,0.7708183981625073
1.5889577605249807,0.0,1.0,0.1701799390829439,-0.15731931241318095
1.6764081617276554,0.0,1.0,0.17178761155812444,-0.15869651526900325
1.7638585629303303,0.0,1.0,0.1733153801221717,-0.16000358823137303
1.851308964133005,0.0,1.0,0.17597085211061936,-0.16227157759482222
1.9387593653356796,0.0,1.0,0.180622450566563,-0.16623260530500977
2.0262097665383547,0.0,1.0,0.1875804479334283,-0.1721297940678981
2.1136601677410294,0.0,1.0,0.19648862995125121,-0.17963176473490172
2.201110568943704,0.0,1.0,0.2063545399071984,-0.18787826742370978
2.2885609701463787,0.0,1.0,0.21571419999833524,-0.19564240368929267
2.3760113713490534,0.0,1.0,0.22289606940819967,-0.20156152501242636
2.4634617725517285,2.0,1.4142135623730951,0.22632686558449241,1.6016605051207002
2.550912173754403,0.0,1.0,0.22481423436793238,-0.20313684040611396
2.638362574957078,0.0,1.0,0.21774948246942422,-0.19732320219168561
2.7258129761597525,0.0,1.0,0.2051947032681551,-0.18691215249957335
2.813263377362427,1.0,1.0,0.1878463809204595,0.7451746023806893
2.9007137785651027,0.0,1.0,0.16689443725574094,-0.15449914370434958
