region,n,k,delta_chi2,amp,phase
signal_B_signal_Kst,10,13.14432573377522,171.0575868352389,19.36708721092134,3.0444754637565663
signal_B_signal_Kst,11,14.45875830715274,211.25838861544617,21.5249239823751,-0.23112975530443755
signal_B_signal_Kst,12,15.773190880530263,208.3949375191296,21.391751304288963,2.8179400326935786
signal_B_signal_Kst,13,17.08762345390779,149.41044436175434,18.075385729831627,-0.44059469452027183
signal_B_signal_Kst,14,18.402056027285308,93.09077106338373,14.254232616882186,2.5228940625923686
signal_B_signal_Kst,15,19.716488600662828,51.87385181058198,10.623631911644104,-0.9094630676650813
signal_B_signal_Kst,16,21.03092117404035,27.85458277494763,7.773343139195336,1.7889623951850213
signal_B_signal_Kst,17,22.345353747417875,40.66241403888125,9.395634373615533,-1.6209492629790756
signal_B_signal_Kst,18,23.659786320795394,43.75273460528115,9.732997625348222,1.189184007357641
signal_B_signal_Kst,19,24.974218894172914,60.438477525101916,11.44846918182219,-2.036895170529231
signal_B_signal_Kst,20,26.28865146755044,79.05154137931822,13.083085123872829,1.0191908175595101
signal_B_signal_Kst,21,27.603084040927964,73.32112162974227,12.596727265181755,-2.1890742178881406
signal_B_signal_Kst,22,28.91751661430548,68.54516214223986,12.180995314325035,0.9109462368856798
