region,well_rank,peak_index,k,n_eff,delta_chi2,prominence,nearest_integer_n,distance_to_integer,distance_to_n10,distance_to_n15,distance_to_n20
signal_B_signal_Kst,1,82,7.640000000000001,5.81239399779063,1359.5233745912847,1068.2066587598601,6.0,0.18760600220937018,4.18760600220937,9.187606002209371,14.187606002209371
signal_B_signal_Kst,2,482,15.64,11.89867043526773,217.47971310491994,211.43537067086436,12.0,0.10132956473226962,1.8986704352677304,3.1013295647322696,8.10132956473227
signal_B_signal_Kst,3,419,14.38,10.940081896365086,215.60579085201607,93.52942709197669,11.0,0.05991810363491368,0.9400818963650863,4.059918103634914,9.059918103634914
signal_B_signal_Kst,4,353,13.06,9.935846284181364,175.87984552039416,90.10441769930912,10.0,0.0641537158186356,0.0641537158186356,5.064153715818636,10.064153715818636
signal_B_signal_Kst,5,546,16.92,12.872474665264065,162.8970968006106,55.11785344216332,13.0,0.1275253347359353,2.8724746652640647,2.1275253347359353,7.127525334735935
signal_B_signal_Kst,6,286,11.719999999999999,8.916394980903949,108.52013922915648,62.5020994937513,9.0,0.08360501909605134,1.0836050190960513,6.083605019096051,11.083605019096051
signal_B_signal_Kst,7,610,18.200000000000003,13.846278895260403,106.70245025046461,41.130115618390846,14.0,0.15372110473959744,3.8462788952604026,1.1537211047395974,6.153721104739597
signal_B_signal_Kst,8,1001,26.02,19.795614112894263,94.37062312622584,79.73814938282885,20.0,0.20438588710573669,9.795614112894263,4.795614112894263,0.20438588710573669
signal_B_signal_Kst,9,1065,27.3,20.7694183428906,89.39816235769104,31.565617796120932,21.0,0.2305816571094006,10.7694183428906,5.769418342890599,0.7694183428905994
signal_B_signal_Kst,10,194,9.879999999999999,7.516551400284217,85.82625999570155,79.17420109746308,8.0,0.4834485997157829,2.483448599715783,7.483448599715783,12.483448599715782
signal_B_signal_Kst,11,1130,28.6,21.758438263980633,84.99837046257016,31.159214939922094,22.0,0.24156173601936715,11.758438263980633,6.758438263980633,1.7584382639806329
signal_B_signal_Kst,12,933,24.66,18.76094711852316,77.10216701182799,32.675527434235846,19.0,0.2390528814768409,8.760947118523159,3.760947118523159,1.239052881476841
signal_B_signal_Kst,13,675,19.5,14.835298816350429,62.703245400429296,31.032628679837217,15.0,0.1647011836495711,4.835298816350429,0.1647011836495711,5.164701183649571
signal_B_signal_Kst,14,802,22.04,16.76769158524941,56.81018604567362,36.797091659886064,17.0,0.23230841475059094,6.767691585249409,1.767691585249409,3.232308414750591
signal_B_signal_Kst,15,1193,29.86,22.71702680288327,55.25811005818832,11.43610689862544,23.0,0.2829731971167284,12.717026802883272,7.717026802883272,2.7170268028832716
signal_B_signal_Kst,16,869,23.38,17.787142888526823,54.92003062130243,21.808132375030254,18.0,0.21285711147317699,7.787142888526823,2.787142888526823,2.212857111473177
signal_B_signal_Kst,17,738,20.759999999999998,15.793887355253071,38.913659652738716,22.08274334435555,16.0,0.2061126447469288,5.793887355253071,0.7938873552530712,4.206112644746929
signal_B_signal_Kst,18,1260,31.2,23.73647810616069,24.87144385807187,9.117809139708697,24.0,0.2635218938393109,13.736478106160689,8.736478106160689,3.736478106160689
