region,n,k,delta_chi2,amp,phase
B_high_sideband_Kst_signal,10,13.14432573377522,156.3474925076698,6.374222509390723,0.4609971901131901
B_high_sideband_Kst_signal,11,14.45875830715274,118.60086712972043,5.53368333728945,-3.0794781979404275
B_high_sideband_Kst_signal,12,15.773190880530263,69.7142570256874,4.174168637721999,-0.09406533221437491
B_high_sideband_Kst_signal,13,17.08762345390779,60.784558418232336,3.9382193021065404,2.885747077620249
B_high_sideband_Kst_signal,14,18.402056027285308,31.06062718634348,2.7855256181177577,-0.6353307053593594
B_high_sideband_Kst_signal,15,19.716488600662828,4.184484836885531,1.0030826478859818,2.762787609384001
B_high_sideband_Kst_signal,16,21.03092117404035,10.033315030254016,1.5701056249750411,-0.35906937057094934
B_high_sideband_Kst_signal,17,22.345353747417875,3.708838309492421,0.9431495344824661,2.8608285507422386
B_high_sideband_Kst_signal,18,23.659786320795394,5.568917509721359,1.1449906985761718,-0.1818687308287155
B_high_sideband_Kst_signal,19,24.974218894172914,15.347506804686418,1.933180371688212,3.0930244435781242
B_high_sideband_Kst_signal,20,26.28865146755044,55.56865928559637,3.748878619506273,-0.5577978860076013
B_high_sideband_Kst_signal,21,27.603084040927964,45.78536783266827,3.3803448272890666,2.023666327671558
B_high_sideband_Kst_signal,22,28.91751661430548,67.92425623190866,4.10449922192002,-1.2382519764176696
