region,ell,q2_center,counts,active,in_charm_window,fit_model,fit_continuum,fit_charm_jpsi,fit_charm_psi2s,subtract_component,corrected
signal_B_signal_Kst,-2.2924946620860442,0.10101415109679975,8.0,True,False,7.949383426871478,-149.44392751925625,101.17204231641763,56.221268629710096,157.3933109461277,-149.3933109461277
signal_B_signal_Kst,-2.2723138002700427,0.10307341266950178,10.0,True,False,1e-09,-688.7253326094942,101.21594535,56.23843324202967,157.45437859202968,-147.45437859202968
signal_B_signal_Kst,-2.252132938454041,0.10517465408541155,9.0,True,False,1e-09,-1211.2655601904698,101.2607728444162,56.25595587253056,157.51672871694677,-148.51672871694677
signal_B_signal_Kst,-2.2319520766380387,0.10731873114024697,5.0,True,False,1e-09,-1717.2606039422972,101.30654488612329,56.27384415870661,157.5803890448299,-152.5803890448299
signal_B_signal_Kst,-2.211771214822037,0.10950651707586775,7.0,True,False,1e-09,-2206.906457545003,101.35328202388018,56.29210590804283,157.645387931923,-150.645387931923
signal_B_signal_Kst,-2.191590353006035,0.1117389029359309,10.0,True,False,1e-09,-2680.3991146787594,101.40100528045775,56.31074910209061,157.71175438254835,-147.71175438254835
signal_B_signal_Kst,-2.1714094911900332,0.11401679792879532,4.0,True,False,1e-09,-3137.9345690236296,101.44973616469001,56.3297819006528,157.7795180653428,-153.7795180653428
signal_B_signal_Kst,-2.1512286293740317,0.1163411297978253,10.0,True,False,1e-09,-3579.708814259735,101.49949668387613,56.349212646081206,157.84870932995733,-147.84870932995733
signal_B_signal_Kst,-2.1310477675580293,0.11871284519924297,9.0,True,False,1e-09,-4005.917844067153,101.55030935654615,56.36904986769108,157.91935922423724,-148.91935922423724
signal_B_signal_Kst,-2.1108669057420277,0.12113291008768284,10.0,True,False,1e-09,-4416.757652125962,101.60219722560349,56.389302286295475,157.99149951189895,-147.99149951189895
signal_B_signal_Kst,-2.090686043926026,0.12360231010960747,8.0,True,False,1e-09,-4812.424232116282,101.6551838718557,56.409978818863664,158.06516269071938,-150.06516269071938
signal_B_signal_Kst,-2.0705051821100238,0.12612205100474222,6.0,True,False,1e-09,-5193.113577718243,101.7092934279486,56.4310885833074,158.140382011256,-152.140382011256
signal_B_signal_Kst,-2.0503243202940222,0.12869315901569356,9.0,True,False,1e-09,-5559.021682611899,101.76455059271673,56.45264090339914,158.21719149611587,-149.21719149611587
signal_B_signal_Kst,-2.0301434584780202,0.131316681305919,8.0,True,False,1e-09,-5910.3445404773665,101.82098064596543,56.47464531382655,158.29562595979198,-150.29562595979198
signal_B_signal_Kst,-2.0099625966620183,0.13399368638621623,6.0,True,False,1e-09,-6247.278144994729,101.87860946369966,56.497111565387534,158.3757210290872,-152.3757210290872
signal_B_signal_Kst,-1.9897817348460165,0.13672526454990747,14.0,True,False,1e-09,-6570.018489844122,101.93746353381482,56.52004963033049,158.45751316414533,-144.45751316414533
signal_B_signal_Kst,-1.9696008730300147,0.1395125283168953,9.0,True,False,1e-09,-6878.761568705602,101.99756997226729,56.54346970784429,158.54103968011157,-149.54103968011157
signal_B_signal_Kst,-1.9494200112140128,0.14235661288677096,8.0,True,False,1e-09,-7173.703375259276,102.05895653974069,56.5673822297033,158.62633876944398,-150.62633876944398
signal_B_signal_Kst,-1.9292391493980108,0.14525867660115918,13.0,True,False,1e-09,-7455.039903185265,102.12165165882683,56.5917978660721,158.71344952489892,-145.71344952489892
signal_B_signal_Kst,-1.909058287582009,0.14821990141548916,6.0,True,False,1e-09,-7722.967146163639,102.1856844317388,56.61672753147544,158.80241196321424,-152.80241196321424
signal_B_signal_Kst,-1.8888774257660073,0.15124149338038242,6.0,True,False,1e-09,-7977.681097874505,102.25108465857703,56.64218239093889,158.8932670495159,-152.8932670495159
signal_B_signal_Kst,-1.8686965639500053,0.15432468313285427,8.0,True,False,1e-09,-8219.377751997985,102.31788285616769,56.668173866305885,158.98605672247356,-150.98605672247356
signal_B_signal_Kst,-1.8485157021340033,0.1574707263975289,8.0,True,False,1e-09,-8448.253102214134,102.3861102774948,56.69471364273706,159.08082392023186,-151.08082392023186
signal_B_signal_Kst,-1.8283348403180015,0.16068090449807212,10.0,True,False,1e-09,-8664.503142203088,102.45579893174826,56.72181367539802,159.17761260714627,-149.17761260714627
signal_B_signal_Kst,-1.8081539785019998,0.16395652487905032,4.0,True,False,1e-09,-8868.323865644918,102.52698160501075,56.74948619634213,159.27646780135288,-155.27646780135288
signal_B_signal_Kst,-1.7879731166859978,0.1672989216384277,8.0,True,False,1e-09,-9059.911266219751,102.59969188160704,56.777743721594675,159.37743560320172,-151.37743560320172
signal_B_signal_Kst,-1.767792254869996,0.17070945607091892,6.0,True,False,1e-09,-9239.46133760766,102.67396416614176,56.806599058445634,159.4805632245874,-153.4805632245874
signal_B_signal_Kst,-1.747611393053994,0.17418951722241885,11.0,True,False,1e-09,-9407.170073488749,102.74983370625085,56.83606531295803,159.58589901920888,-148.58589901920888
signal_B_signal_Kst,-1.7274305312379923,0.17774052245573424,6.0,True,False,1e-09,-9563.233467543127,102.82733661609399,56.86615589769933,159.69349251379333,-153.69349251379333
signal_B_signal_Kst,-1.7072496694219903,0.1813639180278491,9.0,True,False,1e-09,-9707.847513450877,102.9065099006175,56.89688453970412,159.8033944403216,-150.8033944403216
signal_B_signal_Kst,-1.6870688076059885,0.1850611796789572,6.0,True,False,1e-09,-9841.208204892107,102.98739148061607,56.92826528867536,159.91565676929145,-153.91565676929145
signal_B_signal_Kst,-1.6668879457899866,0.18883381323350343,10.0,True,False,1e-09,-9963.511535546917,103.0700202186254,56.96031252543351,160.0303327440589,-150.0303327440589
signal_B_signal_Kst,-1.6467070839739848,0.19268335521347724,10.0,True,False,1e-09,-10074.953499095402,103.15443594567797,56.99304097062169,160.14747691629967,-150.14747691629967
signal_B_signal_Kst,-1.6265262221579828,0.19661137346420915,13.0,True,False,1e-09,-10175.730089217646,103.24067948895569,57.02646569367624,160.26714518263194,-147.26714518263194
