region,success,chi2,ndof,chi2_per_ndof,gamma_jpsi,gamma_psi2S,active_charm_subtract_sum,active_corrected_sum
signal_B_signal_Kst,True,18342218.476295006,254,72213.45856809057,0.2,0.3,132611.3093522108,-117029.30935221081
B_low_sideband_Kst_signal,True,140908.52043459073,254,554.7579544668927,0.2,0.3,4570.896203306976,24448.10379669303
B_high_sideband_Kst_signal,True,4563.10541551961,254,17.964981950864605,0.2,0.3,1442.4122851805944,24364.5877148194
