region,well_rank,peak_index,k,n_eff,delta_chi2,prominence,nearest_integer_n,distance_to_integer,distance_to_n10,distance_to_n15,distance_to_n20
B_high_sideband_Kst_signal,1,86,7.72,5.873256762165401,830.1202133497918,829.8911429049567,6.0,0.1267432378345994,4.126743237834599,9.1267432378346,14.1267432378346
B_high_sideband_Kst_signal,2,349,12.98,9.874983519806593,181.05499122765104,178.1151434767089,10.0,0.12501648019340728,0.12501648019340728,5.125016480193407,10.125016480193407
B_high_sideband_Kst_signal,3,415,14.3,10.879219131990316,135.76366050170327,131.5804781136212,11.0,0.12078086800968357,0.8792191319903164,4.120780868009684,9.120780868009684
B_high_sideband_Kst_signal,4,1133,28.66,21.804085337261707,89.97207749040172,86.08524293950904,22.0,0.19591466273829283,11.804085337261707,6.804085337261707,1.8040853372617072
B_high_sideband_Kst_signal,5,479,15.58,11.85302336198665,89.86455472516536,89.83352134309462,12.0,0.14697663801334926,1.8530233619866507,3.1469766380133493,8.14697663801335
B_high_sideband_Kst_signal,6,997,25.94,19.734751348519495,87.03984987386139,78.13792310552162,20.0,0.2652486514805048,9.734751348519495,4.734751348519495,0.2652486514805048
B_high_sideband_Kst_signal,7,543,16.86,12.826827591982985,83.77701308120231,83.6109305012651,13.0,0.17317240801701494,2.826827591982985,2.173172408017015,7.173172408017015
B_high_sideband_Kst_signal,8,1063,27.26,20.73898696070322,79.6540674525204,53.90105382965703,21.0,0.2610130392967811,10.738986960703219,5.738986960703219,0.7389869607032189
B_high_sideband_Kst_signal,9,284,11.68,8.885963598716565,66.79364555425127,57.56962660242789,9.0,0.1140364012834354,1.1140364012834354,6.114036401283435,11.114036401283435
B_high_sideband_Kst_signal,10,1198,29.96,22.793105258351734,63.916094772925135,42.551829500469466,23.0,0.2068947416482665,12.793105258351734,7.7931052583517335,2.7931052583517335
B_high_sideband_Kst_signal,11,173,9.46,7.19702188731667,60.61370064960283,19.162203996147582,7.0,0.19702188731667025,2.8029781126833297,7.80297811268333,12.80297811268333
B_high_sideband_Kst_signal,12,607,18.14,13.800631821979321,49.339857142938854,47.57193486455799,14.0,0.19936817802067885,3.800631821979321,1.1993681780206789,6.199368178020679
B_high_sideband_Kst_signal,13,224,10.48,7.973022133094999,45.62130778498249,18.104237335184735,8.0,0.026977866905000703,2.0269778669050007,7.026977866905001,12.026977866905
B_high_sideband_Kst_signal,14,727,20.54,15.626514753222452,34.12011742774121,31.68249965666473,16.0,0.37348524677754824,5.626514753222452,0.6265147532224518,4.373485246777548
B_high_sideband_Kst_signal,15,927,24.54,18.669652971961003,33.78003144979084,22.002961179125123,19.0,0.3303470280389966,8.669652971961003,3.6696529719610034,1.3303470280389966
B_high_sideband_Kst_signal,16,1263,31.26,23.782125179441767,24.004342756579717,19.775056786776986,24.0,0.21787482055823304,13.782125179441767,8.782125179441767,3.782125179441767
B_high_sideband_Kst_signal,17,857,23.14,17.604554595402508,21.904332176036405,18.297569850743457,18.0,0.395445404597492,7.604554595402508,2.604554595402508,2.395445404597492
B_high_sideband_Kst_signal,18,791,21.82,16.600318983218788,19.815378422554204,15.433035034508066,17.0,0.39968101678121215,6.600318983218788,1.6003189832187878,3.399681016781212
B_high_sideband_Kst_signal,19,666,19.32,14.698357596507195,18.222933548448054,17.17096023478007,15.0,0.3016424034928047,4.698357596507195,0.3016424034928047,5.301642403492805
